"","","","","","","","2","010","","","","","","","CASE","CASE","POP."
"REPORTING  AREAS**","","","","DENG","UE HA","EMORR","HAGIC F","EVER -","TOTAL (","DF+DHF","+DSS)","","","R","ATE PER","FATALITY","DEC. 31, 2009"
"","","","","","","","","","","","","","","","","",""
"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","TOTAL","TOTAL","100000","RATE",""
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"TOTAL","3618","3709","4539","4301","7589","13882","21398","23260","16037","8976","5688","2848","115845","141","182.36","0.12","6 3,525,062"
"CENTRAL REGION","1930","1902","2051","1568","1945","2993","4521","5235","4861","3756","3155","1690","35607","32","166.04","0.09","21,445,124"
"BANGKOK  METRO  POLIS","617","621","591","381","348","536","901","1399","1576","1654","1462","826","10912","9","191.35","0.08","5,702,595"
"ZONE  1","278","236","262","123","104","207","408","584","531","384","338","140","3595","2","105.05","0.06","3,422,311"
"NONTHABURI","136","111","112","36","40","97","166","213","207","199","182","85","1584","1","146.93","0.06","1 ,078,071"
"P.NAKORN S.AYUTTHAYA","54","45","28","30","14","19","62","84","99","58","49","22","564","0","72.76","0.00","775,157"
"PATHUM THANI","69","52","99","40","25","49","89","152","114","62","50","15","816","0","85.32","0.00","9 56,376"
"SARABURI","19","28","23","17","25","42","91","135","111","65","57","18","631","1","102.99","0.16","612,707"
"ZONE  2","60","92","108","65","46","102","298","488","353","84","57","43","1796","6","112.96","0.33","1,589,978"
"ANG THONG","13","22","21","18","12","22","47","73","52","16","7","5","308","0","108.14","0.00","2 84,807"
"CHAI NAT","10","5","8","18","9","11","22","37","45","17","16","7","205","2","61.12","0.98","3 35,420"
"LOP BURI","33","64","77","25","24","65","225","358","239","41","34","31","1216","2","161.18","0.16","7 54,452"
"SING BURI","4","1","2","4","1","4","4","20","17","10","0","0","67","2","31.12","2.99","2 15,299"
"ZONE  3","248","251","351","241","366","594","805","824","675","476","379","205","5415","4","175.30","0.07","3 ,089,076"
"CHACHOENGSAO","48","55","58","51","60","76","146","167","140","126","125","66","1118","0","167.12","0.00","668,983"
"NAKHON NAYOK","3","10","6","2","10","18","8","20","9","11","1","0","98","0","38.94","0.00","2 51,683"
"PRACHIN BURI","34","29","42","69","133","234","275","202","149","55","21","8","1251","1","270.86","0.08","461,854"
"SA KAEO","17","32","41","26","74","142","162","157","106","20","7","4","788","0","145.27","0.00","5 42,451"
"SAMUT PRAKAN","146","125","204","93","89","124","214","278","271","264","225","127","2160","3","185.55","0.14","1,164,105"
"ZONE  4","302","299","245","149","132","199","387","524","561","518","398","218","3932","3","116.86","0.08","3 ,364,670"
"KANCHANABURI","37","49","40","20","31","59","111","122","106","64","45","2","686","0","82.31","0.00","833,423"
"NAKHON PATHOM","76","80","96","48","54","63","110","165","194","251","226","148","1511","2","177.47","0.13","851,426"
"RATCHABURI","119","87","45","50","33","60","127","172","169","131","84","45","1122","1","134.33","0.09","835,231"
"SUPHAN BURI","70","83","64","31","14","17","39","65","92","72","43","23","613","0","72.58","0.00","8 44,590"
"ZONE  5","186","129","142","153","136","164","293","255","299","200","210","98","2265","6","137.81","0.26","1 ,643,555"
"PHETCHABURI","26","24","54","77","51","57","83","47","63","53","29","13","577","0","125.10","0.00","461,239"
"PRACHUAP KHIRI KHAN","17","15","29","37","65","73","127","116","143","91","78","35","826","4","163.87","0.48","5 04,063"
"SAMUT SAKHON","136","79","50","32","13","30","76","80","81","48","87","36","748","1","154.35","0.13","484,606"
"SAMUT SONGKHRAM","7","11","9","7","7","4","7","12","12","8","16","14","114","1","58.87","0.88","193,647"
"ZONE  9","239","274","352","456","813","1191","1429","1161","866","440","311","160","7692","2","292.15","0.03","2 ,632,939"
"CHANTHABURI","28","60","92","149","352","487","456","255","170","89","50","17","2205","0","431.30","0.00","511,246"
"CHON BURI","133","137","146","142","231","291","403","462","381","182","108","74","2690","2","208.59","0.07","1,289,590"
"RAYONG","62","65","86","109","143","294","433","358","262","138","128","53","2131","0","348.15","0.00","6 12,095"
"TRAT","16","12","28","56","87","119","137","86","53","31","25","16","666","0","302.72","0.00","2 20,008"
"SOUTHERN REGION","998","842","892","1100","2213","3905","5902","5459","3550","2455","1340","625","29281","62","332.21","0.21","8,813,880"
"ZONE  6","285","271","298","342","688","1220","2147","2189","1586","997","535","201","10759","24","306.85","0.22","3 ,506,241"
"CHUMPHON","19","13","30","34","56","95","84","68","103","82","61","23","668","1","136.96","0.15","487,744"
"NAKHON SI THAMMARAT","157","132","164","176","359","656","1367","1210","831","513","245","60","5870","18","387.08","0.31","1 ,516,499"
"PHATTHALUNG","55","78","44","49","107","176","247","436","356","270","158","74","2050","3","403.72","0.15","507,777"
"SURAT THANI","54","48","60","83","166","293","449","475","296","132","71","44","2171","2","218.36","0.09","9 94,221"
"ZONE  7","136","127","141","170","340","695","841","579","371","228","93","27","3748","7","206.55","0.19","1,814,555"
"KRABI","55","51","60","57","170","274","344","307","157","91","33","0","1599","6","374.86","0.38","4 26,556"
