"","","","","","","","201","1","","","","","","","CASE","CASE","POP."
"","","","","DE","NGUE H","EMORRH","AGIC FEV","ER - TO","TAL (DF","+DHF+","DSS)","","","","RATE PER","FATALITY","DEC. 31, 2010"
"REPORTING  AREAS**","","","","","","","","","","","","","","","","",""
"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","TOTAL","TOTAL","100,000.00","RATE",""
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"TOTAL","2890","2239","2373","3117","7659","11688","11487","9086","5662","3982","3980","1808","65971","59","103.28","0.09","63,878,267"
"CENTRAL REGION","1662","1326","1389","1834","3987","5242","5224","4416","3015","2480","2765","1155","34495","22","159.53","0.06","21,623,488"
"BANGKOK  METRO  POLIS","691","424","394","469","1070","1455","1402","1193","704","767","1087","488","10144","5","177.92","0.05","5,701,394"
"ZONE  1","133","127","170","218","529","604","636","458","308","146","172","65","3566","3","102.27","0.08","3,486,866"
"NONTHABURI","50","52","52","58","156","222","233","208","126","76","86","35","1354","1","122.90","0.07","1,101,743"
"P.NAKORN S.AYUTTHAYA","34","12","25","49","85","131","150","95","83","17","17","1","699","1","89.38","0.14","782,096"
"PATHUM THANI","28","31","52","50","172","126","116","93","56","25","34","14","797","1","80.86","0.13","985,643"
"SARABURI","21","32","41","61","116","125","137","62","43","28","35","15","716","0","115.97","0.00","617,384"
"ZONE  2","75","104","36","46","160","349","425","329","215","181","186","59","2165","0","136.13","0.00","1,590,419"
"ANG THONG","5","20","7","24","42","81","58","47","16","27","18","10","355","0","124.57","0.00","284,970"
"CHAI NAT","11","13","7","10","47","52","72","29","38","30","34","14","357","0","106.59","0.00","334,934"
"LOP BURI","58","67","18","10","64","206","284","241","160","124","133","34","1399","0","185.09","0.00","755,854"
"SING BURI","1","4","4","2","7","10","11","12","1","0","1","1","54","0","25.16","0.00","214,661"
"ZONE  3","214","180","210","336","746","1069","925","696","479","351","296","127","5629","6","180.27","0.11","3,122,519"
"CHACHOENGSAO","49","33","30","56","171","334","338","277","218","159","151","67","1883","1","279.40","0.05","673,933"
"NAKHON NAYOK","3","4","2","13","48","66","49","44","15","11","6","0","261","0","103.27","0.00","252,734"
"PRACHIN BURI","13","8","30","42","135","223","133","89","56","40","40","9","818","0","175.32","0.00","466,572"
"SA KAEO","10","12","24","64","127","159","176","96","79","27","21","6","801","1","147.22","0.12","544,100"
"SAMUT PRAKAN","139","123","124","161","265","287","229","190","111","114","78","45","1866","4","157.44","0.21","1,185,180"
"ZONE  4","238","241","246","273","496","598","670","785","617","489","489","165","5307","2","156.78","0.04","3,384,947"
"KANCHANABURI","21","38","63","100","163","152","89","80","73","69","70","0","918","1","109.31","0.11","839,776"
"NAKHON PATHOM","99","80","64","43","90","132","209","176","156","158","140","64","1411","0","164.02","0.00","860,246"
"RATCHABURI","78","79","78","69","115","203","190","319","272","200","239","77","1919","1","228.70","0.05","839,075"
"SUPHAN BURI","40","44","41","61","128","111","182","210","116","62","40","24","1059","0","125.20","0.00","845,850"
"ZONE  5","115","108","109","173","325","447","496","470","338","273","246","90","3190","2","192.27","0.06","1,659,111"
"PHETCHABURI","6","12","11","43","75","165","157","172","79","34","37","10","801","1","172.62","0.12","464,033"
"PRACHUAP KHIRI KHAN","29","23","22","49","72","116","100","82","66","41","31","25","656","0","128.85","0.00","509,134"
"SAMUT SAKHON","73","64","55","45","120","102","153","152","150","165","130","45","1254","1","254.94","0.08","491,887"
"SAMUT SONGKHRAM","7","9","21","36","58","64","86","64","43","33","48","10","479","0","246.83","0.00","194,057"
"ZONE  9","196","142","224","319","661","720","670","485","354","273","289","161","4494","4","167.80","0.09","2,678,232"
"CHANTHABURI","29","16","21","28","148","161","141","122","54","42","42","10","814","0","158.18","0.00","514,616"
"CHON BURI","94","75","130","168","268","269","223","141","155","109","128","64","1824","0","138.57","0.00","1,316,293"
"RAYONG","59","42","57","83","152","203","241","184","104","103","110","67","1405","4","224.30","0.28","626,402"
"TRAT","14","9","16","40","93","87","65","38","41","19","9","20","451","0","204.15","0.00","220,921"
"SOUTHERN REGION","721","492","396","321","506","512","488","468","397","412","397","322","5432","8","61.08","0.15","8,893,050"
"ZONE  6","294","207","167","117","178","156","153","154","129","147","127","90","1919","3","54.48","0.16","3,522,442"
"CHUMPHON","32","35","24","17","26","35","43","16","18","17","16","4","283","1","57.76","0.35","489,964"
"NAKHON SI THAMMARAT","135","96","90","58","81","62","51","64","64","49","40","18","808","1","53.07","0.12","1,522,561"
"PHATTHALUNG","69","40","22","24","35","28","40","43","29","55","43","50","478","0","93.81","0.00","509,534"
"SURAT THANI","58","36","31","18","36","31","19","31","18","26","28","18","350","1","34.99","0.29","1,000,383"
"ZONE  7","108","107","94","75","156","168","196","188","138","113","115","106","1564","2","85.16","0.13","1,836,621"
"KRABI","54","61","48","32","71","72","88","70","65","50","49","66","726","1","167.78","0.14","432,704"
"PHANGNGA","6","14","15","15","27","30","57","55","26","16","11","12","284","0","112.20","0.00","253,112"
"PHUKET","28","17","12","7","23","17","26","28","14","21","7","17","217","1","62.89","0.46","345,067"
"RANONG","5","6","7","7","10","6","3","8","5","5","14","1","77","0","42.06","0.00","183,079"
"TRANG","15","9","12","14","25","43","22","27","28","21","34","10","260","0","41.76","0.00","622,659"
"ZONE  8","319","178","135","129","172","188","139","126","130","152","155","126","1949","3","55.15","0.15","3,533,987"
"NARATHIWAT","50","22","16","15","24","29","27","30","28","16","22","37","316","0","42.87","0.00","737,162"
"PATTANI","38","7","8","11","12","13","11","6","14","11","15","6","152","0","23.20","0.00","655,259"
"SATUN","26","14","9","30","50","52","29","21","16","32","32","22","333","1","112.06","0.30","297,163"
"SONGKHLA","195","126","94","63","70","84","63","56","68","84","76","56","1035","2","76.27","0.19","1,357,023"
"YALA","10","9","8","10","16","10","9","13","4","9","10","5","113","0","23.19","0.00","487,380"

"","","","","","","","201","1","","","","","","","CASE","CASE","POP."
"","","","","DE","NGUE H","EMORRH","AGIC FEV","ER - TO","TAL (DF","+DHF+","DSS)","","","","RATE PER","FATALITY","DEC. 31, 2010"
"REPORTING  AREAS**","","","","","","","","","","","","","","","","",""
"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","TOTAL","TOTAL","100,000.00","RATE",""
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"NORTH-EASTERN REGION","229","162","295","449","1675","3253","3421","2650","1459","664","458","196","14911","13","69.12","0.09","21,573,318"
"ZONE  10","9","11","8","16","77","180","181","108","87","26","22","4","729","1","20.34","0.14","3,584,657"
"BUNGKAN","0","1","0","0","2","13","11","6","7","0","0","0","40","0","9.91","0.00","403,542"
"LOEI","1","7","5","11","45","68","81","26","36","16","10","2","308","1","49.35","0.32","624,066"
"NONG BUA LAM PHU","1","1","3","3","13","34","23","13","3","0","0","0","94","0","18.69","0.00","502,868"
"NONG KHAI","5","1","0","1","3","34","35","31","21","2","6","0","139","0","27.29","0.00","509,395"
"UDON THANI","2","1","0","1","14","31","31","32","20","8","6","2","148","0","9.58","0.00","1,544,786"
"ZONE  11","1","4","6","10","48","110","112","67","33","18","3","5","417","2","19.25","0.48","2,165,872"
"MUKDAHAN","0","1","6","4","11","32","37","12","7","2","0","0","112","1","32.98","0.89","339,575"
"NAKHON PHANOM","1","2","0","3","28","51","58","38","20","10","3","5","219","0","31.13","0.00","703,392"
"SAKON NAKHON","0","1","0","3","9","27","17","17","6","6","0","0","86","1","7.66","1.16","1,122,905"
"ZONE  12","39","29","44","79","343","716","899","758","429","200","124","57","3717","8","74.33","0.22","5,000,798"
"KALASIN","7","1","4","7","26","42","72","44","17","10","3","6","239","2","24.32","0.84","982,578"
"KHON KAEN","14","11","6","28","106","216","298","188","130","83","46","35","1161","3","65.68","0.26","1,767,601"
"MAHA SARAKHAM","9","5","11","9","48","79","145","103","106","41","30","5","591","0","62.81","0.00","940,911"
"ROI ET","9","12","23","35","163","379","384","423","176","66","45","11","1726","3","131.79","0.17","1,309,708"
"ZONE  13","41","42","68","131","557","812","848","681","334","148","74","25","3761","0","90.04","0.00","4,176,953"
"AMNAT CHAROEN","5","2","7","8","65","63","99","30","19","3","7","3","311","0","83.57","0.00","372,137"
"SI SA KET","15","21","43","88","332","426","488","397","186","88","41","20","2145","0","147.68","0.00","1,452,471"
"UBON RATCHATHANI","20","19","17","30","142","288","221","208","114","47","24","2","1132","0","62.43","0.00","1,813,088"
"YASOTHON","1","0","1","5","18","35","40","46","15","10","2","0","173","0","32.08","0.00","539,257"
"ZONE  14","139","76","169","213","650","1435","1381","1036","576","272","235","105","6287","2","94.61","0.03","6,645,038"
"BURI RAM","49","16","42","47","149","415","272","0","3","1","13","16","1023","1","65.84","0.10","1,553,765"
"CHAIYAPHUM","9","8","12","46","90","181","148","147","90","54","45","13","843","0","74.77","0.00","1,127,423"
"NAKHON RATCHASIMA","44","35","56","80","211","402","466","509","309","154","148","65","2479","0","96.01","0.00","2,582,089"
"SURIN","37","17","59","40","200","437","495","380","174","63","29","11","1942","1","140.55","0.05","1,381,761"
"NORTHERN REGION","278","259","293","513","1491","2681","2354","1552","791","426","360","135","11133","16","94.44","0.14","11,788,411"
"ZONE  15","44","11","23","31","186","260","192","142","75","34","52","9","1059","2","34.72","0.19","3,049,730"
"CHIANG MAI","29","7","11","12","87","142","93","95","49","21","39","6","591","2","36.03","0.34","1,640,479"
"LAMPANG","11","3","4","6","26","48","47","26","13","7","5","3","199","0","26.12","0.00","761,949"
"LAMPHUN","2","1","4","5","12","28","16","13","9","4","5","0","99","0","24.47","0.00","404,560"
"MAE HONG SON","2","0","4","8","61","42","36","8","4","2","3","0","170","0","70.03","0.00","242,742"
"ZONE  16","26","13","7","22","84","203","153","137","100","24","23","16","808","1","30.82","0.12","2,621,641"
"CHIANG RAI","21","7","4","10","41","108","92","102","78","21","20","12","516","1","43.06","0.19","1,198,218"
"NAN","0","2","0","3","9","9","9","5","7","1","0","0","45","0","9.45","0.00","476,363"
"PHAYAO","3","3","2","8","23","60","32","14","5","1","1","1","153","0","31.46","0.00","486,304"
"PHRAE","2","1","1","1","11","26","20","16","10","1","2","3","94","0","20.40","0.00","460,756"
"ZONE  17","108","122","134","228","643","1097","862","544","256","156","121","48","4319","6","125.71","0.14","3,435,803"
"PHETCHABUN","24","37","35","80","181","314","240","173","73","42","23","7","1229","3","123.39","0.24","996,031"
"PHITSANULOK","27","31","30","68","176","300","293","147","73","45","38","21","1249","0","146.99","0.00","849,692"
"SUKHOTHAI","16","13","21","50","149","220","171","99","44","28","14","4","829","0","137.76","0.00","601,778"
"TAK","34","36","47","24","91","148","98","73","43","31","27","14","666","2","126.69","0.30","525,684"
