"","","","","","","","20","07","","","","","","","CASES","CASE","POP."
"","","","","DENGU","E HAE","MORRH","AGIC F","EVER -","TOTAL (","DF+DHF","+DSS)","","","","RATE PER","FATALITY","DEC. 31, 2006"
"REPORTING  AREAS*","","","","","","","","","","","","","","","","",""
"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","TOTAL","TOTAL","100000","RATE",""
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"TOTAL","2141","1463","2196","2837","6249","11835","9686","8477","6859","5227","4275","1754","62999","90","100.27","0.14","6 2,828,706"
"N ORTHERN REGION","91","88","177","270","795","2047","1566","1146","832","624","447","211","8294","9","69.75","0.11","1 1,890,752"
"ZONE  1","4","10","17","57","354","908","562","353","235","128","93","22","2743","3","47.70","0.11","5 ,750,793"
"CHIANG MAI","1","3","3","12","32","99","158","156","98","47","40","7","656","0","39.56","0.00","1 ,658,298"
"C HIANG RAI","0","0","0","3","193","464","74","39","25","15","5","1","819","2","66.82","0.24","1 ,225,713"
"L AMPANG","1","4","4","15","46","80","47","24","7","1","5","3","237","1","30.63","0.42","7 73,790"
"LAMPHUN","0","1","1","4","19","39","109","67","77","39","29","7","392","0","96.66","0.00","4 05,564"
"M AE HONG SON","0","0","0","0","9","65","77","19","7","12","8","0","197","0","77.20","0.00","2 55,174"
"NAN","0","2","1","6","4","20","19","14","7","5","2","1","81","0","16.96","0.00","4 77,662"
"PHAYAO","0","0","0","1","5","21","9","7","4","2","1","0","50","0","10.28","0.00","4 86,219"
"P HRAE","2","0","8","16","46","120","69","27","10","7","3","3","311","0","66.40","0.00","4 68,373"
"ZONE  2","40","22","56","99","246","557","531","350","265","181","123","44","2514","4","72.85","0.16","3 ,450,804"
"P HETCHABUN","10","2","16","21","71","210","195","115","79","49","22","6","796","2","79.42","0.25","1 ,002,317"
"P HITSANULOK","9","4","6","27","44","117","112","100","78","60","45","20","622","1","73.65","0.16","8 44,508"
"SUKHOTHAI","4","1","11","18","52","47","18","26","13","7","3","0","200","0","32.85","0.00","6 08,820"
"T AK","5","12","12","17","23","95","134","67","58","50","43","13","529","1","100.25","0.19","5 27,677"
"U TTARADIT","12","3","11","16","56","88","72","42","37","15","10","5","367","0","78.51","0.00","4 67,482"
"ZONE  3","47","56","104","114","195","582","473","443","332","315","231","145","3037","2","112.94","0.07","2 ,689,155"
"K AMPHAENG PHET","15","18","29","41","44","143","121","104","47","43","38","27","670","1","91.99","0.15","7 28,320"
"N AKHON SAWAN","18","26","41","32","100","263","251","194","161","171","117","79","1453","1","135.04","0.07","1 ,076,015"
"PHICHIT","7","6","26","22","38","114","67","88","90","84","67","32","641","0","114.91","0.00","5 57,832"
"U THAI THANI","7","6","8","19","13","62","34","57","34","17","9","7","273","0","83.49","0.00","3 26,988"
"C ENTRAL REGION","1186","680","918","926","1763","3555","3319","3681","3031","2897","2822","1073","25851","41","123.33","0.16","2 0,960,688"
"BANGKOK  METRO  POLIS","599","282","323","273","446","723","698","762","836","838","945","219","6944","10","121.91","0.14","5 ,695,956"
"ZONE  4","101","90","116","114","182","402","476","597","579","470","467","249","3843","7","132.57","0.18","2 ,898,933"
"ANG THONG","9","1","2","6","12","25","41","52","50","40","71","60","369","1","129.96","0.27","2 83,943"
"NONTHABURI","55","54","90","74","109","286","284","396","335","239","182","75","2179","1","218.11","0.05","9 99,057"
"A YUTTHAYA","14","18","12","17","41","45","57","72","110","127","154","68","735","5","97.40","0.68","7 54,595"
"PATHUM THANI","23","17","12","17","20","46","94","77","84","64","60","46","560","0","65.02","0.00","8 61,338"
"ZONE  5","16","34","45","35","43","131","143","211","142","157","153","113","1223","1","63.74","0.08","1 ,918,605"
"C HAI NAT","2","1","13","11","16","21","25","44","23","22","32","23","233","0","68.73","0.00","3 39,006"
"LOP BURI","9","11","13","12","13","48","50","91","66","77","73","60","523","0","69.48","0.00","7 52,775"
"S ARABURI","3","18","16","11","11","59","67","72","47","50","42","19","415","1","68.05","0.24","6 09,855"
