"REPORTING  AREAS","JAN","FEB","MAR","DENGAPR","UE HEMAY","MORRHJUN","AGIC FJUL","2016EVER - TOAUG","TAL (DSEP","F+DHF+OCT","DSS)NOV","DEC","TOTAL","TOTAL","CASERATE PER 100,000.00","CASEFATALITYRATE","POP.DEC. 31, 2015"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"Total","7069","4060","3711","2150","1981","37427","496","10270","8005","63445","238","3244","63310","61","96.76","0.10","65,426,907"
"Northern Region","670","428","543","405","576","10462","547","3226","1879","853","525","198","12896","13","107.83","0.10","11,959,533"
"ZONE 1","207","119","154","201","369","6411","971","2660","1451","611","376","137","8897","8","153.89","0.09","5,781,324"
"Chiang Mai","79","28","43","61","109","2771","074","1624","868","303","216","70","4752","5","278.99","0.11","1,703,263"
"Lamphun","35","12","17","20","20","38","95","149","88","34","13","10","531","1","130.81","0.19","405,927"
"Lampang","23","23","28","19","26","32","162","248","104","59","16","6","746","0","99.11","0.00","752,685"
"Phrae","12","9","13","3","6","7","16","16","10","13","9","3","117","0","25.82","0.00","453,213"
"Nan","1","5","7","4","23","51","36","29","6","16","17","15","210","0","43.85","0.00","478,890"
"Phayao","8","6","2","25","46","18","22","35","32","5","2","1","202","0","41.77","0.00","483,550"
"Chiang Rai","33","19","19","31","49","123","327","309","166","61","41","19","1197","1","96.31","0.08","1,242,825"
"Mae Hong Son","16","17","25","38","90","95","239","250","177","120","62","13","1142","1","437.60","0.09","260,971"
"ZONE 2","217","146","207","120","186","369","494","401","291","149","97","32","2709","4","77.43","0.15","3,498,728"
"Uttaradit","13","7","27","15","17","14","41","48","36","9","6","1","234","1","50.86","0.43","460,084"
"Tak","52","32","45","39","38","62","130","112","60","59","51","16","696","1","120.21","0.14","578,968"
"Sukhothai","43","18","42","11","2","4","20","68","70","24","8","2","312","1","51.82","0.32","602,085"
"Phitsanulok","92","55","47","22","8","49","92","65","71","32","26","12","571","1","66.30","0.18","861,194"
"Phetchabun","17","34","46","33","121","240","211","108","54","25","6","1","896","0","89.92","0.00","996,397"
"ZONE 3","272","175","196","91","25","39","92","184","164","100","56","32","1426","1","47.35","0.07","3,011,449"
"Chai Nat","26","12","14","7","4","3","10","19","27","7","4","3","136","0","40.97","0.00","331,968"
"Nakhon Sawan","126","76","74","24","9","16","53","96","74","34","26","10","618","0","57.63","0.00","1,072,349"
"Uthai Thani","40","20","23","11","3","8","11","12","16","15","8","3","170","0","51.43","0.00","330,543"
"Kamphaeng Phet","38","11","21","28","7","7","8","15","18","16","5","2","176","0","24.11","0.00","729,839"
"Phichit","42","56","64","21","2","5","10","42","29","28","13","14","326","1","59.63","0.31","546,750"
"Central Region*","3902","1934","1450","731","467","5441","175","1824","1729","15321","362","830","17480","11","78.26","0.06","22,337,125"
"Bangkok","1914","823","535","251","124","123","360","607","623","725","781","502","7368","0","129.39","0.00","5,694,347"
"ZONE 4","474","272","212","104","55","75","161","318","333","208","132","100","2444","1","46.81","0.04","5,221,125"
"Nonthaburi","154","45","32","21","19","20","43","65","55","62","48","37","601","0","50.77","0.00","1,183,791"
"Pathum Thani","87","35","27","17","8","15","33","63","54","21","27","17","404","0","37.26","0.00","1,084,154"
"P.Nakhon S.Ayutthaya","77","60","46","37","12","20","35","71","82","43","25","21","529","0","65.63","0.00","805,980"
"Ang Thong","13","6","15","7","1","3","9","24","41","19","3","2","143","0","50.46","0.00","283,371"
"Lop Buri","80","71","62","13","8","5","17","45","68","41","14","11","435","0","57.35","0.00","758,531"
"Sing Buri","1","2","1","0","0","0","0","1","1","0","0","0","6","0","2.83","0.00","211,792"
"Saraburi","50","34","19","9","7","7","11","33","31","19","15","12","247","1","38.86","0.40","635,567"
"Nakhon Nayok","12","19","10","0","0","5","13","16","1","3","0","0","79","0","30.63","0.00","257,939"
"ZONE 5","625","298","258","133","86","93","235","379","366","238","189","111","3011","6","57.80","0.20","5,209,561"
"Ratchaburi","94","54","34","20","4","17","38","41","47","22","14","6","391","0","45.44","0.00","860,549"
"Kanchanaburi","40","17","27","10","9","8","23","23","16","15","3","5","196","1","22.65","0.51","865,172"
"Suphan Buri","41","27","33","24","8","7","27","46","59","24","25","10","331","0","38.97","0.00","849,376"
"Nakhon Pathom","213","85","63","34","21","20","39","90","82","53","35","27","762","1","85.12","0.13","895,207"
"Samut Sakhon","153","51","33","10","14","8","16","20","45","38","32","2","422","3","78.34","0.71","538,671"
"Samut Songkhram","21","9","8","5","3","2","1","8","3","3","3","3","69","0","35.52","0.00","194,283"
"Phetchaburi","40","27","32","21","19","22","61","104","84","59","31","21","521","1","109.36","0.19","476,391"
"Prachuap Khiri Khan","23","28","28","9","8","9","30","47","30","24","46","37","319","0","60.20","0.00","529,912"
"ZONE 6","863","529","431","236","198","250","409","501","380","354","256","114","4521","4","76.89","0.09","5,880,124"
"Samut Prakan","276","153","111","43","27","16","31","56","55","68","56","31","923","1","72.65","0.11","1,270,420"
"Chon Buri","221","122","93","51","29","19","22","75","75","60","42","18","827","1","57.50","0.12","1,438,231"
"Rayong","145","87","84","68","43","58","113","123","57","71","41","19","909","0","133.34","0.00","681,696"
"Chanthaburi","53","37","41","18","47","84","143","102","64","62","49","11","711","0","134.36","0.00","529,194"
"Trat","26","29","13","19","29","30","23","29","13","9","15","5","240","2","105.69","0.83","227,083"
"Chachoengsao","54","33","41","9","9","13","34","52","61","43","30","13","392","0","56.15","0.00","698,190"
"Prachin Buri","41","33","25","7","6","22","26","50","28","21","18","12","289","0","60.11","0.00","480,755"
"Sa Kaeo","47","35","23","21","8","8","17","14","27","20","5","5","230","0","41.47","0.00","554,555"

"REPORTING  AREAS","JAN","FEB","MAR","DENAPR","GUE HEMMAYJ","ORRHUN","20AGIC FEJUL","16VER - TOAUG","TAL (DSEP","F+DHF+OCT","DSS)NOV","DEC","TOTAL","TOTAL","CASERATE PER 100,000.00","CASEFATALITYRATE","POP.DEC. 31, 2015"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"NORTH-EASTERN REGION","1476","993","1189","677","6241","560","2475","2919","1915","1220","554","163","15765","13","72.05","0.08","21,880,646"
"ZONE  7","328","228","276","134","104","248","487","654","438","317","115","49","3378","1","66.89","0.03","5,049,920"
"Khon Kaen","101","55","55","25","34","76","111","157","101","55","22","8","800","1","44.59","0.13","1,794,032"
"Maha Sarakham","55","51","64","34","13","22","60","101","84","75","40","16","615","0","63.89","0.00","962,592"
"Roi Et","118","91","103","44","30","76","165","221","152","120","44","16","1180","0","90.20","0.00","1,308,241"
"Kalasin","54","31","54","31","27","74","151","175","101","67","9","9","783","0","79.49","0.00","985,055"
"ZONE 8","110","98","149","105","212","514","585","433","246","137","60","18","2667","1","48.39","0.04","5,511,930"
"Bungkan","23","27","33","26","69","144","128","92","48","31","12","0","633","0","150.86","0.00","419,607"
"Nong Bua Lam Phu","15","7","17","13","3","25","28","59","37","14","3","0","221","0","43.38","0.00","509,469"
"Udon Thani","12","9","12","5","4","9","43","30","22","18","10","3","177","0","11.25","0.00","1,572,726"
"Loei","22","26","37","27","53","158","137","98","66","42","15","7","688","1","108.06","0.15","636,666"
"Nong Khai","17","19","19","7","8","13","28","29","22","4","9","1","176","0","33.95","0.00","518,420"
"Sakon Nakhon","6","3","10","18","30","85","121","51","23","14","0","2","363","0","31.82","0.00","1,140,673"
"Nakhon Phanom","15","7","21","9","45","80","100","74","28","14","11","5","409","0","57.25","0.00","714,369"
"ZONE 9","584","390","396","201","134","346","680","1044","700","433","242","61","5211","8","77.34","0.15","6,737,604"
"Nakhon Ratchasima","189","115","137","64","52","97","193","318","213","132","100","29","1639","2","62.45","0.12","2,624,668"
"Buri Ram","104","92","95","35","12","36","77","110","95","54","31","9","750","2","47.41","0.27","1,581,955"
"Surin","225","134","122","86","56","171","317","494","313","200","91","21","2230","4","160.05","0.18","1,393,330"
"Chaiyaphum","66","49","42","16","14","42","93","122","79","47","20","2","592","0","52.04","0.00","1,137,651"
"ZONE 10","454","277","368","237","174","452","723","788","531","333","137","35","4509","3","98.42","0.07","4,581,192"
"Si Sa Ket","166","98","125","68","24","80","119","183","200","128","34","15","1240","2","84.53","0.16","1,467,006"
"Ubon Ratchathani","226","132","182","120","107","227","379","376","192","135","65","14","2155","0","116.42","0.00","1,851,049"
"Yasothon","17","25","19","20","13","28","67","83","51","12","6","0","341","0","63.13","0.00","540,197"
"Amnat Charoen","26","15","31","19","21","38","70","58","25","19","9","2","333","1","88.59","0.30","375,881"
"Mukdahan","19","7","11","10","9","79","88","88","63","39","23","4","440","0","126.78","0.00","347,059"
"Southern Region","1021","705","529","337","314","592","1299","2301","2482","2739","2797","2053","17169","24","185.62","0.14","9,249,603"
"ZONE 11","501","339","241","144","137","243","418","639","599","521","518","314","4614","2","105.25","0.04","4,383,957"
"Nakhon Si Thammarat","265","173","104","40","40","67","159","307","346","302","318","163","2284","0","147.33","0.00","1,550,278"
"Krabi","39","29","38","23","18","44","81","95","59","52","49","37","564","1","122.75","0.18","459,456"
"Phangnga","46","31","20","28","25","62","54","55","24","9","9","0","363","1","138.17","0.28","262,721"
"Phuket","67","42","44","28","29","23","37","58","31","49","51","42","501","0","130.99","0.00","382,485"
"Surat Thani","44","32","26","13","11","16","41","62","95","68","63","57","528","0","50.60","0.00","1,043,501"
