"REPORTING  AREAS","JAN","FEB","MAR","APR","DENGUEMAY","HEMORRJUN","2HAGIC FJUL","015EVER - TAUG","OTAL (DSEP","F+DHF+OCT","DSS)NOV","DEC","TOTALT","OTAL","CASERATE PER 100,000.00","CASEFATALITYRATE","POP.DEC. 31,2014"
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"Total","26212","1622","7143","416","80391","28471","76342","17622","12451","8079","232359","171","142925","141","219.46","0.10","65,124,716"
"Northern RegionZONE 1","12238","13030","22022","38388","1388607","25641300","34911807","41182202","40662166","29321486","303311492","033523","2348011761","169","198.20205.99","0.070.08","11,846,6515,709,443"
"Chiang MaiLamphun","170","130","71","252","1738","37331","59941","81091","1061163","896179","849144","26650","5089710","40","303.23175.11","0.080.00","1,678,284405,468"
"LampangPhraeNan","410","330","073","92017","599483","19020195","230322130","256375102","29120761","1334820","1414512","71247","13871347530","040","184.19296.64110.82","0.000.300.00","753,013454,083478,264"
"Phayao","0","0","1","4","37","57","59","40","30","27","37","23","315","1","65.02","0.32","484,454"
"Chiang RaiMae Hong Son","610","110","21","92","13815","28370","250176","337191","25697","13053","20955","7111","1692691","00","140.10278.43","0.000.00","1,207,699248,178"
"ZONE 2UttaraditTak","42329","40014","98027","121344","3247182","63416379","81037450","88277327","77680255","47134175","59633181","2051271","49993022134","311","144.6065.60395.51","0.060.330.05","3,457,208460,400539,553"
"Sukhothai","2","14","59","57","63","60","44","66","58","49","82","41","595","0","98.76","0.00","602,460"
"PhitsanulokPhetchabun","53","210","48","710","2250","8891","161118","240172","225158","13875","22377","6813","1183785","10","137.7278.83","0.080.00","858,988995,807"
"ZONE 3Chai Nat","5311","7313","11010","18814","49134","735105","95379","111884","119470","104671","101570","34540","7321601","51","243.04180.87","0.070.17","3,012,283332,283"
"Nakhon SawanUthai Thani","249","237","386","7239","23997","361141","462237","563301","598295","543207","571174","15948","36531561","30","340.52472.77","0.080.00","1,072,756330,179"
"Kamphaeng PhetPhichit","63","1416","2135","2043","3982","6068","9976","7991","118113","13293","46154","3563","669837","10","91.70152.86","0.150.00","729,522547,543"
"Central Region*","17001","4261","7592","042","4170","5378","7461","8842","9310","9568","148195","600","72075","77","324.31","0.11","22,224,307"
"BangkokZONE 4","614172","445200","418229","414310","1001816","1099795","1592911","23921176","28171532","39671638","834631909","186684","2629110372","314","461.87199.60","0.010.13","5,692,2845,196,419"
"NonthaburiPathum Thani","2824","3243","3429","2223","4548","7855","135101","161123","185208","303268","627393","274130","19241445","32","163.90134.54","0.160.14","1,173,8701,074,058"
"P.Nakhon S.Ayutthaya","33","13","28","30","86","116","141","172","238","290","315","95","1557","3","193.75","0.19","803,599"
"Ang ThongLop Buri","1738","1879","2384","5580","155259","166191","142148","134213","136387","124376","71328","2175","10622258","03","374.51297.73","0.000.13","283,568758,406"
"Sing BuriSaraburiNakhon Nayok","0257","0132","3244","7876","1519117","2013138","1716364","12259102","18230130","1323034","414724","4814","1131581432","030","53.26249.58167.90","0.000.190.00","212,158633,460257,300"
"ZONE 5Ratchaburi","41781","39881","606189","618192","934298","1505479","2238752","2555858","2484759","1793352","2015293","82344","163864378","245","317.13513.12","0.150.11","5,166,914853,217"
"Kanchanaburi","30","27","46","51","76","98","192","201","143","119","169","60","1212","5","142.89","0.41","848,198"
"Suphan BuriNakhon Pathom","17128","18102","38108","3191","86106","97162","115334","149498","176508","183396","234411","83235","12273079","02","144.51345.54","0.000.06","849,053891,071"
"Samut Sakhon","68","55","75","63","55","64","75","64","171","228","398","202","1518","2","285.40","0.13","531,887"
"Samut SongkhramPhetchaburi","2051","2965","4370","36102","47170","34372","57553","106506","111433","79291","70273","4655","6782941","06","349.14620.21","0.000.20","194,189474,192"
