"","","","","","","","","2017","","","","","","","CASE","CASE","POP."
"REPORTING  AREAS","","","","","DENGUE","HEMOR","RHAGIC","FEVER -","TOTAL (","DF+DH","F+DSS)","","","","RATE PER","FATALITY","DEC. 31, 2015"
"","JAN","FEB","MAR","APR","MAY","JUN","JUL","AUG","SEP","OCT","NOV","DEC","TOTAL","TOTAL","100,000.00","RATE",""
"","","","","","","","","","","","","","","","","",""
"","C","C","C","C","C","C","C","C","C","C","C","C","C","D","POP.","(%)",""
"Total","3437","2477","2166","2111","3760","7023","8064","4233","0","0","0","0","33271","48","50.85","0.14","65,426,907"
"Northern Region","137","124","175","259","710","1697","2315","1258","0","0","0","0","6675","10","55.81","0.15","11,959,533"
"ZONE 1","82","70","66","126","395","832","1167","616","0","0","0","0","3354","6","58.01","0.18","5,781,324"
"Chiang Mai","46","29","36","47","165","376","598","290","0","0","0","0","1587","5","93.17","0.32","1,703,263"
"Lamphun","3","2","5","7","19","22","69","53","0","0","0","0","180","0","44.34","0.00","405,927"
"Lampang","6","8","9","17","37","54","81","22","0","0","0","0","234","0","31.09","0.00","752,685"
"Phrae","1","3","3","2","8","11","11","5","0","0","0","0","44","0","9.71","0.00","453,213"
"Nan","12","9","2","15","69","76","71","23","0","0","0","0","277","0","57.84","0.00","478,890"
"Phayao","0","1","0","3","16","15","15","5","0","0","0","0","55","0","11.37","0.00","483,550"
"Chiang Rai","12","12","5","18","42","194","236","184","0","0","0","0","703","1","56.56","0.14","1,242,825"
"Mae Hong Son","2","6","6","17","39","84","86","34","0","0","0","0","274","0","104.99","0.00","260,971"
"ZONE 2","30","28","59","70","238","618","759","425","0","0","0","0","2227","3","63.65","0.13","3,498,728"
"Uttaradit","2","7","5","3","27","36","60","72","0","0","0","0","212","0","46.08","0.00","460,084"
"Tak","10","4","23","16","107","337","395","149","0","0","0","0","1041","2","179.80","0.19","578,968"
"Sukhothai","1","4","0","4","7","33","35","42","0","0","0","0","126","0","20.93","0.00","602,085"
"Phitsanulok","15","6","18","33","59","126","117","85","0","0","0","0","459","0","53.30","0.00","861,194"
"Phetchabun","2","7","13","14","38","86","152","77","0","0","0","0","389","1","39.04","0.26","996,397"
"ZONE 3","29","30","57","75","84","284","431","237","0","0","0","0","1227","1","40.74","0.08","3,011,449"
"Chai Nat","4","4","7","12","7","37","42","20","0","0","0","0","133","0","40.06","0.00","331,968"
"Nakhon Sawan","12","10","15","17","13","64","89","90","0","0","0","0","310","0","28.91","0.00","1,072,349"
"Uthai Thani","2","1","0","0","5","11","23","13","0","0","0","0","55","0","16.64","0.00","330,543"
"Kamphaeng Phet","4","9","21","26","24","89","145","31","0","0","0","0","349","0","47.82","0.00","729,839"
"Phichit","7","6","14","20","35","83","132","83","0","0","0","0","380","1","69.50","0.26","546,750"
"Central Region*","823","597","594","588","935","1973","2862","1561","0","0","0","0","9933","12","44.47","0.12","22,337,125"
"Bangkok","389","249","210","217","264","694","1250","738","0","0","0","0","4011","1","70.44","0.02","5,694,347"
"ZONE 4","116","97","75","74","138","264","359","235","0","0","0","0","1358","5","26.01","0.37","5,221,125"
"Nonthaburi","41","31","15","13","45","98","104","87","0","0","0","0","434","3","36.66","0.69","1,183,791"
"Pathum Thani","18","21","24","21","26","34","39","25","0","0","0","0","208","0","19.19","0.00","1,084,154"
"P.Nakhon S.Ayutthaya","20","14","17","30","27","58","89","47","0","0","0","0","302","1","37.47","0.33","805,980"
"Ang Thong","9","5","2","3","11","21","50","31","0","0","0","0","132","0","46.58","0.00","283,371"
"Lop Buri","11","15","9","1","9","7","15","12","0","0","0","0","79","0","10.41","0.00","758,531"
"Sing Buri","0","1","0","0","1","8","2","1","0","0","0","0","13","0","6.14","0.00","211,792"
"Saraburi","16","8","6","5","9","33","55","30","0","0","0","0","162","1","25.49","0.62","635,567"
"Nakhon Nayok","1","2","2","1","10","5","5","2","0","0","0","0","28","0","10.86","0.00","257,939"
"ZONE 5","141","124","156","111","211","443","642","341","0","0","0","0","2169","3","41.63","0.14","5,209,561"
"Ratchaburi","16","5","8","7","14","41","60","6","0","0","0","0","157","0","18.24","0.00","860,549"
"Kanchanaburi","4","2","3","1","7","18","31","13","0","0","0","0","79","0","9.13","0.00","865,172"
"Suphan Buri","13","24","32","21","39","54","67","9","0","0","0","0","259","0","30.49","0.00","849,376"
"Nakhon Pathom","25","22","27","21","30","74","114","108","0","0","0","0","421","0","47.03","0.00","895,207"
"Samut Sakhon","12","17","19","10","30","71","92","60","0","0","0","0","311","2","57.73","0.64","538,671"
"Samut Songkhram","4","1","3","6","1","4","11","15","0","0","0","0","45","0","23.16","0.00","194,283"
"Phetchaburi","45","32","48","25","59","121","214","88","0","0","0","0","632","0","132.66","0.00","476,391"
"Prachuap Khiri Khan","22","21","16","20","31","60","53","42","0","0","0","0","265","1","50.01","0.38","529,912"
"ZONE 6","173","123","146","174","315","535","569","227","0","0","0","0","2262","3","38.47","0.13","5,880,124"
"Samut Prakan","57","32","51","30","33","77","134","56","0","0","0","0","470","0","37.00","0.00","1,270,420"
"Chon Buri","38","29","37","38","58","55","78","9","0","0","0","0","342","0","23.78","0.00","1,438,231"
"Rayong","30","22","21","37","72","87","99","46","0","0","0","0","414","1","60.73","0.24","681,696"
"Chanthaburi","6","21","14","24","41","54","58","36","0","0","0","0","254","0","48.00","0.00","529,194"
