x,y
416,0
416,2
418,5
418,8
420,11
420,13
421,14
424,25
426,28
429,39
431,42
431,44
432,45
435,56
438,61
439,67
441,70
443,78
445,81
446,86
448,89
448,92
451,97
452,103
454,106
455,111
457,113
458,119
460,122
461,127
463,130
463,133
466,138
466,140
467,141
470,152
472,154
472,157
473,158
474,163
478,171
478,174
479,175
480,180
482,183
482,186
483,187
483,189
484,190
484,192
485,193
485,195
488,202
488,205
489,206
489,209
490,210
490,213
491,214
491,217
492,218
492,224
493,225
493,229
494,231
493,229
493,225
492,224
492,218
491,217
491,214
490,213
490,210
489,209
488,202
486,198
486,195
485,194
484,189
482,186
482,183
480,180
480,177
479,176
478,171
476,168
474,160
472,157
472,154
470,152
469,146
467,143
467,141
466,140
465,135
463,132
463,130
461,127
461,125
460,124
457,113
455,110
455,108
453,105
451,97
449,94
448,89
446,86
445,80
442,75
442,73
441,72
438,61
436,58
434,50
432,47
430,39
428,36
428,34
426,30
426,27
423,22
423,20
420,13
420,10
418,8
418,5
416,2
