x,y
516,443
527,465
532,472
533,476
536,479
539,486
544,493
548,502
551,505
552,509
556,514
560,523
562,525
565,532
567,534
570,541
572,543
572,545
574,547
578,556
580,558
584,567
586,569
587,573
591,579
595,588
597,590
597,592
601,598
613,623
615,625
622,639
622,641
624,643
632,659
632,661
634,663
640,676
641,676
639,674
631,658
631,656
629,654
621,638
621,636
619,634
615,625
613,623
611,619
611,617
609,615
605,607
605,605
599,596
599,594
597,592
597,590
595,588
595,586
593,584
589,575
587,573
587,571
584,565
582,563
571,541
565,532
565,530
559,521
559,519
557,517
551,505
546,498
544,493
542,491
539,484
534,477
532,472
527,465
525,461
525,459
521,454
521,452
519,450
