"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Month","Cases"
"2017","Planning Area 1.0","I Portuária","Caju","20477","1","4"
"2017","Planning Area 1.0","I Portuária","Caju","20477","2","7"
"2017","Planning Area 1.0","I Portuária","Caju","20477","3","1"
"2017","Planning Area 1.0","I Portuária","Caju","20477","4","4"
"2017","Planning Area 1.0","I Portuária","Caju","20477","5","1"
"2017","Planning Area 1.0","I Portuária","Caju","20477","6","0"
"2017","Planning Area 1.0","I Portuária","Caju","20477","7","1"
"2017","Planning Area 1.0","I Portuária","Caju","20477","8","0"
"2017","Planning Area 1.0","I Portuária","Caju","20477","9","0"
"2017","Planning Area 1.0","I Portuária","Caju","20477","10","1"
"2017","Planning Area 1.0","I Portuária","Caju","20477","11","0"
"2017","Planning Area 1.0","I Portuária","Caju","20477","12","1"
"2017","Planning Area 1.0","I Portuária","Gamboa","274913108","1","01"
"2017","Planning Area 1.0","I Portuária","Gamboa","274913108","2","21"
"2017","Planning Area 1.0","I Portuária","Gamboa","274913108","3","02"
"2017","Planning Area 1.0","I Portuária","Gamboa","274913108","4","03"
"2017","Planning Area 1.0","I Portuária","Gamboa","274913108","5","05"
"2017","Planning Area 1.0","I Portuária","Gamboa","274913108","6","01"
"2017","Planning Area 1.0","I Portuária","Gamboa","274913108","7","01"
"2017","Planning Area 1.0","I Portuária","Gamboa","274913108","8","00"
"2017","Planning Area 1.0","I Portuária","Gamboa","274913108","9","00"
"2017","Planning Area 1.0","I Portuária","Gamboa","274913108","10","00"
"2017","Planning Area 1.0","I Portuária","Gamboa","274913108","11","00"
"2017","Planning Area 1.0","I Portuária","Gamboa","274913108","12","00"
"2017","Planning Area 1.0","I Portuária","Santo Cristo","12330","1","0"
"2017","Planning Area 1.0","I Portuária","Santo Cristo","12330","2","4"
"2017","Planning Area 1.0","I Portuária","Santo Cristo","12330","3","2"
"2017","Planning Area 1.0","I Portuária","Santo Cristo","12330","4","0"
"2017","Planning Area 1.0","I Portuária","Santo Cristo","12330","5","0"
"2017","Planning Area 1.0","I Portuária","Santo Cristo","12330","6","0"
"2017","Planning Area 1.0","I Portuária","Santo Cristo","12330","7","0"
"2017","Planning Area 1.0","I Portuária","Santo Cristo","12330","8","1"
"2017","Planning Area 1.0","I Portuária","Santo Cristo","12330","9","0"
"2017","Planning Area 1.0","I Portuária","Santo Cristo","12330","10","3"
"2017","Planning Area 1.0","I Portuária","Santo Cristo","12330","11","0"
"2017","Planning Area 1.0","I Portuária","Santo Cristo","12330","12","0"
"2017","Planning Area 1.0","II Centro","Centro","41142","1","6"
"2017","Planning Area 1.0","II Centro","Centro","41142","2","9"
"2017","Planning Area 1.0","II Centro","Centro","41142","3","4"
"2017","Planning Area 1.0","II Centro","Centro","41142","4","7"
"2017","Planning Area 1.0","II Centro","Centro","41142","5","1"
"2017","Planning Area 1.0","II Centro","Centro","41142","6","2"
"2017","Planning Area 1.0","II Centro","Centro","41142","7","1"
"2017","Planning Area 1.0","II Centro","Centro","41142","8","1"
"2017","Planning Area 1.0","II Centro","Centro","41142","9","1"
"2017","Planning Area 1.0","II Centro","Centro","41142","10","1"
"2017","Planning Area 1.0","II Centro","Centro","41142","11","2"
"2017","Planning Area 1.0","II Centro","Centro","41142","12","0"
"2017","Planning Area 1.0","III Rio Comprido","Catumbi","12556","1","5"
"2017","Planning Area 1.0","III Rio Comprido","Catumbi","12556","2","7"
"2017","Planning Area 1.0","III Rio Comprido","Catumbi","12556","3","6"
"2017","Planning Area 1.0","III Rio Comprido","Catumbi","12556","4","2"
"2017","Planning Area 1.0","III Rio Comprido","Catumbi","12556","5","0"
"2017","Planning Area 1.0","III Rio Comprido","Catumbi","12556","6","0"
"2017","Planning Area 1.0","III Rio Comprido","Catumbi","12556","7","0"
"2017","Planning Area 1.0","III Rio Comprido","Catumbi","12556","8","1"
"2017","Planning Area 1.0","III Rio Comprido","Catumbi","12556","9","0"
"2017","Planning Area 1.0","III Rio Comprido","Catumbi","12556","10","0"
