"Number","Administrative.region","Neighbourhoods","Population","Ref."
"I","Portuária","Caju","48,664","[2]"
"I","Portuária","Gamboa","48,664","[2]"
"I","Portuária","Santo Cristo","48,664","[2]"
"I","Portuária","Saúde","48,664","[2]"
"II","Centro","Centro","41,142","[3]"
"III","Rio Comprido","Catumbi","78,975","[4]"
"III","Rio Comprido","Cidade Nova","78,975","[4]"
"III","Rio Comprido","Estácio","78,975","[4]"
"III","Rio Comprido","Rio Comprido","78,975","[4]"
"IV","Botafogo","Botafogo","239,729","[5]"
"IV","Botafogo","Catete","239,729","[5]"
"IV","Botafogo","Cosme Velho","239,729","[5]"
"IV","Botafogo","Flamengo","239,729","[5]"
"IV","Botafogo","Glória","239,729","[5]"
"IV","Botafogo","Humaitá","239,729","[5]"
"IV","Botafogo","Laranjeiras","239,729","[5]"
"IV","Botafogo","Urca","239,729","[5]"
"V","Copacabana","Copacabana","161,191","[6]"
"V","Copacabana","Leme","161,191","[6]"
"VI","Lagoa","Gávea","167,774","[7]"
"VI","Lagoa","Ipanema","167,774","[7]"
"VI","Lagoa","Jardim Botânico","167,774","[7]"
"VI","Lagoa","Lagoa","167,774","[7]"
"VI","Lagoa","Leblon","167,774","[7]"
"VI","Lagoa","São Conrado","167,774","[7]"
"VI","Lagoa","Vidigal","167,774","[7]"
"VII","São Cristovão","Benfica","84,908","[8]"
"VII","São Cristovão","Mangueira","84,908","[8]"
"VII","São Cristovão","São Cristóvão","84,908","[8]"
"VII","São Cristovão","Vasco da Gama","84,908","[8]"
"VIII","Tijuca","Alto da Boa Vista","181,810","[9]"
"VIII","Tijuca","Praça da Bandeira","181,810","[9]"
"VIII","Tijuca","Tijuca","181,810","[9]"
"IX","Vila Isabel","Andaraí","189,310","[10]"
"IX","Vila Isabel","Grajaú","189,310","[10]"
"IX","Vila Isabel","Maracanã","189,310","[10]"
"IX","Vila Isabel","Vila Isabel","189,310","[10]"
"X","Ramos","Bonsucesso","153,177","[11]"
"X","Ramos","Manguinhos","153,177","[11]"
"X","Ramos","Olaria","153,177","[11]"
"X","Ramos","Ramos","153,177","[11]"
"XI","Penha","Brás de Pina","185,716","[12]"
"XI","Penha","Penha","185,716","[12]"
"XI","Penha","Penha Circular","185,716","[12]"
"XII","Inhaúma","Del Castilho","134,349","[13]"
"XII","Inhaúma","Engenho da Rainha","134,349","[13]"
"XII","Inhaúma","Higienópolis","134,349","[13]"
"XII","Inhaúma","Inhaúma","134,349","[13]"
"XII","Inhaúma","Maria da Graça","134,349","[13]"
"XII","Inhaúma","Tomás Coelho","134,349","[13]"
"XIII","Méier","Abolição","397,782","[14]"
"XIII","Méier","Água Santa","397,782","[14]"
"XIII","Méier","Cachambi","397,782","[14]"
"XIII","Méier","Encantado","397,782","[14]"
"XIII","Méier","Engenho de Dentro","397,782","[14]"
"XIII","Méier","Engenho Novo","397,782","[14]"
"XIII","Méier","Jacaré","397,782","[14]"
"XIII","Méier","Lins de Vasconcelos","397,782","[14]"
"XIII","Méier","Méier","397,782","[14]"
"XIII","Méier","Piedade","397,782","[14]"
"XIII","Méier","Pilares","397,782","[14]"
"XIII","Méier","Riachuelo","397,782","[14]"
"XIII","Méier","Rocha","397,782","[14]"
"XIII","Méier","Sampaio","397,782","[14]"
"XIII","Méier","São Francisco Xavier","397,782","[14]"
"XIII","Méier","Todos os Santos","397,782","[14]"
"XIV","Irajá","Colégio","202,952","[15]"
"XIV","Irajá","Irajá","202,952","[15]"
"XIV","Irajá","Vicente de Carvalho","202,952","[15]"
"XIV","Irajá","Vila Cosmos","202,952","[15]"
"XIV","Irajá","Vila da Penha","202,952","[15]"
"XIV","Irajá","Vista Alegre","202,952","[15]"
"XV","Madureira","Bento Ribeiro","372,555","[16]"
"XV","Madureira","Campinho","372,555","[16]"
"XV","Madureira","Cascadura","372,555","[16]"
"XV","Madureira","Cavalcanti","372,555","[16]"
"XV","Madureira","Engenheiro Leal","372,555","[16]"
"XV","Madureira","Honório Gurgel","372,555","[16]"
"XV","Madureira","Madureira","372,555","[16]"
"XV","Madureira","Marechal Hermes","372,555","[16]"
"XV","Madureira","Oswaldo Cruz","372,555","[16]"
"XV","Madureira","Quintino Bocaiúva","372,555","[16]"
"XV","Madureira","Rocha Miranda","372,555","[16]"
"XV","Madureira","Turiaçu","372,555","[16]"
"XV","Madureira","Vaz Lobo","372,555","[16]"
"XVI","Jacarepaguá","Anil","572,030","[17]"
"XVI","Jacarepaguá","Curicica","572,030","[17]"
"XVI","Jacarepaguá","Freguesia (Jacarepaguá)","572,030","[17]"
"XVI","Jacarepaguá","Gardênia Azul","572,030","[17]"
"XVI","Jacarepaguá","Jacarepaguá","572,030","[17]"
"XVI","Jacarepaguá","Pechincha","572,030","[17]"
"XVI","Jacarepaguá","Praça Seca","572,030","[17]"
"XVI","Jacarepaguá","Tanque","572,030","[17]"
"XVI","Jacarepaguá","Taquara","572,030","[17]"
"XVI","Jacarepaguá","Vila Valqueire","572,030","[17]"
"XVII","Bangu","Bangu","412,868","[18]"
"XVII","Bangu","Gericinó","412,868","[18]"
"XVII","Bangu","Padre Miguel","412,868","[18]"
"XVII","Bangu","Senador Camará","412,868","[18]"
"XVIII","Campo Grande","Campo Grande","542,084","[19]"
"XVIII","Campo Grande","Cosmos","542,084","[19]"
"XVIII","Campo Grande","Inhoaíba","542,084","[19]"
"XVIII","Campo Grande","Santíssimo","542,084","[19]"
"XVIII","Campo Grande","Senador Vasconcelos","542,084","[19]"
"XIX","Santa Cruz","Paciência","368,534","[20]"
"XIX","Santa Cruz","Santa Cruz","368,534","[20]"
"XIX","Santa Cruz","Sepetiba","368,534","[20]"
"XX","Ilha do Governador","Bancários","212,574","[21]"
"XX","Ilha do Governador","Cacuia","212,574","[21]"
"XX","Ilha do Governador","Cidade Universitária","212,574","[21]"
"XX","Ilha do Governador","Cocotá","212,574","[21]"
"XX","Ilha do Governador","Freguesia (Ilha do Governador)","212,574","[21]"
"XX","Ilha do Governador","Galeão","212,574","[21]"
"XX","Ilha do Governador","Jardim Carioca","212,574","[21]"
"XX","Ilha do Governador","Jardim Guanabara","212,574","[21]"
"XX","Ilha do Governador","Moneró","212,574","[21]"
"XX","Ilha do Governador","Pitangueiras","212,574","[21]"
"XX","Ilha do Governador","Portuguesa","212,574","[21]"
"XX","Ilha do Governador","Praia da Bandeira","212,574","[21]"
"XX","Ilha do Governador","Ribeira","212,574","[21]"
"XX","Ilha do Governador","Tauá","212,574","[21]"
"XX","Ilha do Governador","Zumbi","212,574","[21]"
"XXI","Ilha de Paquetá","Paquetá","3,361","[22]"
"XXII","Anchieta","Anchieta","158,318","[23]"
"XXII","Anchieta","Guadalupe","158,318","[23]"
"XXII","Anchieta","Parque Anchieta","158,318","[23]"
"XXII","Anchieta","Ricardo de Albuquerque","158,318","[23]"
"XXIII","Santa Teresa","Santa Teresa","40,926","[24]"
"XXIV","Barra da Tijuca","Barra da Tijuca","300,823","[25]"
"XXIV","Barra da Tijuca","Camorim","300,823","[25]"
"XXIV","Barra da Tijuca","Grumari","300,823","[25]"
"XXIV","Barra da Tijuca","Itanhangá","300,823","[25]"
"XXIV","Barra da Tijuca","Joá","300,823","[25]"
"XXIV","Barra da Tijuca","Recreio dos Bandeirantes","300,823","[25]"
"XXIV","Barra da Tijuca","Vargem Grande","300,823","[25]"
"XXIV","Barra da Tijuca","Vargem Pequena","300,823","[25]"
"XXV","Pavuna","Acari","208,813","[26]"
"XXV","Pavuna","Barros Filho","208,813","[26]"
"XXV","Pavuna","Coelho Neto","208,813","[26]"
"XXV","Pavuna","Costa Barros","208,813","[26]"
"XXV","Pavuna","Parque Columbia","208,813","[26]"
"XXV","Pavuna","Pavuna","208,813","[26]"
"XXVI","Guaratiba","Barra de Guaratiba","123,114","[27]"
"XXVI","Guaratiba","Guaratiba","123,114","[27]"
"XXVI","Guaratiba","Pedra de Guaratiba","123,114","[27]"
"XXVII","Rocinha","Rocinha","69,356","[28]"
"XXVIII","Jacarezinho","Jacarezinho","37,839","[29]"
"XXIX","Complexo do Alemão","Complexo do Alemão","69,143","[30]"
"XXX","Maré","Maré","129,770","[31]"
"XXXI","Vigário Geral","Cordovil","136,171","[32]"
"XXXI","Vigário Geral","Jardim América","136,171","[32]"
"XXXI","Vigário Geral","Parada de Lucas","136,171","[32]"
"XXXI","Vigário Geral","Vigário Geral","136,171","[32]"
"XXXIII","Realengo","Campo dos Afonsos","243,006","[33]"
"XXXIII","Realengo","Deodoro","243,006","[33]"
"XXXIII","Realengo","Jardim Sulacap","243,006","[33]"
"XXXIII","Realengo","Magalhães Bastos","243,006","[33]"
"XXXIII","Realengo","Realengo","243,006","[33]"
"XXXIII","Realengo","Vila Militar","243,006","[33]"
"XXXIV","Cidade de Deus","Cidade de Deus","12,285","[34]"
