"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Week","Cases"
"2006","Planning Area 1.0","I Portuária","Caju","17658","1","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","2","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","3","1"
"2006","Planning Area 1.0","I Portuária","Caju","17658","4","2"
"2006","Planning Area 1.0","I Portuária","Caju","17658","5","1"
"2006","Planning Area 1.0","I Portuária","Caju","17658","6","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","7","1"
"2006","Planning Area 1.0","I Portuária","Caju","17658","8","1"
"2006","Planning Area 1.0","I Portuária","Caju","17658","9","4"
"2006","Planning Area 1.0","I Portuária","Caju","17658","10","4"
"2006","Planning Area 1.0","I Portuária","Caju","17658","11","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","12","2"
"2006","Planning Area 1.0","I Portuária","Caju","17658","13","2"
"2006","Planning Area 1.0","I Portuária","Caju","17658","14","3"
"2006","Planning Area 1.0","I Portuária","Caju","17658","15","4"
"2006","Planning Area 1.0","I Portuária","Caju","17658","16","4"
"2006","Planning Area 1.0","I Portuária","Caju","17658","17","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","18","1"
"2006","Planning Area 1.0","I Portuária","Caju","17658","19","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","20","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","21","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","22","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","23","1"
"2006","Planning Area 1.0","I Portuária","Caju","17658","24","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","25","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","26","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","27","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","28","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","29","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","30","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","31","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","32","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","33","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","34","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","35","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","36","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","37","1"
"2006","Planning Area 1.0","I Portuária","Caju","17658","38","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","39","1"
"2006","Planning Area 1.0","I Portuária","Caju","17658","40","1"
"2006","Planning Area 1.0","I Portuária","Caju","17658","41","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","42","1"
"2006","Planning Area 1.0","I Portuária","Caju","17658","43","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","44","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","45","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","46","1"
"2006","Planning Area 1.0","I Portuária","Caju","17658","47","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","48","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","49","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","50","1"
"2006","Planning Area 1.0","I Portuária","Caju","17658","51","0"
"2006","Planning Area 1.0","I Portuária","Caju","17658","52","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","1","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","2","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","3","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","4","2"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","5","1"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","6","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","7","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","8","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","9","1"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","10","2"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","11","3"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","12","4"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","13","3"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","14","1"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","15","6"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","16","1"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","17","3"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","18","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","19","2"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","20","1"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","21","2"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","22","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","23","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","24","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","25","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","26","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","27","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","28","1"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","29","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","30","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","31","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","32","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","33","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","34","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","35","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","36","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","37","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","38","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","39","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","40","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","41","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","42","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","43","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","44","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","45","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","46","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","47","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","48","0"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","49","1"
"2006","Planning Area 1.0","I Portuária","Gamboa","9909","50","0"
