"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Week","Cases"
"2018","Planning Area 1.0","I Portuária","Caju","20477","1","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","2","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","3","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","4","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","5","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","6","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","7","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","8","1"
"2018","Planning Area 1.0","I Portuária","Caju","20477","9","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","10","2"
"2018","Planning Area 1.0","I Portuária","Caju","20477","11","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","12","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","13","1"
"2018","Planning Area 1.0","I Portuária","Caju","20477","14","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","15","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","16","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","17","2"
"2018","Planning Area 1.0","I Portuária","Caju","20477","18","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","19","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","20","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","21","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","22","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","23","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","24","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","25","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","26","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","27","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","28","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","29","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","30","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","31","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","32","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","33","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","34","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","35","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","36","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","37","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","38","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","39","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","40","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","41","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","42","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","43","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","44","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","45","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","46","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","47","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","48","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","49","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","50","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","51","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","52","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","1","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","2","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","3","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","4","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","5","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","6","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","7","1"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","8","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","9","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","10","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","11","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","12","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","13","1"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","14","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","15","1"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","16","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","17","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","18","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","19","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","20","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","21","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","22","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","23","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","24","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","25","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","26","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","27","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","28","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","29","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","30","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","31","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","32","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","33","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","34","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","35","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","36","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","37","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","38","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","39","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","40","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","41","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","42","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","43","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","44","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","45","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","46","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","47","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","48","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","49","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","50","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","51","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","52","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","1","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","2","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","3","2"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","4","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","5","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","6","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","7","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","8","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","9","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","10","1"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","11","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","12","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","13","4"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","14","2"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","15","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","16","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","17","1"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","18","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","19","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","20","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","21","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","22","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","23","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","24","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","25","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","26","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","27","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","28","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","29","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","30","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","31","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","32","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","33","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","34","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","35","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","36","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","37","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","38","0"
