"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Month","Cases"
"2012","Planning Area 1.0","I Portuária","Caju","20477","1","5"
"2012","Planning Area 1.0","I Portuária","Caju","20477","2","16"
"2012","Planning Area 1.0","I Portuária","Caju","20477","3","53"
"2012","Planning Area 1.0","I Portuária","Caju","20477","4","75"
"2012","Planning Area 1.0","I Portuária","Caju","20477","5","127"
"2012","Planning Area 1.0","I Portuária","Caju","20477","6","35"
"2012","Planning Area 1.0","I Portuária","Caju","20477","7","13"
"2012","Planning Area 1.0","I Portuária","Caju","20477","8","19"
"2012","Planning Area 1.0","I Portuária","Caju","20477","9","6"
"2012","Planning Area 1.0","I Portuária","Caju","20477","10","9"
"2012","Planning Area 1.0","I Portuária","Caju","20477","11","2"
"2012","Planning Area 1.0","I Portuária","Caju","20477","12","9"
"2012","Planning Area 1.0","I Portuária","Gamboa","13108","1","3"
"2012","Planning Area 1.0","I Portuária","Gamboa","13108","2","13"
"2012","Planning Area 1.0","I Portuária","Gamboa","13108","3","26"
"2012","Planning Area 1.0","I Portuária","Gamboa","13108","4","38"
"2012","Planning Area 1.0","I Portuária","Gamboa","13108","5","43"
"2012","Planning Area 1.0","I Portuária","Gamboa","13108","6","8"
"2012","Planning Area 1.0","I Portuária","Gamboa","13108","7","3"
"2012","Planning Area 1.0","I Portuária","Gamboa","13108","8","4"
"2012","Planning Area 1.0","I Portuária","Gamboa","13108","9","0"
"2012","Planning Area 1.0","I Portuária","Gamboa","13108","10","0"
"2012","Planning Area 1.0","I Portuária","Gamboa","13108","11","0"
"2012","Planning Area 1.0","I Portuária","Gamboa","13108","12","4"
"2012","Planning Area 1.0","I Portuária","Santo Cristo","12330","1","12"
"2012","Planning Area 1.0","I Portuária","Santo Cristo","12330","2","19"
"2012","Planning Area 1.0","I Portuária","Santo Cristo","12330","3","57"
"2012","Planning Area 1.0","I Portuária","Santo Cristo","12330","4","74"
"2012","Planning Area 1.0","I Portuária","Santo Cristo","12330","5","77"
"2012","Planning Area 1.0","I Portuária","Santo Cristo","12330","6","24"
"2012","Planning Area 1.0","I Portuária","Santo Cristo","12330","7","12"
"2012","Planning Area 1.0","I Portuária","Santo Cristo","12330","8","1"
"2012","Planning Area 1.0","I Portuária","Santo Cristo","12330","9","3"
"2012","Planning Area 1.0","I Portuária","Santo Cristo","12330","10","1"
"2012","Planning Area 1.0","I Portuária","Santo Cristo","12330","11","0"
"2012","Planning Area 1.0","I Portuária","Santo Cristo","12330","12","3"
"2012","Planning Area 1.0","I Portuária","Saúde","2749","1","1"
"2012","Planning Area 1.0","I Portuária","Saúde","2749","2","4"
"2012","Planning Area 1.0","I Portuária","Saúde","2749","3","9"
"2012","Planning Area 1.0","I Portuária","Saúde","2749","4","13"
"2012","Planning Area 1.0","I Portuária","Saúde","2749","5","10"
"2012","Planning Area 1.0","I Portuária","Saúde","2749","6","3"
"2012","Planning Area 1.0","I Portuária","Saúde","2749","7","2"
"2012","Planning Area 1.0","I Portuária","Saúde","2749","8","1"
"2012","Planning Area 1.0","I Portuária","Saúde","2749","9","1"
"2012","Planning Area 1.0","I Portuária","Saúde","2749","10","0"
"2012","Planning Area 1.0","I Portuária","Saúde","2749","11","4"
"2012","Planning Area 1.0","I Portuária","Saúde","2749","12","5"
"2012","Planning Area 1.0","II Centro","Centro","41142","1","41"
"2012","Planning Area 1.0","II Centro","Centro","41142","2","84"
"2012","Planning Area 1.0","II Centro","Centro","41142","3","139"
"2012","Planning Area 1.0","II Centro","Centro","41142","4","160"
"2012","Planning Area 1.0","II Centro","Centro","41142","5","210"
"2012","Planning Area 1.0","II Centro","Centro","41142","6","46"
"2012","Planning Area 1.0","II Centro","Centro","41142","7","12"
"2012","Planning Area 1.0","II Centro","Centro","41142","8","9"
"2012","Planning Area 1.0","II Centro","Centro","41142","9","4"
"2012","Planning Area 1.0","II Centro","Centro","41142","10","6"
"2012","Planning Area 1.0","II Centro","Centro","41142","11","3"
"2012","Planning Area 1.0","II Centro","Centro","41142","12","8"
"2012","Planning Area 1.0","III Rio Comprido","Catumbi","12556","1","6"
"2012","Planning Area 1.0","III Rio Comprido","Catumbi","12556","2","22"
"2012","Planning Area 1.0","III Rio Comprido","Catumbi","12556","3","23"
"2012","Planning Area 1.0","III Rio Comprido","Catumbi","12556","4","40"
"2012","Planning Area 1.0","III Rio Comprido","Catumbi","12556","5","63"
"2012","Planning Area 1.0","III Rio Comprido","Catumbi","12556","6","30"
