"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Month","Cases"
"2014","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15167665198","1","036"
"2014","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15167665198","2","027"
"2014","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15167665198","3","023"
"2014","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15167665198","4","016"
"2014","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15167665198","5","021"
"2014","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15167665198","6","015"
"2014","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15167665198","7","022"
"2014","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15167665198","8","017"
"2014","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15167665198","9","020"
"2014","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15167665198","10","016"
"2014","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15167665198","11","09"
"2014","Planning Area 1.0","VII São Cristovão","Vasco da Gama","15167665198","12","013"
"2014","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926638050","1","533"
"2014","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926638050","2","735"
"2014","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926638050","3","323"
"2014","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926638050","4","023"
"2014","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926638050","5","39"
"2014","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926638050","6","517"
"2014","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926638050","7","113"
"2014","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926638050","8","04"
"2014","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926638050","9","29"
"2014","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926638050","10","111"
"2014","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926638050","11","413"
"2014","Planning Area 1.0","XXIII Santa Teresa","Santa Teresa","40926638050","12","015"
"2014","Planning Area 2.1","IV Botafogo","Laranjeiras","23972950043966145554","1","21443"
"2014","Planning Area 2.1","IV Botafogo","Laranjeiras","23972950043966145554","2","25143"
"2014","Planning Area 2.1","IV Botafogo","Laranjeiras","23972950043966145554","3","12010"
"2014","Planning Area 2.1","IV Botafogo","Laranjeiras","23972950043966145554","4","12100"
