"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Month","Cases"
"2015","Planning Area 1.0","I Portuária","Caju","20477","1","1"
"2015","Planning Area 1.0","I Portuária","Caju","20477","2","0"
"2015","Planning Area 1.0","I Portuária","Caju","20477","3","2"
"2015","Planning Area 1.0","I Portuária","Caju","20477","4","2"
"2015","Planning Area 1.0","I Portuária","Caju","20477","5","9"
"2015","Planning Area 1.0","I Portuária","Caju","20477","6","7"
"2015","Planning Area 1.0","I Portuária","Caju","20477","7","5"
"2015","Planning Area 1.0","I Portuária","Caju","20477","8","2"
"2015","Planning Area 1.0","I Portuária","Caju","20477","9","1"
"2015","Planning Area 1.0","I Portuária","Caju","20477","10","1"
"2015","Planning Area 1.0","I Portuária","Caju","20477","11","2"
"2015","Planning Area 1.0","I Portuária","Caju","20477","12","6"
"2015","Planning Area 1.0","I Portuária","Gamboa","13108","1","0"
"2015","Planning Area 1.0","I Portuária","Gamboa","13108","2","0"
"2015","Planning Area 1.0","I Portuária","Gamboa","13108","3","0"
"2015","Planning Area 1.0","I Portuária","Gamboa","13108","4","1"
"2015","Planning Area 1.0","I Portuária","Gamboa","13108","5","8"
"2015","Planning Area 1.0","I Portuária","Gamboa","13108","6","2"
"2015","Planning Area 1.0","I Portuária","Gamboa","13108","7","0"
"2015","Planning Area 1.0","I Portuária","Gamboa","13108","8","1"
"2015","Planning Area 1.0","I Portuária","Gamboa","13108","9","1"
"2015","Planning Area 1.0","I Portuária","Gamboa","13108","10","0"
"2015","Planning Area 1.0","I Portuária","Gamboa","13108","11","0"
"2015","Planning Area 1.0","I Portuária","Gamboa","13108","12","4"
"2015","Planning Area 1.0","I Portuária","Santo Cristo","12330","1","0"
"2015","Planning Area 1.0","I Portuária","Santo Cristo","12330","2","0"
"2015","Planning Area 1.0","I Portuária","Santo Cristo","12330","3","0"
"2015","Planning Area 1.0","I Portuária","Santo Cristo","12330","4","3"
"2015","Planning Area 1.0","I Portuária","Santo Cristo","12330","5","2"
"2015","Planning Area 1.0","I Portuária","Santo Cristo","12330","6","2"
"2015","Planning Area 1.0","I Portuária","Santo Cristo","12330","7","1"
"2015","Planning Area 1.0","I Portuária","Santo Cristo","12330","8","1"
"2015","Planning Area 1.0","I Portuária","Santo Cristo","12330","9","1"
"2015","Planning Area 1.0","I Portuária","Santo Cristo","12330","10","0"
"2015","Planning Area 1.0","I Portuária","Santo Cristo","12330","11","1"
"2015","Planning Area 1.0","I Portuária","Santo Cristo","12330","12","0"
"2015","Planning Area 1.0","I Portuária","Saúde","2749","1","0"
"2015","Planning Area 1.0","I Portuária","Saúde","2749","2","0"
"2015","Planning Area 1.0","I Portuária","Saúde","2749","3","0"
"2015","Planning Area 1.0","I Portuária","Saúde","2749","4","1"
"2015","Planning Area 1.0","I Portuária","Saúde","2749","5","3"
"2015","Planning Area 1.0","I Portuária","Saúde","2749","6","1"
"2015","Planning Area 1.0","I Portuária","Saúde","2749","7","0"
"2015","Planning Area 1.0","I Portuária","Saúde","2749","8","0"
"2015","Planning Area 1.0","I Portuária","Saúde","2749","9","0"
"2015","Planning Area 1.0","I Portuária","Saúde","2749","10","0"
"2015","Planning Area 1.0","I Portuária","Saúde","2749","11","0"
"2015","Planning Area 1.0","I Portuária","Saúde","2749","12","0"
"2015","Planning Area 1.0","II Centro","Centro","41142","1","2"
"2015","Planning Area 1.0","II Centro","Centro","41142","2","2"
"2015","Planning Area 1.0","II Centro","Centro","41142","3","2"
"2015","Planning Area 1.0","II Centro","Centro","41142","4","18"
"2015","Planning Area 1.0","II Centro","Centro","41142","5","25"
"2015","Planning Area 1.0","II Centro","Centro","41142","6","12"
"2015","Planning Area 1.0","II Centro","Centro","41142","7","2"
"2015","Planning Area 1.0","II Centro","Centro","41142","8","1"
"2015","Planning Area 1.0","II Centro","Centro","41142","9","3"
"2015","Planning Area 1.0","II Centro","Centro","41142","10","3"
"2015","Planning Area 1.0","II Centro","Centro","41142","11","1"
"2015","Planning Area 1.0","II Centro","Centro","41142","12","7"
"2015","Planning Area 1.0","III Rio Comprido","Catumbi","12556","1","2"
"2015","Planning Area 1.0","III Rio Comprido","Catumbi","12556","2","0"
"2015","Planning Area 1.0","III Rio Comprido","Catumbi","12556","3","3"
"2015","Planning Area 1.0","III Rio Comprido","Catumbi","12556","4","15"
"2015","Planning Area 1.0","III Rio Comprido","Catumbi","12556","5","17"
"2015","Planning Area 1.0","III Rio Comprido","Catumbi","12556","6","10"
"2015","Planning Area 1.0","III Rio Comprido","Catumbi","12556","7","10"
