"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Week","Cases"
"2008","Planning Area 1.0","I Portuária","Caju","17658","1","2"
"2008","Planning Area 1.0","I Portuária","Caju","17658","2","4"
"2008","Planning Area 1.0","I Portuária","Caju","17658","3","5"
"2008","Planning Area 1.0","I Portuária","Caju","17658","4","6"
"2008","Planning Area 1.0","I Portuária","Caju","17658","5","9"
"2008","Planning Area 1.0","I Portuária","Caju","17658","6","5"
"2008","Planning Area 1.0","I Portuária","Caju","17658","7","16"
"2008","Planning Area 1.0","I Portuária","Caju","17658","8","24"
"2008","Planning Area 1.0","I Portuária","Caju","17658","9","64"
"2008","Planning Area 1.0","I Portuária","Caju","17658","10","81"
"2008","Planning Area 1.0","I Portuária","Caju","17658","11","124"
"2008","Planning Area 1.0","I Portuária","Caju","17658","12","174"
"2008","Planning Area 1.0","I Portuária","Caju","17658","13","263"
"2008","Planning Area 1.0","I Portuária","Caju","17658","14","353"
"2008","Planning Area 1.0","I Portuária","Caju","17658","15","263"
"2008","Planning Area 1.0","I Portuária","Caju","17658","16","238"
"2008","Planning Area 1.0","I Portuária","Caju","17658","17","224"
"2008","Planning Area 1.0","I Portuária","Caju","17658","18","126"
"2008","Planning Area 1.0","I Portuária","Caju","17658","19","80"
"2008","Planning Area 1.0","I Portuária","Caju","17658","20","53"
"2008","Planning Area 1.0","I Portuária","Caju","17658","21","29"
"2008","Planning Area 1.0","I Portuária","Caju","17658","22","22"
"2008","Planning Area 1.0","I Portuária","Caju","17658","23","12"
"2008","Planning Area 1.0","I Portuária","Caju","17658","24","3"
"2008","Planning Area 1.0","I Portuária","Caju","17658","25","1"
"2008","Planning Area 1.0","I Portuária","Caju","17658","26","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","27","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","28","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","29","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","30","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","31","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","32","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","33","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","34","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","35","1"
"2008","Planning Area 1.0","I Portuária","Caju","17658","36","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","37","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","38","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","39","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","40","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","41","1"
"2008","Planning Area 1.0","I Portuária","Caju","17658","42","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","43","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","44","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","45","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","46","1"
"2008","Planning Area 1.0","I Portuária","Caju","17658","47","2"
"2008","Planning Area 1.0","I Portuária","Caju","17658","48","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","49","1"
"2008","Planning Area 1.0","I Portuária","Caju","17658","50","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","51","0"
"2008","Planning Area 1.0","I Portuária","Caju","17658","52","0"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","1","0"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","2","11"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","3","13"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","4","8"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","5","8"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","6","6"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","7","8"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","8","14"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","9","11"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","10","23"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","11","28"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","12","22"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","13","46"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","14","29"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","15","29"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","16","19"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","17","9"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","18","6"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","19","3"
"2008","Planning Area 1.0","I Portuária","Gamboa","9909","20","6"
