"Year","Planning.Area","Administrative.Region","Neighborhood","Population","Month","Cases"
"2018","Planning Area 1.0","I Portuária","Caju","20477","1","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","2","1"
"2018","Planning Area 1.0","I Portuária","Caju","20477","3","3"
"2018","Planning Area 1.0","I Portuária","Caju","20477","4","2"
"2018","Planning Area 1.0","I Portuária","Caju","20477","5","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","6","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","7","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","8","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","9","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","10","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","11","0"
"2018","Planning Area 1.0","I Portuária","Caju","20477","12","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","1","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","2","1"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","3","1"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","4","1"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","5","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","6","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","7","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","8","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","9","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","10","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","11","0"
"2018","Planning Area 1.0","I Portuária","Gamboa","13108","12","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","1","2"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","2","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","3","5"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","4","3"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","5","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","6","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","7","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","8","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","9","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","10","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","11","0"
"2018","Planning Area 1.0","I Portuária","Santo Cristo","12330","12","0"
"2018","Planning Area 1.0","I Portuária","Saúde","2749","1","0"
"2018","Planning Area 1.0","I Portuária","Saúde","2749","2","0"
"2018","Planning Area 1.0","I Portuária","Saúde","2749","3","0"
"2018","Planning Area 1.0","I Portuária","Saúde","2749","4","0"
"2018","Planning Area 1.0","I Portuária","Saúde","2749","5","0"
"2018","Planning Area 1.0","I Portuária","Saúde","2749","6","0"
"2018","Planning Area 1.0","I Portuária","Saúde","2749","7","0"
"2018","Planning Area 1.0","I Portuária","Saúde","2749","8","0"
"2018","Planning Area 1.0","I Portuária","Saúde","2749","9","0"
"2018","Planning Area 1.0","I Portuária","Saúde","2749","10","0"
"2018","Planning Area 1.0","I Portuária","Saúde","2749","11","0"
"2018","Planning Area 1.0","I Portuária","Saúde","2749","12","0"
"2018","Planning Area 1.0","II Centro","Centro","41142","1","3"
"2018","Planning Area 1.0","II Centro","Centro","41142","2","6"
"2018","Planning Area 1.0","II Centro","Centro","41142","3","16"
"2018","Planning Area 1.0","II Centro","Centro","41142","4","7"
"2018","Planning Area 1.0","II Centro","Centro","41142","5","0"
"2018","Planning Area 1.0","II Centro","Centro","41142","6","0"
"2018","Planning Area 1.0","II Centro","Centro","41142","7","0"
"2018","Planning Area 1.0","II Centro","Centro","41142","8","0"
"2018","Planning Area 1.0","II Centro","Centro","41142","9","0"
"2018","Planning Area 1.0","II Centro","Centro","41142","10","0"
"2018","Planning Area 1.0","II Centro","Centro","41142","11","0"
"2018","Planning Area 1.0","II Centro","Centro","41142","12","0"
"2018","Planning Area 1.0","III Rio Comprido","Catumbi","12556","1","2"
"2018","Planning Area 1.0","III Rio Comprido","Catumbi","12556","2","0"
"2018","Planning Area 1.0","III Rio Comprido","Catumbi","12556","3","2"
"2018","Planning Area 1.0","III Rio Comprido","Catumbi","12556","4","2"
"2018","Planning Area 1.0","III Rio Comprido","Catumbi","12556","5","1"
"2018","Planning Area 1.0","III Rio Comprido","Catumbi","12556","6","0"
"2018","Planning Area 1.0","III Rio Comprido","Catumbi","12556","7","0"
"2018","Planning Area 1.0","III Rio Comprido","Catumbi","12556","8","0"
"2018","Planning Area 1.0","III Rio Comprido","Catumbi","12556","9","0"
"2018","Planning Area 1.0","III Rio Comprido","Catumbi","12556","10","0"
"2018","Planning Area 1.0","III Rio Comprido","Catumbi","12556","11","0"
"2018","Planning Area 1.0","III Rio Comprido","Catumbi","12556","12","0"
"2018","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","1","0"
"2018","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","2","0"
"2018","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","3","2"
"2018","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","4","0"
"2018","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","5","0"
"2018","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","6","0"
"2018","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","7","0"
"2018","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","8","0"
"2018","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","9","0"
"2018","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","10","0"
"2018","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","11","0"
"2018","Planning Area 1.0","III Rio Comprido","Cidade Nova","5466","12","0"
"2018","Planning Area 1.0","III Rio Comprido","Estácio","17189","1","0"
"2018","Planning Area 1.0","III Rio Comprido","Estácio","17189","2","2"
"2018","Planning Area 1.0","III Rio Comprido","Estácio","17189","3","2"
"2018","Planning Area 1.0","III Rio Comprido","Estácio","17189","4","1"
"2018","Planning Area 1.0","III Rio Comprido","Estácio","17189","5","0"
"2018","Planning Area 1.0","III Rio Comprido","Estácio","17189","6","0"
"2018","Planning Area 1.0","III Rio Comprido","Estácio","17189","7","0"
"2018","Planning Area 1.0","III Rio Comprido","Estácio","17189","8","0"
"2018","Planning Area 1.0","III Rio Comprido","Estácio","17189","9","0"
"2018","Planning Area 1.0","III Rio Comprido","Estácio","17189","10","0"
"2018","Planning Area 1.0","III Rio Comprido","Estácio","17189","11","0"
"2018","Planning Area 1.0","III Rio Comprido","Estácio","17189","12","0"
"2018","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","1","6"
"2018","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","2","3"
"2018","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","3","4"
"2018","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","4","0"
"2018","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","5","0"
"2018","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","6","0"
"2018","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","7","0"
"2018","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","8","0"
"2018","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","9","0"
"2018","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","10","0"
"2018","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","11","0"
"2018","Planning Area 1.0","III Rio Comprido","Rio Comprido","43764","12","0"
"2018","Planning Area 1.0","VII São Cristovão","Benfica","25081","1","0"
"2018","Planning Area 1.0","VII São Cristovão","Benfica","25081","2","1"
"2018","Planning Area 1.0","VII São Cristovão","Benfica","25081","3","3"
"2018","Planning Area 1.0","VII São Cristovão","Benfica","25081","4","6"
"2018","Planning Area 1.0","VII São Cristovão","Benfica","25081","5","0"
"2018","Planning Area 1.0","VII São Cristovão","Benfica","25081","6","0"
"2018","Planning Area 1.0","VII São Cristovão","Benfica","25081","7","0"
"2018","Planning Area 1.0","VII São Cristovão","Benfica","25081","8","0"
"2018","Planning Area 1.0","VII São Cristovão","Benfica","25081","9","0"
"2018","Planning Area 1.0","VII São Cristovão","Benfica","25081","10","0"
"2018","Planning Area 1.0","VII São Cristovão","Benfica","25081","11","0"
"2018","Planning Area 1.0","VII São Cristovão","Benfica","25081","12","0"
"2018","Planning Area 1.0","VII São Cristovão","Mangueira","17835","1","1"
"2018","Planning Area 1.0","VII São Cristovão","Mangueira","17835","2","1"
"2018","Planning Area 1.0","VII São Cristovão","Mangueira","17835","3","0"
"2018","Planning Area 1.0","VII São Cristovão","Mangueira","17835","4","0"
"2018","Planning Area 1.0","VII São Cristovão","Mangueira","17835","5","0"
"2018","Planning Area 1.0","VII São Cristovão","Mangueira","17835","6","0"
"2018","Planning Area 1.0","VII São Cristovão","Mangueira","17835","7","0"
"2018","Planning Area 1.0","VII São Cristovão","Mangueira","17835","8","0"
"2018","Planning Area 1.0","VII São Cristovão","Mangueira","17835","9","0"
"2018","Planning Area 1.0","VII São Cristovão","Mangueira","17835","10","0"
"2018","Planning Area 1.0","VII São Cristovão","Mangueira","17835","11","0"
"2018","Planning Area 1.0","VII São Cristovão","Mangueira","17835","12","0"
"2018","Planning Area 1.0","VII São Cristovão","São Cristóvão","26510","1","2"
