x,y
557,0
556,9
555,10
555,13
554,14
554,22
552,24
552,30
551,31
551,34
550,35
550,41
548,44
548,51
546,55
546,60
544,64
544,71
542,74
542,80
540,84
540,90
538,93
538,100
537,101
537,104
536,105
536,109
534,113
534,121
532,123
532,130
530,134
530,140
528,143
528,150
527,151
527,154
526,155
526,159
525,160
525,163
524,164
524,171
522,174
522,181
521,182
521,185
520,186
520,194
518,196
518,205
517,206
517,210
516,211
516,223
515,224
515,230
515,224
516,223
516,211
517,210
517,206
518,205
518,196
520,194
520,186
521,185
521,182
522,181
522,174
524,172
524,164
526,160
526,155
527,154
527,151
528,150
528,143
530,141
530,134
532,130
532,123
534,121
534,113
536,110
536,105
537,104
537,101
538,100
538,93
540,91
540,84
542,80
542,74
544,71
544,64
546,60
546,55
548,51
548,44
550,42
550,35
551,34
551,31
552,30
552,25
554,22
554,14
556,10
556,5
557,4
