x,y
521,442
522,445
526,449
531,458
535,462
540,470
544,474
546,478
548,479
550,483
555,488
560,496
570,508
572,512
575,515
576,518
583,526
589,536
595,543
600,552
609,563
614,572
618,576
625,588
628,591
636,604
639,607
645,618
649,622
650,625
659,637
663,645
670,654
671,657
675,662
676,665
679,668
683,676
684,676
679,668
676,665
667,649
665,648
661,640
656,634
655,631
652,628
651,625
646,619
645,616
642,613
641,610
636,604
631,595
628,592
627,589
626,589
623,585
617,574
615,573
605,557
603,556
602,553
597,547
596,544
592,540
591,537
587,533
586,530
579,522
571,509
566,504
565,501
559,494
557,490
553,486
553,485
551,484
549,480
545,476
537,464
536,464
532,459
531,456
528,453
527,450
525,447
523,446
