"Year","Week","Country.or.Subregion","Probable","Lab.Confirm","Severe.Dengue","Deaths","New.Serotype","Cumul.Serotype","Population.x.1000"
"2017","39 - 41","Canada",0,0,0,0,NA,NA,0
"2017","39 - 41","United States of America",23,23,0,0,NA,"DEN",325128
"2017","38 - 38","Belize",0,0,0,0,NA,"DEN",348
"2017","34 - 39","Costa Rica",519,0,0,0,NA,"DEN 1,2",5002
"2017","39 - 41","El Salvador",210,15,1,0,NA,"DEN 2",6246
"2017","37 - 39","Guatemala",250,352,3,4,NA,"DEN 1,2,3,4",16255
"2017","39 - 41","Honduras",136,0,5,0,NA,"DEN 1,2,3",8721
"2017","39 - 41","Mexico",9466,1713,25,0,NA,"DEN 1,2,3",125236
"2017","38 - 41","Nicaragua",2734,117,0,0,NA,"DEN 2",6257
"2017","37 - 37","Panama",0,0,0,0,NA,"DEN 1,2",3988
"2017","39 - 41","Bolivia",-242,0,1,0,NA,"DEN",11025
"2017","39 - 41","Colombia",830,658,4,6,NA,"DEN 1,2,3,4",49259
"2017","39 - 41","Ecuador",81,101,0,0,NA,"DEN",16226
"2017","39 - 41","Peru",596,334,4,0,NA,"DEN 2,3",31161
"2017","31 - 31","Venezuela",0,0,0,0,NA,"DEN",31028
"2017","38 - 40","Argentina",245,0,0,0,NA,"DEN 1,3",42155
"2017","35 - 35","Brazil",0,0,0,0,NA,"DEN 1,2,3,4",203657
"2017","26 - 38","Chile",5,5,0,0,"DEN 1,3","DEN 1,3",17924
"2017","37 - 39","Paraguay",35,2,0,0,NA,"DEN 1",7033
"2017","39 - 41","Uruguay",0,0,0,0,NA,NA,3430
"2017","25 - 25","Cuba",0,0,0,0,NA,"DEN 2,3",11249
"2017","38 - 40","Dominican Republic",105,0,6,0,NA,"DEN",10652
"2017","39 - 41","Puerto Rico",0,0,0,0,NA,"DEN 2",3680
"2017","39 - 41","American Virgin Islands",0,0,0,0,NA,"DEN",104
"2017","28 - 36","Anguilla",1,0,0,0,NA,"DEN",16
"2017","28 - 40","Antigua and Barbuda",0,0,0,0,NA,"DEN",92
"2017","26 - 32","Aruba",-19,392,0,0,NA,"DEN",112
"2017","28 - 36","Bahamas",0,0,0,0,NA,"DEN",388
"2017","28 - 36","Barbados",117,280,0,0,NA,"DEN",291
"2017","28 - 36","Bermuda",0,0,0,0,NA,NA,70
"2017","0 - 0","Bonaire, Saba and St. Eustatius",0,0,0,0,NA,NA,0
"2017","32 - 32","British Virgin Islands",0,0,0,0,NA,"DEN",33
"2017","28 - 40","Cayman Islands",0,0,0,0,NA,"DEN",56
"2017","0 - 0","Curacao",0,0,0,0,NA,NA,0
"2017","28 - 28","Dominica",2,0,0,0,NA,"DEN",74
"2017","37 - 37","French Guiana",0,0,0,0,NA,"DEN",239
"2017","28 - 36","Grenada",40,40,0,0,NA,"DEN",111
"2017","30 - 30","Guadaloupe",0,0,0,0,NA,"DEN",411
"2017","0 - 0","Haiti",0,0,0,0,NA,NA,0
"2017","38 - 38","Jamaica",0,0,0,0,NA,"DEN 3",2813
"2017","30 - 30","Martinique",0,0,0,0,NA,"DEN 2",398
"2017","28 - 40","Montserrat",0,0,0,0,NA,NA,5
"2017","30 - 30","Saint Barthelemy",0,0,0,0,NA,"DEN",9
"2017","28 - 28","Saint Kitts and Nevis",2,0,0,0,NA,"DEN",52
"2017","24 - 32","Saint Lucia",14,14,0,0,NA,"DEN",164
"2017","30 - 30","Saint Martin",0,0,0,0,NA,"DEN",41
"2017","28 - 36","Saint Vincent and the Grenadines",0,0,0,0,NA,"DEN",103
"2017","0 - 0","Suriname",0,0,0,0,NA,NA,0
"2017","32 - 39","Trinidad and Tobago",14,3,0,0,NA,"DEN",1347
"2017","24 - 36","Turks and Caicos Islands",44,44,0,0,NA,"DEN",50
