"Year","Week","Country.or.Subregion","Probable","Lab.Confirm","Severe.Dengue","Deaths","New.Serotype","Cumul.Serotype","Population.x.1000"
"2017","Week 30 - Week 32","Canada",0,0,0,0,NA,NA,NA
"2017","Week 30 - Week 32","United States",19,19,0,0,NA,"DEN",325128
"2017","Week 23 - Week 23","Belize",0,0,NA,0,NA,"DEN",348
"2017","Week 30 - Week 30","Costa Rica",0,NA,0,0,NA,"DEN 1,2",5002
"2017","Week 29 - Week 32","El Salvador",207,29,-50,0,NA,"DEN 2",6426
"2017","Week 27 - Week 31","Guatemala",539,156,NA,NA,"DEN 3,4","DEN 1,2,3,4",16255
"2017","Week 30 - Week 32","Honduras",204,0,4,0,NA,"DEN 1, 2, 3",8721
"2017","Week 30 - Week 32","Mexico",987,0,115,0,NA,"DEN 1,2,3",125236
"2017","Week 26 - Week 32","Nicaragua",10522,340,NA,0,"DEN 2","DEN 2",6257
"2017","Week 30 - Week 31","Panama",294,183,-1,0,NA,"DEN 1,2",3988
"2017","Week 30 - Week 32","Bolivia",-85,NA,0,NA,NA,NA,11025
"2017","Week 30 - Week 32","Colombia",734,0,5,-11,NA,"DEN",49529
"2017","Week 28 - Week 28","Ecuador",0,0,0,0,NA,"DEN",16226
"2017","Week 30 - Week 32","Peru",932,248,2,2,NA,"DEN 2,3",31161
"2017","Week 17 - Week 17","Venezuela",0,0,0,0,NA,"DEN",31028
"2017","Week 30 - Week 32","Argentina",-1132,-192,0,0,NA,"DEN 1,2,3",42155
"2017","Week 25 - Week 31","Brazil",18504,NA,23,15,"DEN 1,2,3,4","DEN 1,2,3,4",203657
"2017","Week 28 - Week 28","Chile",0,0,0,0,NA,"DEN 2",17924
"2017","Week 28 - Week 31","Paraguay",33,8,NA,0,NA,"DEN 1",7033
"2017","Week 30 - Week 32","Uruguay",0,0,0,0,NA,NA,3430
"2017","Week 25 - Week 25","Cuba",0,NA,NA,NA,NA,"DEN 2,3",11249
"2017","Week 30 - Week 30","Dominican Republic",0,NA,0,0,NA,"DEN",10652
"2017","Week 30 - Week 32","Puerto Rico",0,0,0,0,NA,"DEN 2",3680
"2017","Week 30 - Week 32","American Virgin Islands",0,0,0,0,NA,"DEN",104
"2017","Week 12 - Week 12","Anguilla",0,0,0,0,NA,"DEN",16
"2017","Week 24 - Week 24","Antigua & Barbuda",0,0,0,0,NA,NA,92
"2017","Week 24 - Week 24","Aruba",0,0,0,0,NA,"DEN",112
"2017","Week 20 - Week 20","Bahamas",0,0,0,0,NA,NA,388
"2017","Week 20 - Week 20","Barbados",0,0,0,0,NA,"DEN",291
"2017","Week 24 - Week 24","Bermuda",0,0,0,0,NA,NA,70
"2017","Week 20 - Week 20","British Virgin Islands",0,0,0,0,NA,"DEN",33
"2017","Week 24 - Week 24","Cayman Islands",0,0,0,0,NA,NA,56
"2017","Week 00 - Week 00","Curacao",0,0,0,0,NA,NA,148
"2017","Week 28 - Week 28","Dominica",0,0,0,0,NA,NA,74
"2017","Week 17 - Week 17","French Guiana",0,0,0,0,NA,NA,239
"2017","Week 20 - Week 20","Grenada",0,0,0,0,NA,"DEN",111
"2017","Week 26 - Week 26","Guadaloupe",0,0,0,0,NA,NA,411
"2017","Week 00 - Week 00","Guyana",NA,NA,0,0,NA,NA,808
"2017","Week 00 - Week 00","Haiti",NA,NA,0,0,NA,NA,10604
"2017","Week 28 - Week 28","Jamaica",0,0,0,0,NA,"DEN",2813
"2017","Week 26 - Week 26","Martinique",0,0,0,0,NA,"DEN 2",398
"2017","Week 24 - Week 24","Montserrat",0,0,0,0,NA,NA,5
"2017","Week 00 - Week 00","Netherlands Antilles",NA,NA,0,0,NA,NA,225
"2017","Week 26 - Week 26","St. Bartolome",0,0,0,0,NA,NA,9
"2017","Week 24 - Week 24","St. Kitts & Nevis",0,0,0,0,NA,NA,52
"2017","Week 24 - Week 24","St. Lucia",0,0,0,0,NA,"DEN",164
"2017","Week 26 - Week 26","St. Martin",0,0,0,0,NA,NA,41
"2017","Week 16 - Week 16","St. Vincent & the Grenadines",0,0,0,0,NA,NA,103
"2017","Week 00 - Week 00","Suriname",NA,NA,0,0,NA,NA,548
"2017","Week 19 - Week 19","Trinidad & Tobago",0,0,0,0,NA,NA,1347
"2017","Week 24 - Week 24","Turks & Caicos Islands",0,0,0,0,NA,"DEN",50
