"Estado","Tasa*","Total","Ene","Feb","Mar","Abr","May","Jun","Jul","Ago","Sep","Oct","Nov","Dic"
"Aguascalientes","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California Sur","0.24","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Campeche","7.33","53","0","0","0","0","0","0","0","12","28","13","0","0"
"Coahuila","0.04","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Colima","0.36","2","0","0","0","0","0","0","0","0","0","0","2","0"
"Chiapas","9.01","371","3","6","11","1","14","22","20","41","80","119","23","31"
"Chihuahua","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Distrito Federal","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Durango","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guanajuato","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guerrero","16.17","521","0","0","0","0","1","22","31","67","145","184","61","10"
"Hidalgo","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jalisco","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"México","0.28","37","1","0","0","0","0","0","2","23","1","8","0","2"
"Michoacán","0.95","41","0","0","0","0","0","0","2","14","25","0","0","0"
"Morelos","0.86","14","0","0","0","0","0","0","0","1","7","3","3","0"
"Nayarit","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nuevo León","0.36","14","0","1","0","2","2","4","0","0","2","2","1","0"
"Oaxaca","12.30","446","0","0","1","2","5","7","8","82","66","174","79","22"
"Puebla","0.67","35","0","0","0","3","0","0","0","0","19","13","0","0"
"Querétaro","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quintana Roo","34.59","291","0","0","0","0","1","2","6","21","151","101","3","6"
"San Luis Potosi","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sinaloa","7.36","185","0","1","2","1","0","2","3","4","2","6","155","9"
"Sonora","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Tabasco","4.47","88","1","0","0","1","2","1","3","11","27","24","12","6"
"Tamaulipas","1.69","47","2","1","1","3","11","4","2","4","2","12","4","1"
"Tlaxcala","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Veracruz","31.35","2244","3","15","6","6","62","157","142","222","292","649","386","304"
"Yucatán","14.81","252","0","0","0","0","0","0","14","144","57","15","17","5"
"Zacatecas","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL GLOBAL","4.60","4643","10","24","21","19","98","221","233","646","904","1324","746","397"

