"ENTIDAD","TASA*","TOTAL","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC"
"Aguascalientes","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California Sur","385.17","1574","5","1","1","0","0","0","0","0","0","781","594","192"
"Campeche","756.37","5004","14","38","22","34","42","312","997","854","1436","918","248","89"
"Coahuila","5.38","121","4","0","0","1","16","40","15","2","6","26","3","8"
"Colima","911.46","4447","71","54","40","68","71","197","291","1136","1147","811","408","153"
"Chiapas","26.66","1026","12","24","8","24","13","26","64","99","300","297","132","27"
"Chihuahua","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Distrito Federal","0.12","10","0","0","1","0","0","0","3","2","3","0","0","1"
"Durango","35.91","519","0","0","0","0","0","0","0","0","3","418","98","0"
"Guanajuato","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guerrero","278.57","8156","15","6","5","9","12","64","820","2541","2264","1373","738","309"
"Hidalgo","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jalisco","29.19","1870","1","2","0","0","0","0","37","48","143","1224","388","27"
"México","0.52","67","0","0","0","1","0","0","0","2","0","0","60","4"
"Michoacán","13.67","534","3","0","0","0","0","0","46","109","124","168","76","8"
"Morelos","24.19","346","38","13","6","13","6","28","14","13","85","72","43","15"
"Nayarit","44.51","403","0","2","7","3","1","1","2","5","22","279","74","7"
"Nuevo León","18.81","675","11","1","1","13","2","19","22","28","112","309","156","1"
"Oaxaca","35.34","1223","20","9","17","18","22","19","43","49","212","449","294","71"
"Puebla","0.74","37","0","4","0","0","0","0","1","6","17","7","2","0"
"Querétaro","0.15","2","0","0","0","0","0","0","1","0","1","0","0","0"
"Quintana Roo","153.04","1132","67","24","28","78","68","92","93","210","333","113","22","4"
"San Luis Potosí","16.30","372","0","0","1","18","0","1","14","0","104","83","97","54"
"Sinaloa","4.59","112","3","1","0","11","3","5","9","10","20","44","6","0"
"Sonora","1.74","37","0","0","0","0","0","0","0","3","13","21","0","0"
"Tabasco","463.25","8174","34","53","67","88","64","309","1895","2134","1977","1180","309","64"
"Tamaulipas","77.74","2023","20","12","23","33","25","59","114","82","94","713","570","278"
"Tlaxcala","0.22","2","0","0","0","0","0","0","0","1","0","1","0","0"
"Veracruz","150.20","10770","72","40","42","100","84","234","917","2147","3087","2636","1116","295"
"Yucatán","251.44","3925","34","13","12","83","131","330","673","1126","1115","306","59","43"
"Zacatecas","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL","55.48","52561","424","297","281","595","560","1736","6071","10607","12618","12229","5493","1650"

