Estado,Tasa*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Baja California,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Baja California Sur,0.41,2,0,0,0,0,0,1,1,0,0,0,0,0
Campeche,3.41,26,2,0,0,0,0,0,0,1,1,9,13,0
Coahuila,0.12,3,0,0,0,0,0,0,0,3,0,0,0,0
Colima,1.03,6,0,0,0,1,2,1,0,1,0,0,0,1
Chiapas,8.86,386,1,4,3,6,3,24,20,42,39,101,120,23
Chihuahua,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Distrito Federal,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Guanajuato,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Guerrero,8.31,270,5,0,5,6,10,16,25,57,51,48,41,6
Hidalgo,5.06,120,0,0,0,0,0,0,0,1,53,46,14,6
Jalisco,0.44,30,0,0,0,0,0,0,0,1,2,18,8,1
México,0.20,29,0,0,0,0,0,4,9,2,0,14,0,0
Michoacán,2.14,90,4,0,3,10,2,7,17,15,6,4,22,0
Morelos,3.36,57,0,0,0,0,0,3,4,17,19,11,3,0
Nayarit,15.44,153,0,0,5,13,1,7,13,58,32,13,5,6
Nuevo León,0.86,36,4,3,4,1,2,4,1,0,4,7,3,3
Oaxaca,3.98,147,0,0,0,1,2,6,18,66,42,12,0,0
Puebla,0.49,27,0,0,0,5,2,3,2,2,12,1,0,0
Querétaro,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Quintana Roo,22.70,239,18,9,9,11,17,14,26,25,34,28,21,27
San Luis Potosí,0.08,2,0,0,0,0,0,0,0,0,1,1,0,0
Sinaloa,4.44,122,7,3,2,6,7,6,9,21,29,26,5,1
Sonora,1.02,25,6,0,2,1,8,2,0,2,1,3,0,0
Tabasco,3.57,73,0,1,1,0,0,0,3,5,12,27,20,4
Tamaulipas,3.19,99,0,1,0,1,1,0,1,3,7,25,37,23
Tlaxcala,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,58.42,4250,28,9,5,11,26,90,528,1655,639,683,493,83
Yucatán,2.86,51,2,4,2,3,3,1,5,5,3,17,5,1
Zacatecas,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
TOTAL GLOBAL,5.93,6243,77,34,41,76,86,189,682,1982,987,1094,810,185
