"ENTIDAD","TOTAL","TASA*","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGT","SEP","OCT","NOV","DIC"
"Aguascalientes","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California Sur","29","9.21","1","3","3","5","6","1","1","1","2","4","2","0"
"Campeche","645","108.80","0","0","1","3","2","56","249","236","45","31","12","10"
"Coahuila","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0"
"Colima","419","99.91","46","46","39","48","48","22","22","42","38","27","34","7"
"Chiapas","492","19.54","21","4","13","10","44","75","45","77","68","54","56","25"
"Chihuahua","2","0.09","0","1","0","0","0","0","0","0","0","0","0","1"
"Distrito Federal","1","0.01","0","0","0","0","0","0","0","0","0","1","0","0"
"Durango","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0"
"Guanajuato","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0"
"Guerrero","814","31.80","34","60","59","52","58","90","78","133","57","76","37","80"
"Hidalgo","1","0.05","0","0","0","0","0","0","0","0","0","0","0","1"
"Jalisco","4729","90.99","61","9","14","22","5","21","13","33","192","767","612","2980"
"México","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0"
"Michoacán","293","8.68","14","25","36","18","12","12","44","48","16","23","31","14"
"Morelos","67","5.32","25","15","2","3","7","3","1","3","0","0","8","0"
"Nayarit","519","61.34","13","5","6","3","23","27","8","15","86","205","108","20"
"Nuevo León","253","8.04","3","0","1","0","1","2","1","4","9","39","186","7"
"Oaxaca","978","36.91","86","41","48","25","61","44","123","85","187","119","119","40"
"Puebla","98","2.41","1","3","3","1","0","8","0","21","20","0","41","0"
"Querétaro","6","0.63","0","0","0","0","1","1","1","1","2","0","0","0"
"Quintana Roo","204","51.86","6","7","13","6","9","11","20","37","52","9","25","9"
"San Luis Potosí","2","0.10","0","0","0","1","0","0","1","0","0","0","0","0"
"Sinaloa","434","18.33","27","17","5","4","0","2","1","11","9","39","141","178"
"Sonora","64","3.56","0","0","0","0","0","0","0","0","0","0","64","0"
"Tabasco","19","1.46","1","0","0","2","0","1","4","3","7","0","1","0"
"Tamaulipas","125","5.52","1","0","0","1","20","4","0","59","23","2","12","3"
"Tlaxcala","0","0.00","0","0","0","0","0","0","0","0","0","0","0","0"
"Veracruz","296","4.45","3","10","10","10","23","28","20","43","45","36","65","3"
"Yucatán","35","2.69","1","2","0","3","0","0","2","13","5","0","8","1"
"Zacatecas","1","0.08","0","0","0","0","0","0","0","0","0","0","0","1"
"TOTAL","10526","12.72","344","248","253","217","320","408","634","865","863","1432","1562","3380"
