"Estado","Tasa*","Total","Ene","Feb","Mar","Abr","May","Jun","Jul","Ago","Sep","Oct","Nov","Dic"
"AGUASCALIENTES","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BAJA CALIFORNIA","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"BAJA CALIFORNIA SUR","2.16","9","0","0","0","0","0","0","0","0","1","6","2","0"
"CAMPECHE","50.55","372","1","1","0","6","4","20","40","110","80","88","21","1"
"COAHUILA","9.67","236","0","0","0","0","0","0","2","0","29","127","68","10"
"COLIMA","310.67","1766","19","39","80","136","250","148","177","520","282","105","10","0"
"CHIAPAS","7.76","324","11","11","5","14","20","27","41","82","50","58","5","0"
"CHIHUAHUA","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DISTRITO FEDERAL","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"DURANGO","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"GUANAJUATO","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"GUERRERO","67.11","2191","17","14","5","21","90","63","303","854","548","194","69","13"
"HIDALGO","1.35","32","0","0","0","0","0","0","1","2","15","12","2","0"
"JALISCO","18.97","1270","0","0","0","0","1","11","102","55","135","410","531","25"
"MEXICO","0.45","61","0","0","0","2","7","16","15","19","1","1","0","0"
"MICHOACAN","8.74","381","0","7","0","9","34","13","26","46","89","112","37","8"
"MORELOS","6.18","102","0","0","0","0","0","0","9","25","36","23","8","1"
"NAYARIT","103.61","1015","0","0","0","0","0","0","32","111","203","435","213","21"
"NUEVO LEON","0.45","18","1","0","3","0","2","1","4","2","1","0","3","1"
"OAXACA","15.56","570","2","0","1","1","5","93","155","150","78","71","14","0"
"PUEBLA","0.25","13","0","0","0","0","0","0","3","1","1","7","1","0"
"QUERETARO","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"QUINTANA ROO","56.19","486","9","11","20","46","56","54","57","106","61","46","20","0"
"SAN LUIS POTOSI","0.12","3","0","0","0","0","0","0","0","0","0","3","0","0"
"SINALOA","22.42","566","0","0","0","0","2","0","2","39","62","282","177","2"
"SONORA","11.23","259","0","0","0","0","0","0","3","51","76","67","62","0"
"TABASCO","16.33","327","0","1","0","4","4","5","44","239","20","9","0","1"
"TAMAULIPAS","5.21","147","0","0","2","0","2","4","1","13","40","39","40","6"
"TLAXCALA","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"VERACRUZ","32.71","2357","148","61","45","40","86","338","690","361","256","235","94","3"
"YUCATAN","43.42","749","7","6","6","12","15","29","79","185","130","211","65","4"
"ZACATECAS","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL GLOBAL","12.95","13254","215","151","167","291","578","822","1786","2971","2194","2541","1442","96"
