"ESTADO","TASA","TOTAL","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC"
"Aguascalientes","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California Sur","125.10","441","0","1","0","1","0","0","4","3","2","125","249","56"
"Campeche","4.74","31","0","0","1","0","2","1","4","1","10","10","1","1"
"Coahuila","0.60","12","2","0","0","0","4","0","6","0","0","0","0","0"
"Colima","8.19","36","4","4","1","1","5","2","0","4","4","4","5","2"
"Chiapas","11.52","304","47","18","10","31","41","14","44","8","33","40","16","2"
"Chihuahua","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Distrito Federal","0.01","1","1","0","0","0","0","0","0","0","0","0","0","0"
"Durango","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guanajuato","0.03","1","1","0","0","0","0","0","0","0","0","0","0","0"
"Guerrero","8.02","216","22","19","7","20","15","8","18","14","43","21","16","13"
"Hidalgo","0.26","5","0","0","0","0","5","0","0","0","0","0","0","0"
"Jalisco","3.31","179","13","10","24","0","23","8","7","3","26","31","26","8"
"México","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michoacán","4.33","152","19","21","10","16","17","6","9","4","3","22","12","13"
"Morelos","0.45","6","0","0","2","1","1","0","1","1","0","0","0","0"
"Nayarit","91.63","806","41","20","32","13","13","66","22","23","148","100","181","147"
"Nuevo León","2.67","88","13","1","3","0","1","0","1","1","10","37","5","16"
"Oaxaca","53.11","1436","59","47","14","13","15","26","25","332","427","291","141","46"
"Puebla","9.98","427","13","17","4","5","352","18","5","0","0","8","5","0"
"Querétaro","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quintana Roo","21.71","99","0","0","0","0","0","9","75","12","0","0","3","0"
"SanLuis Potosí","1.69","36","6","1","2","4","2","2","0","0","4","13","2","0"
"Sinaloa","32.81","834","242","49","47","34","41","22","47","18","49","95","106","84"
"Sonora","0.26","5","0","0","0","0","0","0","0","0","0","0","5","0"
"Tabasco","6.07","83","1","1","7","1","0","0","1","12","26","21","11","2"
"Tamaulipas","3.71","87","20","10","12","12","6","5","2","0","8","11","1","0"
"Tlaxcala","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Veracruz","4.43","314","2","5","1","1","4","18","11","34","60","160","18","0"
"Yucatán","19.16","264","0","0","0","0","0","0","0","7","48","124","62","23"
"Zacatecas","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL","6.72","5863","506","224","177","153","547","205","282","477","901","1113","865","413"
