"Estado","Total","ENE","FEB","MAR","ABR","MAY","Mes deJUN","ocurrenciaJUL","AGO","SEP","OCT","NOV","DIC"
"Aguascalientes","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California","4","1","0","0","0","0","1","0","1","0","0","0","1"
"Baja California Sur","1 018","4","0","0","2","4","8","4","16","31","107","476","366"
"Campeche","2 269","229","195","95","94","147","232","257","370","287","249","89","25"
"Coahuila","126","1","0","0","0","0","2","3","11","47","42","20","0"
"Colima","421","8","28","9","5","6","19","20","40","54","75","97","60"
"Chiapas","3 900","62","66","40","77","160","527","640","650","721","615","293","49"
"Chihuahua","1","0","0","0","0","0","0","0","1","0","0","0","0"
"Distrito Federal","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Durango","6","0","0","0","0","0","1","0","0","0","2","3","0"
"Guanajuato","1","0","0","0","0","0","0","0","1","0","0","0","0"
"Guerrero","6 654","106","80","78","93","167","523","1 009","1 403","1 272","1 035","708","180"
"Hidalgo","186","2","3","3","4","2","7","13","26","56","53","13","4"
"Jalisco","806","18","15","8","15","23","26","39","43","115","254","164","86"
"México","245","0","0","1","1","0","5","27","58","39","36","51","27"
"Michoacán","2 765","113","144","177","86","114","107","306","473","364","497","296","88"
"Morelos","6 739","48","20","2","36","144","364","692","1 267","1 640","1 736","744","46"
"Nayarit","26","1","1","1","0","4","4","7","8","0","0","0","0"
"Nuevo León","1 696","45","60","47","62","91","119","151","140","166","445","278","92"
"Oaxaca","3 398","73","46","49","64","135","290","500","743","441","750","225","82"
"Puebla","644","12","8","9","12","32","27","43","121","142","153","52","33"
"Querétaro","3","0","0","0","0","0","0","1","0","0","2","0","0"
"Quintana Roo","1 876","132","72","78","89","89","119","123","194","252","334","267","127"
"San Luis Potosí","1 143","6","6","4","3","12","54","142","183","288","289","106","50"
"Sinaloa","226","3","4","6","3","8","9","12","26","29","34","59","33"
"Sonora","1 311","6","9","4","11","13","6","22","25","120","727","234","134"
"Tabasco","5 147","83","88","119","113","184","276","922","1 363","861","707","326","105"
"Tamaulipas","3 104","12","10","12","14","74","130","384","693","560","647","407","161"
"Tlaxcala","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Veracruz","15 162","101","76","94","213","427","722","2 041","4 177","3 976","2 317","779","239"
"Yucatán","6 938","810","263","142","92","178","375","772","1 094","1 271","1 151","581","209"
"Zacatecas","77","0","0","0","0","0","0","0","0","0","29","48","0"
"TOTAL GLOBAL","65 892","1 876","1 194","978","1 089","2 014","3 953","8 130","13 127","12 732","12 286","6 316","2 197"

