"",,,,,,,Mes,,,,,,,
Estado,Incidencia*,Total,Ene,Feb,Mar,Abr,May,Jun,Jul,Ago,Sep,Oct,Nov,Dic
Aguascalientes,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Baja California,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Baja California Sur,6.14,33,2,0,1,1,0,2,1,4,8,10,4,0
Campeche,27.91,217,5,4,13,18,16,15,5,20,59,36,23,3
Coahuila,31.59,813,1,2,0,0,0,0,2,34,191,447,130,6
Colima,132.72,777,105,68,75,29,32,27,35,82,90,101,89,44
Chiapas,50.43,2 225,30,29,33,57,364,469,257,283,320,220,152,11
Chihuahua,0.03,1,0,0,0,0,0,0,0,1,0,0,0,0
Distrito Federal,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Durango,21.39,329,0,5,7,19,21,13,86,28,21,70,56,3
Guanajuato,12.73,636,0,0,0,0,1,1,6,8,200,400,20,0
Guerrero,104.52,3 292,204,134,147,175,176,221,379,365,571,486,348,86
Hidalgo,1.84,44,0,0,0,0,0,0,0,1,10,17,10,6
Jalisco,12.59,869,224,126,35,2,10,2,8,56,112,201,93,0
México,0.31,44,0,0,0,3,2,7,5,1,7,8,11,0
Michoacán,57.55,2 297,39,41,22,12,23,26,38,85,282,1 224,338,167
Morelos,67.88,1 119,11,13,14,4,21,108,163,185,214,242,118,26
Nayarit,107.13,1 033,19,32,19,8,31,72,120,180,175,265,81,31
Nuevo León,63.04,2 734,5,17,11,34,45,53,85,724,1 360,367,33,0
Oaxaca,125.67,4 465,49,50,84,97,138,334,631,922,1 163,807,177,13
Puebla,5.54,307,2,2,2,4,16,12,12,62,101,68,25,1
Querétaro,0.48,8,0,0,1,1,1,0,0,0,1,2,0,2
Quintana Roo,290.36,3 545,473,337,333,272,288,264,229,334,457,331,188,39
San Luis Potosí,9.87,243,0,0,8,1,7,6,8,7,34,128,33,11
Sinaloa,20.65,546,10,11,9,11,19,6,7,11,37,262,140,23
Sonora,0.57,14,1,0,0,1,1,0,2,1,0,3,5,0
Tabasco,83.54,1 695,5,9,9,19,21,39,88,190,501,450,281,83
Tamaulipas,45.31,1 412,2,1,4,15,11,15,68,220,260,581,203,32
Tlaxcala,0.00,0,0,0,0,0,0,0,0,0,0,0,0,0
Veracruz,174.09,12 608,49,51,83,180,288,435,774,1 830,3 016,3 568,1 947,387
Yucatán,78.65,1 474,51,44,70,42,42,55,66,140,317,325,252,70
Zacatecas,11.28,156,0,0,0,0,0,0,0,0,0,156,0,0
TOTAL GLOBAL,40.59,42 936,1 287,976,980,1 005,1 574,2 182,3 075,5 774,9 507,10 775,4 757,1 044
