"ENTIDAD","TASA *","TOTAL","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC"
"Aguascalientes","0.11","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Baja California","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California Sur","43.96","185","7","83","3","1","5","5","2","5","10","41","14","9"
"Campeche","43.10","292","45","13","17","16","28","17","43","26","53","20","11","3"
"Coahuila","1.45","33","0","0","0","0","3","2","2","1","1","20","3","1"
"Colima","115.49","572","52","39","19","23","26","34","61","50","88","126","41","13"
"Chiapas","3.03","119","16","6","6","3","9","7","21","11","2","0","25","13"
"Chihuahua","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Distrito Federal","0.03","2","0","0","0","1","0","0","0","0","0","1","0","0"
"Durango","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guanajuato","0.02","1","1","0","0","0","0","0","0","0","0","0","0","0"
"Guerrero","12.34","364","40","36","16","16","14","17","20","49","100","32","14","10"
"Hidalgo","1.09","24","0","0","1","0","0","0","0","6","3","8","0","6"
"Jalisco","0.18","12","0","1","4","1","5","1","0","0","0","0","0","0"
"México","0.20","26","0","0","0","0","0","0","0","0","4","10","3","9"
"Michoacán","1.17","46","2","0","5","1","0","0","4","17","14","1","2","0"
"Morelos","122.99","1794","15","12","7","3","2","2","95","75","399","858","260","66"
"Nayarit","3.07","28","0","0","0","0","1","4","0","5","4","10","3","1"
"Nuevo León","98.84","3611","5","2","1","1","6","5","31","10","92","1797","1301","360"
"Oaxaca","79.59","2787","32","51","25","32","17","16","37","741","727","863","197","49"
"Puebla","1.38","70","0","0","0","0","0","0","0","1","19","15","34","1"
"Querétaro","0.08","1","0","0","0","0","0","0","0","1","0","0","0","0"
"Quintana Roo","11.12","86","10","7","7","2","4","11","6","26","10","1","1","1"
"San Luis Potosí","93.33","2158","0","27","6","0","0","6","290","906","174","702","47","0"
"Sinaloa","39.42","974","1","3","0","5","2","6","12","26","192","471","222","34"
"Sonora","6.15","133","0","0","0","0","0","0","0","0","9","66","56","2"
"Tabasco","88.91","1599","21","18","32","37","15","23","53","153","624","429","155","39"
"Tamaulipas","221.69","5873","66","33","29","145","20","12","16","84","802","2595","1404","667"
"Tlaxcala","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Veracruz","33.66","2450","50","43","92","77","61","57","144","243","562","578","383","160"
"Yucatán","1.64","26","0","0","0","0","0","4","5","2","0","13","1","1"
"Zacatecas","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL","24.18","23267","363","374","270","364","218","229","842","2438","3890","8657","4177","1445"
