"Estado","Tasa*","Total","Ene","Feb","Mar","Abr","May","Jun","Jul","Ago","Sep","Oct","Nov","Dic"
"Aguascalientes","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California","0.04","1","0","0","0","0","0","0","0","0","0","0","1","0"
"Baja California Sur","0.25","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Campeche","0.42","3","0","0","0","0","0","0","0","0","0","1","2","0"
"Coahuila","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Colima","0.37","2","0","0","0","1","0","1","0","0","0","0","0","0"
"Chiapas","6.21","252","2","4","2","1","1","2","2","10","37","111","65","15"
"Chihuahua","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Distrito Federal","0.01","1","0","0","0","0","0","0","0","0","0","1","0","0"
"Durango","0.07","1","0","0","0","0","0","0","0","1","0","0","0","0"
"Guanajuato","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guerrero","0.44","14","0","0","0","0","6","0","0","1","1","2","1","3"
"Hidalgo","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jalisco","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"México","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michoacán","0.28","12","0","0","0","0","2","10","0","0","0","0","0","0"
"Morelos","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Nayarit","0.21","2","0","1","1","0","0","0","0","0","0","0","0","0"
"Nuevo León","0.57","22","1","0","0","1","1","0","0","10","3","3","3","0"
"Oaxaca","5.69","204","4","1","0","1","3","11","47","75","35","9","9","9"
"Puebla","0.99","51","0","0","1","0","0","0","3","32","7","4","4","0"
"Queretaro","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quintana Roo","2.08","17","2","0","1","0","12","2","0","0","0","0","0","0"
"San Luis Potosi","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Sinaloa","0.36","9","0","3","1","0","1","0","0","0","0","4","0","0"
"Sonora","14.55","328","0","0","0","0","3","22","54","39","65","96","44","5"
"Tabasco","0.15","3","0","0","0","0","0","0","0","0","0","1","1","1"
"Tamaulipas","8.07","221","14","6","11","9","3","1","0","12","86","44","30","5"
"Tlaxcala","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Veracruz","8.02","570","8","9","9","7","6","53","171","58","156","57","21","15"
"Yucatán","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Zacatecas","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL GLOBAL","1.72","1714","31","24","26","20","38","102","277","238","390","334","181","53"
