"ESTADO","TASA","TOTAL","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC"
"Aguascalientes","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California Sur","8.28","30","7","3","0","1","0","0","0","0","0","0","4","15"
"Campeche","15.56","92","1","0","0","0","0","1","0","5","4","0","35","46"
"Coahuila","31.44","683","0","0","0","0","0","0","0","0","0","0","631","52"
"Colima","9.89","48","2","7","14","2","2","1","0","3","1","5","3","8"
"Chiapas","4.01","142","3","0","13","4","5","2","5","2","6","6","64","32"
"Chihuahua","0.04","1","0","0","0","0","0","0","0","0","0","0","0","1"
"Distrito Federal","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Durango","0.07","1","0","1","0","0","0","0","0","0","0","0","0","0"
"Guanajuato","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guerrero","4.86","138","4","1","7","6","18","38","16","16","7","2","13","10"
"Hidalgo","0.05","1","0","0","0","1","0","0","0","0","0","0","0","0"
"Jalisco","1.25","74","0","0","0","0","0","1","0","0","0","69","0","4"
"México","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michoacán","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Morelos","13.99","192","0","0","0","0","0","0","0","9","30","91","5","57"
"Nayarit","13.72","125","4","10","4","7","4","6","8","9","3","3","44","23"
"Nuevo León","15.05","524","0","0","0","1","1","4","0","13","67","146","200","92"
"Oaxaca","31.01","1021","7","7","5","3","8","14","22","48","120","250","360","177"
"Puebla","0.24","11","0","6","0","0","0","0","0","0","0","0","0","5"
"Querétaro","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quintana Roo","15.17","92","0","0","0","0","0","0","0","0","0","68","16","8"
"SanLuis Potosí","6.62","146","1","0","0","0","0","0","1","6","2","0","104","32"
"Sinaloa","8.78","212","6","9","2","1","3","9","0","5","41","89","47","0"
"Sonora","0.05","1","0","0","0","0","0","0","0","1","0","0","0","0"
"Tabasco","61.91","1023","0","0","1","2","0","1","0","10","113","289","495","112"
"Tamaulipas","9.60","243","1","13","4","2","4","3","0","1","0","1","127","87"
"Tlaxcala","0.35","3","3","0","0","0","0","0","0","0","0","0","0","0"
"Veracruz","37.44","2565","0","2","0","0","2","1","220","53","117","841","897","432"
"Yucatán","47.03","704","3","0","1","3","6","4","11","59","55","58","264","240"
"Zacatecas","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL","8.95","8072","42","59","51","33","53","85","283","240","566","1918","3309","1433"

