"ESTADO","TASA","TOTAL","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC"
"Aguascalientes","0.12","1","1","0","0","0","0","0","0","0","0","0","0","0"
"Baja California","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California Sur","8.58","33","2","1","2","4","1","0","0","0","6","8","8","1"
"Campeche","37.80","238","85","17","1","2","4","12","7","11","7","13","16","63"
"Coahuila","53.52","1166","0","0","0","0","0","0","0","0","31","548","492","95"
"Colima","109.78","519","28","24","35","22","11","8","12","25","98","87","134","35"
"Chiapas","14.70","542","14","5","2","2","10","15","15","33","151","236","56","3"
"Chihuahua","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Distrito Federal","0.06","5","0","0","0","1","1","1","0","0","0","1","0","1"
"Durango","4.48","64","0","0","0","0","0","0","0","0","13","51","0","0"
"Guanajuato","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guerrero","24.01","691","49","37","20","24","5","13","9","19","51","297","159","8"
"Hidalgo","0.85","18","0","0","0","0","0","0","1","0","2","12","1","2"
"Jalisco","1.90","117","0","0","0","0","0","0","0","11","48","54","4","0"
"México","0.03","4","0","0","0","0","0","0","1","0","1","0","2","0"
"Michoacán","1.53","59","0","0","0","1","0","0","6","12","0","12","24","4"
"Morelos","21.48","295","4","0","1","10","49","27","45","45","40","35","22","17"
"Nayarit","72.50","644","30","14","8","4","292","29","8","6","126","114","8","5"
"Nuevo León","34.16","1181","3","0","0","4","0","0","0","1","28","486","586","73"
"Oaxaca","42.78","1444","119","43","21","10","12","65","73","85","269","416","227","104"
"Puebla","0.40","19","0","0","0","2","0","0","0","0","9","7","0","1"
"Querétaro","0.08","1","1","0","0","0","0","0","0","0","0","0","0","0"
"Quintana Roo","1.19","8","4","0","1","0","0","0","0","0","1","0","1","1"
"SanLuis Potosí","141.96","3150","0","0","0","0","0","0","351","240","899","1305","200","155"
"Sinaloa","435.54","10381","53","24","14","4","5","4","9","241","4151","5236","557","83"
"Sonora","1.42","29","0","0","0","0","0","0","0","0","5","24","0","0"
"Tabasco","39.68","673","19","7","2","5","8","0","2","58","167","108","188","109"
"Tamaulipas","302.08","7573","27","5","9","6","3","3","138","1117","1784","2348","1483","650"
"Tlaxcala","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Veracruz","99.68","6924","136","66","73","40","42","411","249","236","1552","2976","867","276"
"Yucatán","16.55","250","102","22","10","9","12","2","2","22","46","18","5","0"
"Zacatecas","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL","39.33","36029","677","265","199","150","455","590","928","2162","9485","14392","5040","1686"
