"Aguascalientes","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Baja California","  0","  0","  1","  0","  1","  0","  0","  0","  0","  0","  3","  11","  16"
"Baja California Sur","  117","  25","  28","  14","  50","  70","  176","  983"," 1 494"," 2 543","  983","  158"," 6 641"
"Campeche","  36","  47","  49","  39","  23","  82","  83","  118","  94","  70","  60","  24","  725"
"Coahuila","  0","  1","  0","  1","  0","  3","  6","  34","  73","  76","  18","  1","  213"
"Colima","  72","  51","  46","  33","  37","  106","  173","  142","  155","  226","  139","  60"," 1 240"
"Chiapas","  48","  52","  79","  57","  129","  140","  173","  199","  261","  312","  276","  101"," 1 827"
"Chihuahua","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Distrito Federal","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Durango","  0","  0","  0","  0","  1","  0","  12","  19","  4","  2","  4","  0","  42"
"Guanajuato","  0","  0","  0","  0","  0","  3","  5","  1","  0","  0","  0","  0","  9"
"Guerrero","  128","  110","  102","  102","  151","  277","  289","  335","  247","  285","  316","  148"," 2 490"
"Hidalgo","  0","  1","  2","  4","  3","  1","  12","  9","  7","  6","  3","  1","  49"
"Jalisco","  131","  120","  82","  42","  87","  135","  157","  324","  427","  409","  219","  29"," 2 162"
"México","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Michoacán","  39","  31","  30","  15","  18","  61","  154","  130","  149","  178","  75","  18","  898"
"Morelos","  26","  22","  35","  20","  27","  119","  158","  239","  241","  178","  106","  26"," 1 197"
"Nayarit","  19","  35","  70","  48","  91","  64","  25","  42","  92","  87","  16","  3","  592"
"Nuevo León","  79","  91","  148","  119","  187","  112","  99","  122","  110","  131","  56","  1"," 1 255"
"Oaxaca","  76","  56","  49","  51","  116","  262","  393","  531","  700","  549","  227","  96"," 3 106"
"Puebla","  6","  21","  26","  23","  55","  100","  92","  122","  115","  170","  49","  5","  784"
"Querétaro","  0","  0","  1","  0","  0","  0","  1","  1","  1","  1","  1","  0","  6"
"Quintana Roo","  61","  72","  52","  30","  28","  48","  60","  60","  41","  97","  122","  43","  714"
"San Luis Potosí","  18","  7","  16","  8","  20","  25","  60","  25","  24","  24","  13","  6","  246"
"Sinaloa","  255","  274","  300","  162","  308","  289","  293","  946"," 1 348"," 1 543","  916","  109"," 6 743"
"Sonora","  137","  51","  24","  57","  103","  103","  75","  245","  460"," 3 601"," 4 086","  714"," 9 656"
"Tabasco","  38","  21","  34","  15","  36","  35","  52","  42","  53","  64","  33","  13","  436"
"Tamaulipas","  10","  10","  4","  13","  31","  57","  113","  94","  99","  237","  109","  16","  793"
"Tlaxcala","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"Veracruz","  75","  52","  46","  56","  101","  132","  324","  563","  542","  576","  305","  127"," 2 899"
"Yucatán","  193","  162","  70","  28","  34","  128","  113","  128","  145","  179","  135","  38"," 1 353"
"Zacatecas","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0","  0"
"TOTAL GLOBAL"," 1 564"," 1 312"," 1 294","  937"," 1 637"," 2 352"," 3 098"," 5 454"," 6 882"," 11 544"," 8 270"," 1 748"," 46 092"
