"ESTADO","TASA","TOTAL","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC"
"Aguascalientes","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California Sur","23.98","82","17","4","2","2","1","0","2","0","2","8","39","5"
"Campeche","3.18","18","2","2","1","0","0","0","0","1","6","6","0","0"
"Coahuila","10.01","210","0","0","0","0","0","0","0","0","0","0","61","149"
"Colima","20.35","94","0","1","1","1","2","5","7","1","7","23","18","28"
"Chiapas","1.99","68","14","12","0","5","0","1","3","1","17","2","3","10"
"Chihuahua","3.92","104","0","0","0","0","0","0","0","0","0","52","49","3"
"Distrito Federal","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Durango","0.07","1","0","0","0","0","0","0","0","0","1","0","0","0"
"Guanajuato","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guerrero","8.25","228","1","1","10","8","4","2","27","13","20","53","55","34"
"Hidalgo","0.05","1","0","0","0","0","0","0","0","1","0","0","0","0"
"Jalisco","1.58","90","15","1","0","1","0","0","3","0","4","24","30","12"
"México","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michoacán","3.99","151","7","8","3","4","2","2","3","3","9","38","41","31"
"Morelos","1.69","22","0","0","0","0","0","0","0","3","0","0","10","9"
"Nayarit","95.74","839","56","46","22","15","17","39","48","69","314","106","69","38"
"Nuevo León","0.03","1","0","0","0","0","0","0","0","1","0","0","0","0"
"Oaxaca","9.98","319","31","13","25","23","17","35","22","27","23","48","39","16"
"Puebla","5.39","237","15","8","28","11","32","0","33","60","41","9","0","0"
"Querétaro","0.09","1","0","0","1","0","0","0","0","0","0","0","0","0"
"Quintana Roo","0.72","4","0","0","0","0","2","0","0","0","0","0","2","0"
"SanLuis Potosí","0.05","1","1","0","0","0","0","0","0","0","0","0","0","0"
"Sinaloa","233.89","5457","28","11","14","6","10","136","24","49","991","2947","1119","122"
"Sonora","187.13","3596","0","0","0","0","0","0","0","0","0","0","0","3596"
"Tabasco","1.25","20","8","1","1","0","2","0","0","1","3","3","1","0"
"Tamaulipas","0.99","24","0","0","0","0","1","0","2","0","0","9","8","4"
"Tlaxcala","0.12","1","0","0","1","0","0","0","0","0","0","0","0","0"
"Veracruz","4.86","322","1","3","3","0","1","1","1","5","253","44","7","3"
"Yucatán","2.00","29","5","1","1","0","3","0","4","2","8","1","4","0"
"Zacatecas","0.37","5","0","0","0","0","0","0","0","0","5","0","0","0"
"TOTAL","13.74","11925","201","112","113","76","94","221","179","237","1704","3373","1555","4060"
