"ESTADO","TASA","TOTAL","ENE","FEB","MAR","ABR","MAY","JUN","JUL","AGO","SEP","OCT","NOV","DIC"
"Aguascalientes","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Baja California","0.05","1","0","0","0","0","0","1","0","0","0","0","0","0"
"Baja California Sur","43.54","153","1","0","0","1","1","0","0","0","0","1","137","12"
"Campeche","1.56","9","1","0","0","1","2","4","0","0","1","0","0","0"
"Coahuila","0.66","14","0","0","13","0","0","0","0","0","0","0","1","0"
"Colima","23.22","110","1","2","1","2","4","0","3","0","26","31","13","27"
"Chiapas","5.67","197","4","1","6","4","7","6","13","8","126","4","16","2"
"Chihuahua","2.76","75","0","0","11","0","0","0","2","0","0","32","29","1"
"Distrito Federal","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Durango","22.99","332","0","2","0","0","0","0","0","0","109","161","51","9"
"Guanajuato","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Guerrero","4.93","138","0","6","14","7","33","5","22","5","20","11","7","8"
"Hidalgo","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Jalisco","1.57","91","2","0","0","0","0","1","0","0","36","14","38","0"
"México","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Michoacán","2.44","94","28","13","11","12","27","0","1","1","0","0","1","0"
"Morelos","2.40","32","7","0","0","8","6","1","2","3","1","0","0","4"
"Nayarit","28.76","257","20","18","8","21","32","9","18","26","44","28","21","12"
"Nuevo León","3.05","104","0","0","0","0","0","0","0","1","9","85","9","0"
"Oaxaca","9.06","294","7","4","2","3","5","10","16","38","61","50","64","34"
"Puebla","0.18","8","0","0","0","0","0","0","0","0","3","5","0","0"
"Querétaro","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"Quintana Roo","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"SanLuis Potosí","2.44","53","0","0","0","0","0","0","0","0","0","46","5","2"
"Sinaloa","8.72","207","14","10","7","1","22","2","6","14","34","42","38","17"
"Sonora","0.97","19","0","0","0","0","0","0","0","1","2","8","7","1"
"Tabasco","0.92","15","0","0","2","2","3","0","1","0","5","1","1","0"
"Tamaulipas","8.28","205","0","1","0","0","2","0","0","25","32","59","61","25"
"Tlaxcala","0.24","2","0","2","0","0","0","0","0","0","0","0","0","0"
"Veracruz","6.87","463","3","4","3","0","47","23","44","85","153","16","34","51"
"Yucatán","1.77","26","1","1","3","2","1","0","2","4","0","0","5","7"
"Zacatecas","0.00","0","0","0","0","0","0","0","0","0","0","0","0","0"
"TOTAL","3.28","2 899","89","64","81","64","192","62","130","211","662","594","538","212"
