x,y
675,0
672,6
668,11
666,16
657,28
657,30
649,41
647,46
644,49
638,58
637,61
634,64
631,70
622,82
617,91
613,95
611,100
601,113
601,115
597,121
594,124
584,140
581,143
575,153
567,163
567,165
565,168
563,169
562,172
557,178
557,180
552,186
551,189
547,194
547,196
545,199
543,200
541,204
541,206
537,211
537,213
531,223
531,225
528,230
528,232
534,217
536,215
539,208
547,196
552,186
556,182
558,177
562,171
566,167
568,162
572,156
576,152
579,146
587,136
588,133
594,124
598,120
599,117
606,108
609,102
615,93
618,90
619,87
625,78
628,75
629,72
635,63
638,60
638,58
644,49
646,48
649,41
656,32
658,27
666,16
668,11
672,6
