x,y
491,446
490,448
490,452
488,455
488,461
486,463
486,469
484,472
484,477
482,479
482,485
480,488
480,492
478,494
478,499
476,501
476,505
474,508
474,513
472,515
472,519
470,522
470,525
468,528
468,532
466,534
466,538
464,541
464,545
462,547
462,551
460,553
460,558
458,560
458,564
456,566
456,569
454,572
454,576
452,579
452,582
450,585
450,588
448,591
448,595
446,597
446,600
444,603
444,607
442,609
442,613
440,615
440,619
438,622
438,625
436,627
436,632
434,634
434,638
432,640
432,644
430,646
430,650
428,652
428,657
426,659
426,663
424,665
424,669
422,671
422,676
422,671
424,669
424,665
426,663
426,659
428,657
428,652
430,650
430,646
432,644
432,640
434,639
434,634
436,632
436,627
438,626
438,622
440,619
440,615
442,614
442,609
444,608
444,603
446,600
446,597
448,595
448,591
450,588
450,585
452,583
452,579
454,577
454,572
456,570
456,566
458,564
458,560
460,558
460,553
462,551
462,547
464,545
464,541
466,539
466,534
468,533
468,528
470,526
470,522
472,520
472,515
474,513
474,508
476,506
476,501
478,499
478,494
480,492
480,488
482,485
482,479
484,477
484,472
486,470
486,464
488,462
488,455
490,453
490,448
