x,y
510,445
512,446
512,448
526,469
536,481
536,483
537,483
540,486
540,488
545,492
550,501
552,502
552,504
553,504
556,509
558,510
558,512
560,513
562,517
563,517
566,522
568,523
568,525
572,528
572,530
576,533
576,535
578,536
578,538
579,538
580,540
582,541
582,543
586,546
586,548
588,549
590,553
592,554
592,556
594,557
596,561
597,561
600,566
602,567
602,569
606,572
606,574
607,574
610,579
612,580
612,582
613,582
616,587
618,588
618,590
619,590
622,595
624,596
624,598
625,598
628,603
630,604
630,606
632,607
634,611
635,611
638,616
640,617
640,619
642,620
642,622
643,622
646,627
648,628
648,630
649,630
652,635
654,636
654,638
655,638
658,643
660,644
660,646
662,647
662,649
666,652
666,654
668,655
668,657
670,658
670,660
671,660
674,665
676,666
676,668
678,669
678,671
679,671
681,674
672,660
670,659
658,641
656,640
656,638
655,638
652,633
650,632
638,614
636,613
632,606
631,606
628,601
626,600
626,598
624,597
616,585
614,584
610,577
608,576
608,574
606,573
600,564
599,564
596,559
594,558
594,556
592,555
590,551
588,550
580,538
578,537
574,530
572,529
566,520
565,520
562,515
560,514
560,512
559,512
550,500
549,495
544,489
542,489
540,487
539,484
538,484
534,478
532,477
532,475
530,474
526,467
520,460
520,458
518,457
514,451
514,449
512,448
512,446
