x,y
512,444
514,448
514,451
516,453
516,456
518,459
518,462
520,464
520,467
522,470
522,472
528,483
528,486
532,493
532,495
534,498
534,500
536,502
536,504
538,507
538,510
540,512
540,514
542,517
542,519
544,521
544,524
546,527
546,529
548,531
548,534
550,536
550,538
554,546
555,551
558,556
558,559
561,564
562,569
564,571
564,574
568,582
568,585
570,587
571,592
574,597
574,600
577,605
580,616
582,618
582,620
584,623
584,626
588,634
588,637
589,638
590,643
592,645
592,648
594,651
596,659
598,661
598,665
600,667
600,669
602,673
602,676
603,676
602,675
600,667
598,664
598,661
596,659
595,653
592,648
592,645
590,643
590,640
588,637
588,634
584,626
584,623
582,620
582,618
580,616
580,613
578,610
576,602
574,599
574,597
571,592
570,587
566,579
566,576
564,573
564,571
562,569
560,561
558,558
558,556
556,553
556,551
554,548
554,546
552,543
552,541
550,538
550,536
548,533
548,531
546,529
546,526
540,514
540,512
538,509
538,507
536,504
536,502
532,495
532,493
530,490
530,488
528,485
528,483
526,480
526,478
524,476
524,474
520,467
520,464
518,461
518,458
516,456
516,453
514,450
514,447
