"Year","Province","Month","Cases","Population","Total.Cases","Incidence.Per.100000","Total.Deaths","Fatality.Rate"
"2008","Amnat Charoen","January","1",368915,"206","55.84","0","0.00"
"2008","Ang Thong","January","82",284406,"798","280.58","1","0.13"
"2008","Bangkok","January","601",5716248,"11846","207.23","15","0.13"
"2008","Buriram","January","53",1536070,"1474","95.96","1","0.07"
"2008","Chachoengsao","January","31",658966,"1394","211.54","1","0.07"
"2008","Chai Nat","January","45",337147,"552","163.73","1","0.18"
"2008","Chaiyaphum","January","20",1119597,"723","64.58","0","0.00"
"2008","Chanthaburi","January","31",504003,"1185","235.12","2","0.17"
"2008","Chiang Mai","January","21",1664399,"4276","256.91","3","0.07"
"2008","Chiang Rai","January","1",1225013,"988","80.65","5","0.51"
"2008","Chonburi","January","11",1233446,"2389","193.69","4","0.17"
"2008","Chumphon","January","36",481298,"771","160.19","2","0.26"
"2008","Kalasin","January","30",977508,"335","34.27","1","0.30"
"2008","Kamphaeng Phet","January","30",725994,"1097","151.10","2","0.18"
"2008","Kanchanaburi","January","38",835282,"1174","140.55","4","0.34"
"2008","Khon Kaen","January","12",1752414,"597","34.07","0","0.00"
"2008","Krabi","January","48",410634,"868","211.38","1","0.12"
"2008","Lampang","January","2",770613,"1301","168.83","0","0.00"
"2008","Lamphun","January","8",405157,"348","85.89","0","0.00"
"2008","Loei","January","2",615538,"258","41.91","0","0.00"
"2008","Lopburi","January","60",749821,"1367","182.31","0","0.00"
"2008","Mae Hong Son","January","0",254804,"338","132.65","1","0.30"
"2008","Maha Sarakham","January","7",936005,"467","49.89","0","0.00"
"2008","Mukdahan","January","9",336107,"132","39.27","0","0.00"
"2008","Nakhon Nayok","January","31",248496,"282","113.48","0","0.00"
"2008","Nakhon Pathom","January","73",830970,"2556","307.59","2","0.08"
"2008","Nakhon Phanom","January","1",697105,"128","18.36","0","0.00"
"2008","Nakhon Ratchasima","January","48",2552894,"1828","71.61","1","0.05"
"2008","Nakhon Sawan","January","107",1073683,"2632","245.14","4","0.15"
"2008","Nakhon Si Thammarat","January","96",1506997,"1706","113.21","3","0.18"
"2008","Nan","January","1",477381,"259","54.25","0","0.00"
"2008","Narathiwat","January","65",711517,"868","121.99","0","0.00"
"2008","Nong Bua Lam Phu","January","1",497603,"112","22.51","0","0.00"
"2008","Nong Khai","January","7",902618,"170","18.83","2","1.18"
"2008","Nonthaburi","January","89",1024191,"2498","243.90","3","0.12"
"2008","Pathum Thani","January","33",896843,"875","97.56","0","0.00"
"2008","Pattani","January","70",637806,"737","115.55","1","0.14"
"2008","Phang Nga","January","17",246887,"231","93.57","0","0.00"
"2008","Phatthalung","January","56",502563,"717","142.67","1","0.14"
"2008","Phayao","January","0",486579,"356","73.16","0","0.00"
"2008","Phetchabun","January","21",997531,"2021","202.60","0","0.00"
"2008","Phetchaburi","January","37",456061,"637","139.67","2","0.31"
"2008","Phichit","January","41",554740,"834","150.34","1","0.12"
"2008","Phitsanulok","January","25",841683,"1805","214.45","2","0.11"
"2008","Phrae","January","2",465876,"593","127.29","0","0.00"
"2008","Phuket","January","60",315498,"716","226.94","2","0.28"
"2008","Prachinburi","January","46",454988,"964","211.87","1","0.10"
"2008","Prachuap Khiri Khan","January","54",494588,"771","155.89","1","0.13"
"2008","Ranong","January","11",180787,"108","59.74","0","0.00"
"2008","Ratchaburi","January","97",831438,"3103","373.21","4","0.13"
"2008","Rayong","January","63",583470,"2168","371.57","2","0.09"
"2008","Roi Et","January","29",1308589,"1374","105.00","1","0.07"
"2008","Sa Kaeo","January","14",539137,"807","149.68","3","0.37"
"2008","Sakon Nakhon","January","2",1113064,"218","19.59","1","0.46"
"2008","Samut Prakan","January","140",1126940,"3145","279.07","4","0.13"
"2008","Samut Sakhon","January","87",469934,"1174","249.82","3","0.26"
"2008","Samut Songkhram","January","18",194212,"165","84.96","0","0.00"
"2008","Saraburi","January","16",615756,"788","127.97","1","0.13"
"2008","Satun","January","15",284482,"491","172.59","0","0.00"
"2008","Sing Buri","January","15",215653,"146","67.70","1","0.68"
"2008","Sisaket","January","23",1443011,"1440","99.79","0","0.00"
"2008","Songkhla","January","149",1324915,"2423","182.88","2","0.08"
"2008","Sukhothai","January","4",605301,"549","90.70","3","0.55"
"2008","Suphan Buri","January","108",842584,"1061","125.92","0","0.00"
"2008","Surat Thani","January","24",970424,"1083","111.60","0","0.00"
"2008","Surin","January","60",1372672,"1235","89.97","0","0.00"
"2008","Tak","January","21",530928,"1090","205.30","4","0.37"
"2008","Trang","January","13",610332,"552","90.44","0","0.00"
