"Year","Province","Month","Cases","Population","Total.Cases","Incidence.Per.100000","Total.Deaths","Fatality.Rate"
"2012","Amnat Charoen","January","1",372137,"240","64.49","0","0.00"
"2012","Ang Thong","January","13",284970,"273","95.80","0","0.00"
"2012","Bangkok","January","313",5701394,"9918","173.96","10","0.10"
"2012","Bueng Kan","January","1",403542,"199","49.31","0","0.00"
"2012","Buriram","January","22",1553765,"2485","159.93","0","0.00"
"2012","Chachoengsao","January","47",673933,"1535","227.77","1","0.07"
"2012","Chai Nat","January","10",334934,"381","113.75","1","0.26"
"2012","Chaiyaphum","January","17",1127423,"1134","100.58","1","0.09"
"2012","Chanthaburi","January","25",514616,"1222","237.46","0","0.00"
"2012","Chiang Mai","January","17",1640479,"1866","113.75","2","0.11"
"2012","Chiang Rai","January","3",1198218,"1204","100.48","0","0.00"
"2012","Chonburi","January","78",1316293,"1679","127.56","4","0.24"
"2012","Chumphon","January","9",489964,"912","186.14","0","0.00"
"2012","Kalasin","January","0",982578,"275","27.99","0","0.00"
"2012","Kamphaeng Phet","January","27",727093,"1116","153.49","1","0.09"
"2012","Kanchanaburi","January","40",839776,"1170","139.32","1","0.09"
"2012","Khon Kaen","January","29",1767601,"1483","83.90","0","0.00"
"2012","Krabi","January","71",432704,"1771","409.29","0","0.00"
"2012","Lampang","January","2",761949,"244","32.02","0","0.00"
"2012","Lamphun","January","1",404560,"227","56.11","1","0.44"
"2012","Loei","January","1",624066,"778","124.67","1","0.13"
"2012","Lopburi","January","54",755854,"1567","207.32","0","0.00"
"2012","Mae Hong Son","January","0",242742,"153","63.03","0","0.00"
"2012","Maha Sarakham","January","12",940911,"1223","129.98","1","0.08"
"2012","Mukdahan","January","2",339575,"243","71.56","0","0.00"
"2012","Nakhon Nayok","January","1",252734,"119","47.09","0","0.00"
"2012","Nakhon Pathom","January","63",860246,"1178","136.94","1","0.08"
"2012","Nakhon Phanom","January","0",703392,"343","48.76","1","0.29"
"2012","Nakhon Ratchasima","January","77",2582089,"3544","137.25","7","0.20"
"2012","Nakhon Sawan","January","24",1073495,"2182","203.26","2","0.09"
"2012","Nakhon Si Thammarat","January","55",1522561,"1823","119.73","5","0.27"
"2012","Nan","January","0",476363,"212","44.50","0","0.00"
"2012","Narathiwat","January","29",737162,"404","54.80","0","0.00"
"2012","Nong Bua Lam Phu","January","0",502868,"291","57.87","0","0.00"
"2012","Nong Khai","January","2",509395,"143","28.07","0","0.00"
"2012","Nonthaburi","January","33",1101743,"818","74.25","0","0.00"
"2012","Pathum Thani","January","11",985643,"490","49.71","0","0.00"
"2012","Pattani","January","7",655259,"283","43.19","0","0.00"
"2012","Phang Nga","January","14",253112,"484","191.22","0","0.00"
"2012","Phatthalung","January","33",509534,"917","179.97","0","0.00"
"2012","Phayao","January","0",486304,"130","26.73","0","0.00"
"2012","Phetchabun","January","8",996031,"649","65.16","2","0.31"
"2012","Phetchaburi","January","29",464033,"668","143.96","0","0.00"
"2012","Phichit","January","13",552690,"599","108.38","0","0.00"
"2012","Phitsanulok","January","16",849692,"1255","147.70","3","0.24"
"2012","Phrae","January","3",460756,"685","148.67","0","0.00"
"2012","Phuket","January","20",345067,"360","104.33","1","0.28"
"2012","Prachinburi","January","9",466572,"886","189.90","0","0.00"
"2012","Prachuap Khiri Khan","January","17",509134,"429","84.26","2","0.47"
"2012","Ranong","January","7",183079,"204","111.43","1","0.49"
"2012","Ratchaburi","January","106",839075,"1634","194.74","2","0.12"
"2012","Rayong","January","70",626402,"2249","359.03","1","0.04"
"2012","Roi Et","January","10",1309708,"1514","115.60","2","0.13"
"2012","Sa Kaeo","January","15",544100,"707","129.94","1","0.14"
"2012","Sakon Nakhon","January","1",1122905,"97","8.64","0","0.00"
"2012","Samut Prakan","January","44",1185180,"947","79.90","1","0.11"
"2012","Samut Sakhon","January","71",491887,"1142","232.17","1","0.09"
"2012","Samut Songkhram","January","15",194057,"241","124.19","3","1.24"
"2012","Saraburi","January","17",617384,"557","90.22","0","0.00"
"2012","Satun","January","37",297163,"422","142.01","1","0.24"
"2012","Sing Buri","January","0",214661,"28","13.04","0","0.00"
"2012","Sisaket","January","13",1452471,"1575","108.44","1","0.06"
"2012","Songkhla","January","85",1357023,"2906","214.15","5","0.17"
"2012","Sukhothai","January","16",601778,"431","71.62","0","0.00"
"2012","Suphan Buri","January","43",845850,"612","72.35","0","0.00"
"2012","Surat Thani","January","26",1000383,"1203","120.25","3","0.25"
"2012","Surin","January","7",1381761,"2265","163.92","2","0.09"
"2012","Tak","January","20",525684,"713","135.63","5","0.70"
"2012","Trang","January","30",622659,"723","116.11","0","0.00"
"2012","Trat","January","19",220921,"395","178.80","0","0.00"
"2012","Ubon Ratchathani","January","5",1813088,"872","48.09","1","0.11"
"2012","Udon Thani","January","4",1544786,"536","34.70","0","0.00"
"2012","Uthai Thani","January","13",327959,"509","155.20","0","0.00"
"2012","Uttaradit","January","5",462618,"404","87.33","0","0.00"
"2012","Yala","January","6",487380,"295","60.53","0","0.00"
"2012","Yasothon","January","1",539257,"365","67.69","1","0.27"
"2012","Amnat Charoen","February","2",372137,"240","64.49","0","0.00"
"2012","Ang Thong","February","14",284970,"273","95.80","0","0.00"
"2012","Bangkok","February","259",5701394,"9918","173.96","10","0.10"
"2012","Bueng Kan","February","21",403542,"199","49.31","0","0.00"
"2012","Buriram","February","12",1553765,"2485","159.93","0","0.00"
"2012","Chachoengsao","February","39",673933,"1535","227.77","1","0.07"
"2012","Chai Nat","February","26",334934,"381","113.75","1","0.26"
"2012","Chaiyaphum","February","27",1127423,"1134","100.58","1","0.09"
"2012","Chanthaburi","February","31",514616,"1222","237.46","0","0.00"
"2012","Chiang Mai","February","22",1640479,"1866","113.75","2","0.11"
"2012","Chiang Rai","February","6",1198218,"1204","100.48","0","0.00"
"2012","Chonburi","February","54",1316293,"1679","127.56","4","0.24"
"2012","Chumphon","February","25",489964,"912","186.14","0","0.00"
"2012","Kalasin","February","3",982578,"275","27.99","0","0.00"
"2012","Kamphaeng Phet","February","34",727093,"1116","153.49","1","0.09"
"2012","Kanchanaburi","February","53",839776,"1170","139.32","1","0.09"
"2012","Khon Kaen","February","26",1767601,"1483","83.90","0","0.00"
"2012","Krabi","February","91",432704,"1771","409.29","0","0.00"
"2012","Lampang","February","6",761949,"244","32.02","0","0.00"
"2012","Lamphun","February","2",404560,"227","56.11","1","0.44"
"2012","Loei","February","13",624066,"778","124.67","1","0.13"
"2012","Lopburi","February","65",755854,"1567","207.32","0","0.00"
"2012","Mae Hong Son","February","0",242742,"153","63.03","0","0.00"
"2012","Maha Sarakham","February","14",940911,"1223","129.98","1","0.08"
"2012","Mukdahan","February","3",339575,"243","71.56","0","0.00"
"2012","Nakhon Nayok","February","11",252734,"119","47.09","0","0.00"
"2012","Nakhon Pathom","February","37",860246,"1178","136.94","1","0.08"
"2012","Nakhon Phanom","February","1",703392,"343","48.76","1","0.29"
"2012","Nakhon Ratchasima","February","65",2582089,"3544","137.25","7","0.20"
"2012","Nakhon Sawan","February","24",1073495,"2182","203.26","2","0.09"
"2012","Nakhon Si Thammarat","February","54",1522561,"1823","119.73","5","0.27"
"2012","Nan","February","1",476363,"212","44.50","0","0.00"
"2012","Narathiwat","February","40",737162,"404","54.80","0","0.00"
"2012","Nong Bua Lam Phu","February","6",502868,"291","57.87","0","0.00"
"2012","Nong Khai","February","1",509395,"143","28.07","0","0.00"
"2012","Nonthaburi","February","24",1101743,"818","74.25","0","0.00"
"2012","Pathum Thani","February","20",985643,"490","49.71","0","0.00"
"2012","Pattani","February","15",655259,"283","43.19","0","0.00"
"2012","Phang Nga","February","19",253112,"484","191.22","0","0.00"
"2012","Phatthalung","February","33",509534,"917","179.97","0","0.00"
"2012","Phayao","February","0",486304,"130","26.73","0","0.00"
"2012","Phetchabun","February","19",996031,"649","65.16","2","0.31"
"2012","Phetchaburi","February","21",464033,"668","143.96","0","0.00"
"2012","Phichit","February","28",552690,"599","108.38","0","0.00"
"2012","Phitsanulok","February","11",849692,"1255","147.70","3","0.24"
"2012","Phrae","February","0",460756,"685","148.67","0","0.00"
"2012","Phuket","February","28",345067,"360","104.33","1","0.28"
"2012","Prachinburi","February","23",466572,"886","189.90","0","0.00"
"2012","Prachuap Khiri Khan","February","14",509134,"429","84.26","2","0.47"
"2012","Ranong","February","15",183079,"204","111.43","1","0.49"
"2012","Ratchaburi","February","93",839075,"1634","194.74","2","0.12"
"2012","Rayong","February","55",626402,"2249","359.03","1","0.04"
"2012","Roi Et","February","12",1309708,"1514","115.60","2","0.13"
"2012","Sa Kaeo","February","19",544100,"707","129.94","1","0.14"
"2012","Sakon Nakhon","February","2",1122905,"97","8.64","0","0.00"
"2012","Samut Prakan","February","36",1185180,"947","79.90","1","0.11"
"2012","Samut Sakhon","February","47",491887,"1142","232.17","1","0.09"
"2012","Samut Songkhram","February","18",194057,"241","124.19","3","1.24"
"2012","Saraburi","February","21",617384,"557","90.22","0","0.00"
"2012","Satun","February","35",297163,"422","142.01","1","0.24"
"2012","Sing Buri","February","1",214661,"28","13.04","0","0.00"
"2012","Sisaket","February","18",1452471,"1575","108.44","1","0.06"
"2012","Songkhla","February","101",1357023,"2906","214.15","5","0.17"
"2012","Sukhothai","February","11",601778,"431","71.62","0","0.00"
"2012","Suphan Buri","February","48",845850,"612","72.35","0","0.00"
"2012","Surat Thani","February","30",1000383,"1203","120.25","3","0.25"
"2012","Surin","February","28",1381761,"2265","163.92","2","0.09"
"2012","Tak","February","15",525684,"713","135.63","5","0.70"
"2012","Trang","February","26",622659,"723","116.11","0","0.00"
"2012","Trat","February","7",220921,"395","178.80","0","0.00"
"2012","Ubon Ratchathani","February","4",1813088,"872","48.09","1","0.11"
"2012","Udon Thani","February","0",1544786,"536","34.70","0","0.00"
"2012","Uthai Thani","February","14",327959,"509","155.20","0","0.00"
"2012","Uttaradit","February","4",462618,"404","87.33","0","0.00"
"2012","Yala","February","6",487380,"295","60.53","0","0.00"
"2012","Yasothon","February","0",539257,"365","67.69","1","0.27"
"2012","Amnat Charoen","March","5",372137,"240","64.49","0","0.00"
"2012","Ang Thong","March","12",284970,"273","95.80","0","0.00"
"2012","Bangkok","March","288",5701394,"9918","173.96","10","0.10"
"2012","Bueng Kan","March","11",403542,"199","49.31","0","0.00"
"2012","Buriram","March","44",1553765,"2485","159.93","0","0.00"
"2012","Chachoengsao","March","46",673933,"1535","227.77","1","0.07"
"2012","Chai Nat","March","37",334934,"381","113.75","1","0.26"
"2012","Chaiyaphum","March","26",1127423,"1134","100.58","1","0.09"
"2012","Chanthaburi","March","34",514616,"1222","237.46","0","0.00"
"2012","Chiang Mai","March","5",1640479,"1866","113.75","2","0.11"
"2012","Chiang Rai","March","1",1198218,"1204","100.48","0","0.00"
"2012","Chonburi","March","77",1316293,"1679","127.56","4","0.24"
"2012","Chumphon","March","27",489964,"912","186.14","0","0.00"
"2012","Kalasin","March","11",982578,"275","27.99","0","0.00"
"2012","Kamphaeng Phet","March","57",727093,"1116","153.49","1","0.09"
"2012","Kanchanaburi","March","48",839776,"1170","139.32","1","0.09"
"2012","Khon Kaen","March","43",1767601,"1483","83.90","0","0.00"
"2012","Krabi","March","174",432704,"1771","409.29","0","0.00"
"2012","Lampang","March","4",761949,"244","32.02","0","0.00"
"2012","Lamphun","March","1",404560,"227","56.11","1","0.44"
"2012","Loei","March","4",624066,"778","124.67","1","0.13"
