"Year","Province","Month","Cases","Population","Total.Cases","Incidence.Per.100000","Total.Deaths","Fatality.Rate"
"2014","Amnat Charoen","January","0",374096,"135","36.09","0","0.00"
"2014","Ang Thong","January","4",283807,"138","48.62","0","0.00"
"2014","Bangkok","January","406",5679906,"4724","83.17","0","0.00"
"2014","Bueng Kan","January","4",414425,"161","38.85","0","0.00"
"2014","Buriram","January","0",1570089,"516","32.86","1","0.19"
"2014","Chachoengsao","January","14",687974,"299","43.46","0","0.00"
"2014","Chai Nat","January","2",332971,"61","18.32","0","0.00"
"2014","Chaiyaphum","January","5",1134379,"669","58.97","0","0.00"
"2014","Chanthaburi","January","12",523036,"1080","206.49","1","0.09"
"2014","Chiang Mai","January","16",1661264,"959","57.73","1","0.10"
"2014","Chiang Rai","January","15",1202542,"314","26.11","0","0.00"
"2014","Chonburi","January","44",1377177,"563","40.88","5","0.89"
"2014","Chumphon","January","20",496803,"518","104.27","0","0.00"
"2014","Kalasin","January","4",984557,"322","32.71","0","0.00"
"2014","Kamphaeng Phet","January","11",728093,"774","106.31","1","0.13"
"2014","Kanchanaburi","January","13",840576,"333","39.62","0","0.00"
"2014","Khon Kaen","January","6",1778236,"437","24.57","0","0.00"
"2014","Krabi","January","25",447928,"995","222.13","0","0.00"
"2014","Lampang","January","7",755837,"160","21.17","0","0.00"
"2014","Lamphun","January","0",404971,"37","9.14","0","0.00"
"2014","Loei","January","2",630996,"104","16.48","0","0.00"
"2014","Lopburi","January","20",758015,"650","85.75","0","0.00"
"2014","Mae Hong Son","January","3",245452,"594","242.00","1","0.17"
"2014","Maha Sarakham","January","11",950397,"364","38.30","0","0.00"
"2014","Mukdahan","January","2",343585,"87","25.32","0","0.00"
"2014","Nakhon Nayok","January","4",255630,"97","37.95","0","0.00"
"2014","Nakhon Pathom","January","44",878399,"826","94.03","3","0.36"
"2014","Nakhon Phanom","January","1",709605,"152","21.42","0","0.00"
"2014","Nakhon Ratchasima","January","20",2605665,"875","33.58","2","0.23"
"2014","Nakhon Sawan","January","12",1073245,"657","61.22","0","0.00"
"2014","Nakhon Si Thammarat","January","106",1538365,"3063","199.11","6","0.20"
"2014","Nan","January","1",477793,"465","97.32","0","0.00"
"2014","Narathiwat","January","62",761771,"1050","137.84","0","0.00"
"2014","Nong Bua Lam Phu","January","0",506104,"82","16.20","0","0.00"
"2014","Nong Khai","January","1",513690,"255","49.64","0","0.00"
"2014","Nonthaburi","January","45",1148971,"416","36.21","0","0.00"
"2014","Pathum Thani","January","16",1043498,"361","34.60","0","0.00"
"2014","Pattani","January","88",675227,"1417","209.86","1","0.07"
"2014","Phang Nga","January","13",258457,"136","52.62","1","0.74"
"2014","Phatthalung","January","55",516257,"729","141.21","1","0.14"
"2014","Phayao","January","0",487431,"86","17.64","0","0.00"
"2014","Phetchabun","January","5",994050,"190","19.11","1","0.53"
"2014","Phetchaburi","January","26",469980,"579","123.20","0","0.00"
"2014","Phichit","January","12",549126,"395","71.93","0","0.00"
"2014","Phitsanulok","January","3",855374,"152","17.77","0","0.00"
"2014","Phrae","January","4",456841,"328","71.80","1","0.30"
"2014","Phuket","January","84",365214,"714","195.50","1","0.14"
"2014","Prachinburi","January","9",474969,"398","83.79","0","0.00"
"2014","Prachuap Khiri Khan","January","4",518661,"270","52.06","1","0.37"
"2014","Ranong","January","4",178712,"148","82.81","1","0.68"
"2014","Ratchaburi","January","31",848397,"994","117.16","1","0.10"
"2014","Rayong","January","32",655247,"820","125.14","1","0.12"
"2014","Roi Et","January","2",1308763,"398","30.41","0","0.00"
"2014","Sa Kaeo","January","3",549640,"201","36.57","0","0.00"
"2014","Sakon Nakhon","January","0",1131748,"78","6.89","0","0.00"
"2014","Samut Prakan","January","68",1232454,"839","68.08","1","0.12"
