"Year","Province","Month","Cases","Population","Total.Cases","Incidence.Per.100000","Total.Deaths","Fatality.Rate"
"2016","Amnat Charoen","January","26",375881,"333","88.59","1","0.30"
"2016","Ang Thong","January","13",283371,"143","50.46","0","0.00"
"2016","Bangkok","January","1914",5694347,"7368","129.39","0","0.00"
"2016","Bueng Kan","January","23",419607,"633","150.86","0","0.00"
"2016","Buriram","January","104",1581955,"750","47.41","2","0.27"
"2016","Chachoengsao","January","54",698190,"392","56.15","0","0.00"
"2016","Chai Nat","January","26",331968,"136","40.97","0","0.00"
"2016","Chaiyaphum","January","66",1137651,"592","52.04","0","0.00"
"2016","Chanthaburi","January","53",529194,"711","134.36","0","0.00"
"2016","Chiang Mai","January","79",1703263,"4752","278.99","5","0.11"
"2016","Chiang Rai","January","33",1242825,"1197","96.31","1","0.08"
"2016","Chonburi","January","221",1438231,"827","57.50","1","0.12"
"2016","Chumphon","January","27",503203,"245","48.69","0","0.00"
"2016","Kalasin","January","54",985055,"783","79.49","0","0.00"
"2016","Kamphaeng Phet","January","38",729839,"176","24.11","0","0.00"
"2016","Kanchanaburi","January","40",865172,"196","22.65","1","0.51"
"2016","Khon Kaen","January","101",1794032,"800","44.59","1","0.13"
"2016","Krabi","January","39",459456,"564","122.75","1","0.18"
"2016","Lampang","January","23",752685,"746","99.11","0","0.00"
"2016","Lamphun","January","35",405927,"531","130.81","1","0.19"
"2016","Loei","January","22",636666,"688","108.06","1","0.15"
"2016","Lopburi","January","80",758531,"435","57.35","0","0.00"
"2016","Mae Hong Son","January","16",260971,"1142","437.60","1","0.09"
"2016","Maha Sarakham","January","55",962592,"615","63.89","0","0.00"
"2016","Mukdahan","January","19",347059,"440","126.78","0","0.00"
"2016","Nakhon Nayok","January","12",257939,"79","30.63","0","0.00"
"2016","Nakhon Pathom","January","213",895207,"762","85.12","1","0.13"
"2016","Nakhon Phanom","January","15",714369,"409","57.25","0","0.00"
"2016","Nakhon Ratchasima","January","189",2624668,"1639","62.45","2","0.12"
"2016","Nakhon Sawan","January","126",1072349,"618","57.63","0","0.00"
"2016","Nakhon Si Thammarat","January","265",1550278,"2284","147.33","0","0.00"
"2016","Nan","January","1",478890,"210","43.85","0","0.00"
"2016","Narathiwat","January","107",778941,"1722","221.07","3","0.17"
"2016","Nong Bua Lam Phu","January","15",509469,"221","43.38","0","0.00"
"2016","Nong Khai","January","17",518420,"176","33.95","0","0.00"
"2016","Nonthaburi","January","154",1183791,"601","50.77","0","0.00"
