"Year","Province","Month","Cases","Population","Total.Cases","Incidence.Per.100000","Total.Deaths","Fatality.Rate"
"2010","Amnat Charoen","January","1",370804,"376","101.40","0","0.00"
"2010","Ang Thong","January","13",284807,"308","108.14","0","0.00"
"2010","Bangkok","January","617",5702595,"10912","191.35","9","0.08"
"2010","Buriram","January","66",1546784,"4057","262.29","2","0.05"
"2010","Chachoengsao","January","48",668983,"1118","167.12","0","0.00"
"2010","Chai Nat","January","10",335420,"205","61.12","2","0.98"
"2010","Chaiyaphum","January","14",1125166,"781","69.41","2","0.26"
"2010","Chanthaburi","January","28",511246,"2205","431.30","0","0.00"
"2010","Chiang Mai","January","44",1632548,"6538","400.48","3","0.05"
"2010","Chiang Rai","January","15",1194933,"2371","198.42","0","0.00"
"2010","Chonburi","January","133",1289590,"2690","208.59","2","0.07"
"2010","Chumphon","January","19",487744,"668","136.96","1","0.15"
"2010","Kalasin","January","19",980158,"465","47.44","0","0.00"
"2010","Kamphaeng Phet","January","29",726846,"564","77.60","1","0.18"
"2010","Kanchanaburi","January","37",833423,"686","82.31","0","0.00"
"2010","Khon Kaen","January","21",1762242,"935","53.06","0","0.00"
"2010","Krabi","January","55",426556,"1599","374.86","6","0.38"
"2010","Lampang","January","11",764498,"1375","179.86","0","0.00"
"2010","Lamphun","January","3",404693,"534","131.95","0","0.00"
"2010","Loei","January","19",620780,"898","144.66","1","0.11"
"2010","Lopburi","January","33",754452,"1216","161.18","2","0.16"
"2010","Mae Hong Son","January","2",241847,"626","258.84","2","0.32"
"2010","Maha Sarakham","January","6",939090,"798","84.98","2","0.25"
"2010","Mukdahan","January","22",338048,"872","257.95","0","0.00"
"2010","Nakhon Nayok","January","3",251683,"98","38.94","0","0.00"
"2010","Nakhon Pathom","January","76",851426,"1511","177.47","2","0.13"
"2010","Nakhon Phanom","January","11",700690,"1013","144.57","2","0.20"
"2010","Nakhon Ratchasima","January","87",2571292,"5348","207.99","12","0.22"
"2010","Nakhon Sawan","January","35",1072868,"696","64.87","0","0.00"
"2010","Nakhon Si Thammarat","January","157",1516499,"5870","387.08","18","0.31"
"2010","Nan","January","2",475614,"277","58.24","0","0.00"
"2010","Narathiwat","January","87",728071,"3124","429.08","5","0.16"
"2010","Nong Bua Lam Phu","January","8",500913,"211","42.12","0","0.00"
"2010","Nong Khai","January","18",907250,"883","97.33","0","0.00"
"2010","Nonthaburi","January","136",1078071,"1584","146.93","1","0.06"
"2010","Pathum Thani","January","69",956376,"816","85.32","0","0.00"
"2010","Pattani","January","135",647624,"3186","491.95","11","0.35"
