Población total,,,,
,,,,
Consulta de: Población total con estimación   Por: Entidad municipio y loc   Según: Tamaño localidad 2 tam,,,,
,,Total,"Menos de 2,500 habitantes","2,500 y más habitantes"
 ,Estados Unidos Mexicanos,91158290,24154775,67003515
#NAME?,Aguascalientes,862720,187736,674984
#NAME?,Baja California,2112140,182652,1929488
#NAME?,Baja California Sur,375494,79159,296335
#NAME?,Campeche,642516,185321,457195
#NAME?,Coahuila de Zaragoza,2173775,256426,1917349
#NAME?,Colima,488028,72044,415984
#NAME?,Chiapas,3584786,2002394,1582392
#NAME?,Chihuahua,2793537,554353,2239184
#NAME?,Distrito Federal,8489007,25146,8463861
#NAME?,Durango,1431748,558781,872967
#NAME?,Guanajuato,4406568,1470634,2935934
#NAME?,Guerrero,2916567,1321742,1594825
#NAME?,Hidalgo,2112473,1109584,1002889
#NAME?,Jalisco,5991176,1007468,4983708
#NAME?,México,11707964,1689408,10018556
#NAME?,Michoacán de Ocampo,3870604,1373161,2497443
#NAME?,Morelos,1442662,203334,1239328
#NAME?,Nayarit,896702,331772,564930
#NAME?,Nuevo León,3550114,250275,3299839
#NAME?,Oaxaca,3228895,1824408,1404487
#NAME?,Puebla,4624365,1544465,3079900
#NAME?,Querétaro Arteaga,1250476,444663,805813
#NAME?,Quintana Roo,703536,138783,564753
#NAME?,San Luis Potosí,2200763,928911,1271852
#NAME?,Sinaloa,2425675,810052,1615623
#NAME?,Sonora,2085536,387143,1698393
#NAME?,Tabasco,1748769,837515,911254
#NAME?,Tamaulipas,2527328,424004,2103324
#NAME?,Tlaxcala,883924,177398,706526
#NAME?,Veracruz de Ignacio de la Llave,6737324,2804093,3933231
#NAME?,Yucatán,1556622,306033,1250589
#NAME?,Zacatecas,1336496,665917,670579
,,,,
Fuente: INEGI. I Conteo de Población y Vivienda 1995.,,,,
