"Población total"
""
"Consulta de: Población total con estimación   Por: Entidad y municipio   Según: Tamaño localidad 2 tam"
"","","Total","1-2499 habitantes","2500 y más habitantes",""
" ","Total","112,336,538","26,049,769","86,286,769"
"=CONCATENAR(0,01) ","Aguascalientes","1,184,996","227,407","957,589"
"=CONCATENAR(0,02) ","Baja California","3,155,070","243,196","2,911,874"
"=CONCATENAR(0,03) ","Baja California Sur","637,026","88,308","548,718"
"=CONCATENAR(0,04) ","Campeche","822,441","209,032","613,409"
"=CONCATENAR(0,05) ","Coahuila de Zaragoza","2,748,391","275,003","2,473,388"
"=CONCATENAR(0,06) ","Colima","650,555","73,016","577,539"
"=CONCATENAR(0,07) ","Chiapas","4,796,580","2,459,382","2,337,198"
"=CONCATENAR(0,08) ","Chihuahua","3,406,465","517,269","2,889,196"
"=CONCATENAR(0,09) ","Distrito Federal","8,851,080","40,687","8,810,393"
"=CONCATENAR( ,10) ","Durango","1,632,934","508,499","1,124,435"
"=CONCATENAR( ,11) ","Guanajuato","5,486,372","1,651,168","3,835,204"
"=CONCATENAR( ,12) ","Guerrero","3,388,768","1,416,920","1,971,848"
"=CONCATENAR( ,13) ","Hidalgo","2,665,018","1,273,778","1,391,240"
"=CONCATENAR( ,14) ","Jalisco","7,350,682","985,248","6,365,434"
"=CONCATENAR( ,15) ","México","15,175,862","1,974,158","13,201,704"
"=CONCATENAR( ,16) ","Michoacán de Ocampo","4,351,037","1,362,688","2,988,349"
"=CONCATENAR( ,17) ","Morelos","1,777,227","286,889","1,490,338"
"=CONCATENAR( ,18) ","Nayarit","1,084,979","336,945","748,034"
"=CONCATENAR( ,19) ","Nuevo León","4,653,458","247,333","4,406,125"
"=CONCATENAR( ,20) ","Oaxaca","3,801,962","2,002,757","1,799,205"
"=CONCATENAR( ,21) ","Puebla","5,779,829","1,631,443","4,148,386"
"=CONCATENAR( ,22) ","Querétaro","1,827,937","540,664","1,287,273"
"=CONCATENAR( ,23) ","Quintana Roo","1,325,578","157,058","1,168,520"
"=CONCATENAR( ,24) ","San Luis Potosí","2,585,518","935,008","1,650,510"
"=CONCATENAR( ,25) ","Sinaloa","2,767,761","751,994","2,015,767"
"=CONCATENAR( ,26) ","Sonora","2,662,480","372,252","2,290,228"
"=CONCATENAR( ,27) ","Tabasco","2,238,603","954,075","1,284,528"
"=CONCATENAR( ,28) ","Tamaulipas","3,268,554","398,945","2,869,609"
"=CONCATENAR( ,29) ","Tlaxcala","1,169,936","235,696","934,240"
"=CONCATENAR( ,30) ","Veracruz de Ignacio de la Llave","7,643,194","2,976,060","4,667,134"
"=CONCATENAR( ,31) ","Yucatán","1,955,577","312,821","1,642,756"
"=CONCATENAR( ,32) ","Zacatecas","1,490,668","604,070","886,598"

"FUENTE: INEGI. Censo de Población y Vivienda 2010."
