x,y
633,2
632,4
632,7
630,9
628,13
628,15
626,17
622,25
622,27
620,29
618,33
618,35
616,37
616,39
614,43
612,45
612,47
610,51
608,53
608,55
606,57
606,59
604,63
602,65
602,67
600,71
598,73
598,75
596,77
596,79
594,83
592,85
592,87
590,89
588,93
588,95
586,97
582,105
582,107
580,109
578,113
578,115
576,117
572,126
570,128
568,132
568,134
566,136
566,138
564,140
562,144
562,146
560,148
558,152
558,154
556,156
556,158
554,160
552,164
552,166
550,168
548,172
548,174
546,176
546,178
544,180
542,184
542,186
538,193
538,195
536,197
536,199
532,206
532,209
530,212
530,214
528,216
528,220
526,222
526,226
524,229
524,233
524,230
526,226
526,223
528,220
528,217
530,214
530,212
532,209
534,202
536,200
538,193
540,191
542,184
544,182
544,180
546,178
546,176
548,174
548,172
550,170
550,168
552,166
552,164
554,162
554,160
556,158
556,156
558,154
558,152
560,150
560,148
562,146
562,144
564,142
564,140
566,138
566,136
568,134
568,132
570,130
570,128
574,123
574,121
576,119
576,117
578,115
578,113
580,111
580,109
582,107
582,105
584,103
584,101
586,99
586,97
588,95
588,93
590,91
590,89
592,87
594,82
596,80
596,78
598,76
598,74
600,72
600,70
604,62
606,60
606,58
608,56
608,54
610,52
610,50
614,42
616,40
618,33
620,31
620,29
622,27
622,25
624,21
626,19
626,17
628,15
628,13
630,11
630,9
632,7
