"Country or Subregion","aWeek","bClinical","cIncidence Rate","Lab. Confirm.","cIncidence Rate","Serotype","dSevere Dengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"Canada","Week 52","0","","0","","DEN","0","0","","",""
"United States***","Week 52","543","0.17","543","","DEN","5","0","313,085","",""
"Belize","Week 52","2,690","788.86","1,202","352.49","DEN","12","0","341","0.00","0.00"
"Costa Rica","Week 52","49,868","1,092.88","218","4.78","DEN1,2,3","151","1","4,563","0.30","0.00"
"El Salvador","Week 52","28,877","451.41","11,118","173.80","DEN1,2,3","425","3","6,397","1.47","0.01"
"Guatemala","Week 52","11,860","101.48","2,450","20.96","DEN1,2,3,4","33","8","11,687","0.00","0.07"
"Honduras","Week 52","39,271","459.04","591","6.91","DEN2,3","4,398","29","8,555","11.20","0.07"
"Mexico","Week 52","231,498","209.28","62,330","56.35","DEN1,2,3,4","18,667","104","110,619","8.06","0.04"
"Nicaragua","Week 52","77,179","1,481.93","8,957","171.99","DEN1,2,3,4","151","20","5,208","0.00","0.03"
"Panama","Week 52","3,235","90.95","1,165","32.75","DEN1,2,3","12","8","3,557","0.00","0.25"
"Subtotal ","","444,478","294.50","88,031","","","23,849","173","150,927","5.37","0.04"
"Bolivia","Week 52","13,050","134.16","1,276","13.12","DEN1,2,4","63","8","9,727","0.48","0.06"
"Colombia ","Week 52","127,219","476.20","65,464","245.00","DEN1,2,3,4","3,377","161","22,939","2.65","0.13"
"Ecuador","Week 52","13,630","86.40","0","0.00","DEN1,2,4","71","11","15,775","0.00","0.08"
"Peru","Week 52","13,833","46.87","10,867","36.82","DEN1,2,3,4","69","18","29,515","0.50","0.13"
"Venezuela","Week 52","63,726","50.38","0","0.00","DEN1,2,3,4","583","0","28,384","0.00","0.00"
"Subtotal ","","231,458","217.66","77,607","","","4,163","198","106,340","1.80","0.09"
"h Argentina","Week 52","9,294","23.18","2,921","7.29","DEN1,2,3,4","0","0","40,091","0.00","0.00"
"Brazil","Week 52","1,468,873","755.51","117,766","201.25","DEN1,2,3,4","6,969","545","191,481","0.47","0.04"
"&Chile","Week 52","39","0.86","39","0.86","DEN","0","0","4,537","0.00","0.00"
"Paraguay","Week 52","144,539","2,166.03","12,432","186.30","DEN1,2,4","2,076","251","6,673","1.44","0.17"
