"Country or Subregion","aWeek","bProbable","Incidence cRate","Lab. Confirm.","Incidence cRate","Serotype","Severe dDengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"Canada","Week 52","0","0.00","0","0.00","","0","0","","0.00","0.00"
"United States***","Week 52","764","0.23","764","0.23","","0","0","325,128","0.00","0.00"
"Belize","Week 46","192","55.17","1","0.29","DEN 3","","0","348","0.00","0.00"
"Costa Rica","Week 52","22,605","451.92","","0.00","DEN 1,2,3","0","0","5,002","0.00","0.00"
"El Salvador","Week 52","8,789","136.77","124","1.93","DEN 2","206","1","6,426","2.34","0.01"
"Guatemala","Week 52","8,844","54.41","","0.00","DEN 1,2,3,4","47","1","16,255","0.53","0.01"
"Honduras","Week 37","20,034","229.72","76","0.87","DEN","257","2","8,721","1.28","0.01"
"Mexico","Week 52","130,069","103.86","17,795","14.21","DEN 1,2,3,4","806","34","125,236","0.62","0.03"
"Nicaragua","Week 52","88,320","1,411.54","6,599","105.47","DEN 2","","16","6,257","0.00","0.02"
"Panama","Week 51","7,278","182.50","1,902","47.69","DEN 1,2,3","14","9","3,988","0.19","0.12"
"Subtotal","","286,131","166.13","26,497","15.38","","1,330","63","172,233","0.46","0.02"
"Bolivia","Week 52","31,756","288.04","3,552","32.22","DEN","56","1","11,025","0.18","0.00"
"Colombia","Week 52","103,822","209.62","45,809","92.49","DEN 1,2,3,4","1,047","199","49,529","1.01","0.19"
"Ecuador","Week 52","14,150","87.21","14,150","87.21","DEN","39","4","16,226","0.28","0.03"
"Peru","Week 52","31,868","102.27","17,055","54.73","DEN 1,2,3","124","41","31,161","0.39","0.13"
"Venezuela","Week 52","29,263","94.31","5,833","18.80","DEN 1,2,3,4","113","30","31,028","0.39","0.10"
"Subtotal","","210,859","151.73","86,399","62.17","","1,379","275","138,969","0.65","0.13"
"hArgentina","Week 52","79,455","188.48","41,211","97.76","DEN 1,4","","10","42,155","0.00","0.01"
"Brazil","Week 51","1,496,282","734.71","272,419","133.76","DEN 1,2,3,4","844","629","203,657","0.06","0.04"
"&Chile","Week 34","43","0.24","","0.00","DEN","","0","17,924","0.00","0.00"
"Paraguay","Week 52","173,709","2,469.91","2,556","36.34","DEN 1,3,4","48","16","7,033","0.03","0.01"
"Uruguay","Week 51","1,337","38.98","60","1.75","DEN 1","0","0","3,430","0.00","0.00"
"Subtotal","","1,750,826","638.52","316,246","115.33","","892","655","274,199","0.05","0.04"
"Cuba","Week 52","1,836","16.32","1,836","16.32","DEN 2,3","29","0","11,249","1.58","0.00"
"Dominican Republic","Week 52","6,645","62.38","","","DEN","641","39","10,652","9.65","0.59"
"#Puerto Rico","Week 52","71,794","1,950.92","158","4.29","DEN 1,3,2,4","0","0","3,680","0.00","0.00"
"Country or Subregion","aWeek","bProbable","Incidence cRate","Lab. Confirm.","Incidence cRate","Serotype","Severe dDengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"American Virgin Islands","Week 52","48","46.15","48","46.15","","0","0","104","0.00","0.00"
"Anguilla*","Week 44","50","312.50","0","0.00","","0","0","16","0.00","0.00"
"Antigua & Barbuda*","Week 52","103","111.96","3","3.26","DEN 2","0","0","92","0.00","0.00"
"Aruba","Week 52","1,319","1,177.68","103","91.96","DEN","0","0","112","0.00","0.00"
"Bahamas*","Week 48","82","21.13","1","0.26","","0","0","388","0.00","0.00"
"Barbados*","Week 40","1,433","492.44","407","139.86","DEN","0","0","291","0.00","0.00"
"Bermuda*","Week 52","2","2.86","0","0.00","","0","0","70","0.00","0.00"
"British Virgin Islands*","Week 40","100","303.03","100","303.03","","0","0","33","0.00","0.00"
"Cayman Islands*","Week 52","150","267.86","2","3.57","DEN 3","0","0","56","0.00","0.00"
"Curacao*","Week 00","","0.00","","0.00","","","","148","0.00","0.00"
"Dominica*","Week 48","351","474.32","6","8.11","","0","0","74","0.00","0.00"
"French Guiana","Week 51","522","218.41","9","3.77","DEN 1,2","0","0","239","0.00","0.00"
"Grenada*","Week 48","151","136.04","76","68.47","DEN 1","0","0","111","0.00","0.00"
"Guadaloupe","Week 51","177","43.07","17","4.14","DEN 1","0","0","411","0.00","0.00"
"Guyana","Week 16","303","37.50","303","37.50","DEN","0","0","808","0.00","0.00"
"Haiti","Week 00","","0.00","","0.00","","","","10,604","0.00","0.00"
"Jamaica","Week 49","2,269","80.66","154","5.47","DEN 3,4","3","0","2,813","0.13","0.00"
"Martinique","Week 51","158","39.70","13","3.27","DEN 1,2,3","0","0","398","0.00","0.00"
"Montserrat*","Week 48","25","500.00","0","0.00","","0","0","5","0.00","0.00"
"fNetherlands Antilles","Week 00","","0.00","","0.00","","","","225","0.00","0.00"
"St. Bartolome","Week 51","78","860.93","60","662.25","DEN ","0","0","9","0.00","0.00"
"St. Kitts & Nevis*","Week 46","136","261.54","0","0.00","","0","0","52","0.00","0.00"
"St. Lucia","Week 48","196","119.51","78","47.56","DEN 1","0","0","164","0.00","0.00"
"St. Martin","Week 51","29","70.73","4","9.76","DEN ","0","0","41","0.00","0.00"
"St. Vincent & the Grenadines","Week 48","89","86.41","7","6.80","DEN","0","0","103","0.00","0.00"
"Suriname","Week 46","6","1.09","1","0.18","DEN 1","0","0","548","0.00","0.00"
"Trinidad & Tobago*","Week 48","1,801","133.70","9","0.67","DEN 1,3","0","0","1,347","0.00","0.00"
"Turks & Caicos Islands*","Week 40","415","830.00","415","830.00","DEN","0","0","50","0.00","0.00"
"Subtotal","","9,993","51.74","1,816","9.40","","3","0","19,312","0.03","0.00"
"TOTAL","","          2 ,338,848","244.80","      433,716","","","         4,274","               1,032","955,422","0.18","0.044"
