"Country or Subregion","aWeek","bProbable","Incidence cRate","Lab. Confirm.","Incidence cRate","Serotype","Severe dDengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"Canada","Week 52","0","","0","","","0","0","","0.00","0.00"
"United States***","Week 52","751","0.23","751","","DEN 1***","0","0","325,128","0.00","0.00"
"Subtotal","","751","","751","","","0","0","325,128","",""
"Belize","Week 52","4,687","1,346.84","509","146.26","DEN 2","116","0","348","2.47","0.00"
"Costa Rica","Week 52","17,394","347.74","0","0.00","DEN1,2,3","6","0","5,002","0.03","0.00"
"El Salvador","Week 52","50,169","780.72","9,998","155.59","DEN 1,2,3","365","6","6,426","0.73","0.01"
"Guatemala","Week 52","18,058","111.09","1,228","7.55","DEN1,2,3,4","50","9","16,255","0.28","0.05"
"Honduras","Week 52","44,834","532.22","0","0.00","DEN","1,062","5","8,424","2.37","0.01"
"Mexico","Week 52","219,593","175.34","26,665","21.29","DEN1,2,3,4","5,464","42","125,236","2.49","0.02"
"Nicaragua","Week 52","49,326","788.33","4,082","65.24","DEN2,3","15","15","6,257","0.03","0.03"
"Panama","Week 52","3,347","83.93","1,973","49.47","DEN 1,2,3","6","4","3,988","0.18","0.12"
"Subtotal","","407,408","236.95","44,455","","","7,084","81","171,936","1.74","0.02"
"Bolivia","Week 52","27,013","245.02","0","0.00","DEN","95","0","11,025","0.35","0.00"
"Colombia","Week 52","96,444","194.72","39,475","79.70","DEN1,2,3,4","1,421","155","49,529","1.47","0.16"
"Ecuador","Week 52","42,667","262.95","1,437","8.86","DEN1,2,4","56","8","16,226","0.13","0.02"
"Peru","Week 52","35,837","115.01","32,511","104.33","DEN1,2,3,4","123","52","31,161","0.34","0.15"
"Venezuela","Week 52","68,389","218.54","13,837","44.22","DEN","280","90","31,293","0.41","0.13"
"Subtotal","","270,350","194.17","87,260","","","1,975","305","139,234","0.73","0.11"
"h Argentina","Week 52","4,774","11.32","1,208","2.87","DEN 1,4","0","0","42,155","0.00",""
"&Chile","Week 52","40","0.22","7","0.04","DEN","0","0","17,924","0.00",""
"jUruguay","Week 52","13","0.38","0","0.00","DEN","0","0","3,430","0.00",""
"Subtotal","","1,722,487","628.19","507,445","","","1,582","868","274,199","0.09","0.05"
"Cuba","Week 52","1,691","15.03","1,691","15.03","DEN3,4","0","0","11,249","0.00","0.00"
"Dominican Republic","Week 52","17,048","160.05","0","0.00","DEN2,3,4","1,854","107","10,652","10.88","0.63"
"Puerto Rico","Week 52","1,867","50.73","57","1.55","DEN 1,3,2,4","0","0","3,680","0.00","0.00"
"Subtotal","","20,606","80.55","1,748","","","1,854","107","25,581","9.00","0.52"
"American Virgin Islands","Week 40","103","99.04","103","99.04","DEN","1","0","104","0.97","0.00"
"Anguilla*","Week 52","8","50.00","2","12.50","DEN","0","0","16","0.00","0.00"
"Antigua & Barbuda*","Week 52","14","15.22","14","15.22","DEN","0","0","92","0.00","0.00"
"Aruba","Week 52","335","299.11","206","183.93","DEN","0","0","112","0.00","0.00"
"Bahamas*","Week 52","10","2.58","3","0.77","DEN","0","0","388","0.00","0.00"
"Barbados*","Week 52","391","134.36","119","40.89","DEN 1","1","1","291","0.26","0.26"
"Bermuda*","Week 52","0","0.00","0","0.00","DEN","0","0","70","0.00","0.00"
"British Virgin Islands*","Week 40","103","312.12","103","312.12","DEN","1","0","33","0.97","0.00"
"Cayman Islands*","Week 52","40","71.43","6","10.71","DEN2,3,4","0","0","56","0.00","0.00"
"Curacao*","Week 00","0","0.00","0","0.00","","0","0","148","0.00","0.00"
"Dominica*","Week 52","38","51.35","11","14.86","DEN","0","0","74","0.00","0.00"
"French Guiana","Week 52","2,603","993.51","357","136.26","DEN1,2,4","0","0","262","0.00","0.00"
"Grenada*","Week 52","25","22.52","25","22.52","DEN","0","0","111","0.00","0.00"
"Guadaloupe","Week 52","201","42.77","40","8.51","DEN","0","0","470","0.00","0.00"
"Guyana","Week 52","388","48.02","388","48.02","DEN","0","0","808","0.00","0.00"
"Haiti","Week 52","130","1.23","13","0.12","DEN 1,2,3,4","0","0","10,604","0.00","0.00"
"Jamaica","Week 52","88","3.13","14","0.50","DEN 4","0","0","2,813","0.00","0.00"
"Martinique","Week 52","207","50.99","25","6.16","DEN","0","0","406","0.00","0.00"
"Montserrat*","Week 52","0","0.00","0","0.00","DEN","0","0","5","0.00","0.00"
"fNetherlands Antilles","Week 00","0","0.00","0","0.00","DEN","0","0","225","0.00","0.00"
"St. Bartolome","Week 52","428","4,724.06","29","320.09","DEN","0","0","9","0.00","0.00"
"St. Kitts & Nevis*","Week 24","5","9.62","1","1.92","DEN","0","0","52","0.00","0.00"
"St. Lucia","Week 52","25","15.24","25","15.24","DEN 1","0","0","164","0.00","0.00"
"St. Martin","Week 49","1,488","3,629.27","61","148.78","DEN","0","0","41","0.00","0.00"
"St. Vincent & the Grenadines","Week 52","13","12.62","13","12.62","DEN","0","0","103","0.00","0.00"
"Suriname","Week 52","15","2.74","6","1.09","DEN","0","0","548","0.00","0.00"
"Trinidad & Tobago*","Week 52","1,687","125.24","23","1.71","DEN 1","0","3","1,347","0.00","0.18"
"Turks & Caicos Islands*","Week 52","331","662.00","331","662.00","DEN","0","0","50","0.00","0.00"
"TOTAL","","          2,430,278","385.54","643,577","","","        12,498","                 1,365","630,352","0.51","0.06"
