"Country or Subregion","Epidemiological aweek","Total of dengue bcases ","Incidence crate ","Confirmed","Incidence drate ","Serotype","Severe edengue ","Deaths","PopulationX 1000","(SD/D) fx100 ","gCFR "
"Canada","38","0","0.00","0","0","","0","0","0","0","0.00"
"hUnited States of America ","38","153","0.05","153","0.05","DEN","0","0","325,128","0","0.00"
"Belize","38","2,626","754.60","18","5.17","DEN","2","0","348","0.08","0.00"
"Costa Rica","34","4,254","85.05","0","0.00","DEN 1,2","0","0","5,002","0.00","0.00"
"El Salvador","38","3,112","49.82","154","2.47","DEN 2","2","0","6,246","0.06","0.00"
"Guatemala","37","2,803","17.24","658","4.05","DEN 1,2,3,4","30","9","16,255","1.07","0.32"
"Honduras","38","4,448","51.00","0","0.00","DEN 1,2,3","82","0","8,721","1.84","0.00"
"iMexico ","38","44,897","35.85","6,928","5.53","DEN 1,2,3","227","17","125,236","0.51","0.04"
"Nicaragua","37","50,508","807.22","1,888","30.17","DEN 2","0","2","6,257","0.00","0.00"
"Panama","37","5,540","138.92","2,539","63.67","DEN 1,2","12","0","3,988","0.22","0.00"
"Subtotal","","118,188","68.69","12,185","7.08","","355","28","172,053","0.30","0.02"
"Bolivia","38","8,003","72.59","850","7.71","DEN","71","2","11,025","0.89","0.02"
"Colombia","38","21,183","42.77","5,446","11.00","DEN 1,2,3,4","222","41","49,529","1.05","0.19"
"jEcuador ","38","10,765","66.34","10,765","66.34","DEN","15","4","16,226","0.14","0.04"
"Peru","37","72,702","233.31","24,442","78.44","DEN 2,3","232","82","31,161","0.32","0.11"
"Venezuela","31","4,929","15.89","860","2.77","DEN","19","0","31,028","0.39","0.00"
"Subtotal","","117,582","84.61","42,363","30.48","","559","129","138,969","0.48","0.11"
"kArgentina ","38","304","0.72","253","0.60","DEN 1,3","0","0","42,155","0.00","0.00"
"Brazil","35","219,040","107.55","0","0.00","DEN 1,2,3,4","184","88","203,657","0.08","0.04"
"lChile ","26","5","0.03","5","0.03","DEN 2","0","0","17,924","0.00","0.00"
"Paraguay","37","1,382","19.65","313","4.45","DEN 1","0","0","7,033","0.00","0.00"
"Uruguay","38","0","0.00","0","0.00","","0","0","3,430","0.00","0.00"
"Subtotal","","220,731","80.50","571","0.21","","184","88","274,199","0.03","0.04"
"Cuba","25","270","2.40","270","2.40","DEN 2,3","0","0","11,249","0.00","0.00"
"Dominican Republic","38","931","8.74","18","0.17","DEN","59","1","10,652","6.34","0.11"
"mPuerto Rico ","38","9","0.24","9","0.24","DEN 2","0","0","3,680","0.00","0.00"
"Subtotal","","1,210","4.73","297","1.16","","59","1","25,581","2.67","0.08"
"American Virgin Islands","38","1","0.96","1","0.96","DEN","0","0","104","0.00","0.00"
"Anguilla","28","18","112.50","2","12.50","DEN","0","0","16","0.00","0.00"
"Antigua & Barbuda","28","1","1.09","0","0.00","DEN","0","0","92","0.00","0.00"
"Country or Subregion","Epidemiological aweek","Total of dengue bcases ","Incidence crate ","Confirmed","Incidence drate ","Serotype","Severe edengue ","Deaths","PopulationX 1000","(SD/D) fx100 ","gCFR "
"Aruba","26","688","614.29"," 9","8.04","DEN","0","0","112","0.00","0.00"
"Bahamas","28","4","1.03","0","0.00","DEN","0","0","388","0.00","0.00"
"Barbados","28","192","65.98","29","9.97","DEN","0","0","291","0.00","0.00"
"Bermuda","28","0","0.00","0","0.00","","0","0","70","0.00","0.00"
"Bonaire, Saba and St. Eustatius","0","0","0.00","0","0.00","","0","0","0","0.00","0.00"
"British Virgin Islands","32","42","127.27","42","127.27","DEN","0","0","33","0.00","0.00"
"Cayman Islands","28","23","41.07","0","0.00","DEN","0","0","56","0.00","0.00"
"Curacao","0","0","0.00","0","0.00","","0","0","0","0.00","0.00"
"Dominica","28","31","41.89","0","0.00","DEN","0","0","74","0.00","0.00"
"French Guiana","26","455","190.38","0","0.00","DEN","0","0","239","0.00","0.00"
"Grenada","28","80","72.07","80","72.07","DEN","0","0","111","0.00","0.00"
"Guadaloupe","30","455","110.71","0","0.00","DEN","0","0","411","0.00","0.00"
"Haiti","0","0","0.00","0","0.00","","0","0","0","0.00","0.00"
"Jamaica","35","73","2.60","14","0.50","DEN 3","0","0","2,813","0.00","0.00"
"Martinique","30","72","18.09","1","0.25","DEN 2","0","0","398","0.00","0.00"
"Montserrat","28","0","0.00","0","0.00","","0","0","5","0.00","0.00"
"St. Bartolome","30","35","388.89","0","0.00","DEN","0","0","9","0.00","0.00"
"St. Kitts & Nevis","28","7","13.46","0","0.00","DEN","0","0","52","0.00","0.00"
"St. Lucia","24","14","8.54","14","8.54","DEN","0","0","164","0.00","0.00"
"St. Martin","30","157","382.93","0","0.00","DEN","0","0","41","0.00","0.00"
"St. Vincent & the Grenadines","28","3","2.91","0","0.00","DEN","0","0","103","0.00","0.00"
"Suriname","0","0","0.00","0","0.00","","0","0","0","0.00","0.00"
"Trinidad & Tobago","32","206","15.29","0","0.00","DEN","0","0","1,347","0.00","0.00"
"Turks & Caicos Islands","24","157","314.00","157","314.00","DEN","0","0","50","0.00","0.00"
"Subtotal","","2,719","34.92","349","4.48","","0","0","7,787","0.00","0.00"
"TOTAL","","                460,583","48.81","         55,918","","","         1,157","                           246","943,717","0.25","0.053"
