"Country or Subregion","aWeek","bProbable","Incidence cRate","Lab. Confirm.","Incidence dRate","Serotype","Severe eDengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"Canada","Week 33","0","0.00","0","","","0","0","","","0.00"
"fUnited States","Week 33","100","0.03","100","","DEN","0","0","325,128","","0.00"
"Subtotal","","100","0.03","100","","","0","0","325128","","0.00"
"Belize","Week 29","15","4.31","4","1.15","DEN","","0","348","0.00","0.00"
"Costa Rica","Week 30","3,458","69.13","","0.00","DEN 1,2","0","0","5,002","0.00","0.00"
"El Salvador","Week 33","2,627","40.88","104","1.62","DEN 2","3","0","6,426","0.11","0.00"
"Guatemala","Week 33","2,280","14.03","386","2.37","DEN 1,2,3,4","15","","16,255","0.00","0.00"
"Honduras","Week 33","3,974","45.57","0","0.00","DEN 1, 2, 3","73","0","8,721","0.00","0.00"
"gMexico","Week 33","28,302","22.60","3,945","3.15","DEN 1,2,3","154","9","125,236","0.54","0.03"
"Nicaragua","Week 33","45,243","723.08","1,674","26.75","DEN 2","","2","6,257","0.00","0.00"
"Panama","Week 32","4,438","111.28","2,039","51.13","DEN 1,2","8","0","3,988","0.00","0.00"
"Subtotal","","90,337","52.45","8,152","4.73","","253","11","172,233","0.28","0.01"
"Bolivia","Week 32","7,910","71.75","","0.00","","77","","11,025","0.00","0.00"
"Colombia","Week 33","18,963","38.29","8,357","16.87","DEN","207","35","49,529","1.09","0.18"
"hEcuador","Week 32","10,198","62.85","10,198","62.85","DEN","12","4","16,226","0.12","0.04"
"Peru","Week 33","71,517","229.51","24,023","77.09","DEN 2,3","232","80","31,161","0.32","0.11"
"Venezuela","Week 17","2,722","8.77","309","1.00","DEN","7","0","31,028","0.00","0.00"
"Subtotal","","111,310","80.10","42,887","30.86","","535","119","138,969","0.48","0.11"
"iArgentina ","Week 32","7,618","121.00","254","0.60","DEN 1,2,3","0","0","42,155","0.00","0.00"
"Brazil","Week 33","214,990","105.56","","0.00","DEN 1,2,3,4","169","83","203,657","0.00","0.04"
"kChile","Week 28","5","0.03","5","0.03","DEN 2","0","0","17,924","0.00","0.00"
"Paraguay","Week 32","1,328","18.88","305","4.34","DEN 1","","0","7,033","0.00","0.00"
"Uruguay","Week 33","0","0.00","0","0.00","","0","0","3,430","0.00","0.00"
"Subtotal","","223,941","81.67","564","0.21","","169","83","274,199","0.03","0.04"
"Cuba","Week 25","270","2.40","","0.00","DEN 2,3","","","11,249","0.00","0.00"
"Dominican Republic","Week 30","729","6.84","","0.00","DEN","41","0","10,652","0.00","0.00"
"jPuerto Rico ","Week 33","9","0.24","9","0.24","DEN 2","0","0","3,680","0.00","0.00"
"Subtotal","","1,008","3.94","9","0.04","","41","0","25,581","2.67","0.00"
"American Virgin Islands","Week 33","1","0.96","1","0.96","DEN","0","0","104","0.00","0.00"
"Anguilla","Week 28","18","112.50","2","12.50","DEN","0","0","16","0.00","0.00"
"Antigua & Barbuda","Week 28","1","1.09","0"," 0.00","DEN","0","0","92","0.00","0.00"
"Aruba","Week 28","688","614.29","9","8.04","DEN","0","0","112","0.00","0.00"
"Bahamas","Week 28","4","1.03","0","0.00","DEN","0","0","388","0.00","0.00"
"Barbados","Week 28","192","65.98","29","9.97","DEN","0","0","291","0.00","0.00"
"Bermuda","Week 28","0","0.00","0","0.00","","0","0","70","0.00","0.00"
"British Virgin Islands","Week 32","42","127.27","42","127.27","DEN","0","0","33","0.00","0.00"
"Cayman Islands","Week 28","23","41.07","0","0.00","DEN","0","0","56","0.00","0.00"
"Curacao","Week 00","0","0.00","0","0.00","","0","0","148","0.00","0.00"
"Dominica","Week 28","31","41.89","0","0.00","DEN","0","0","74","0.00","0.00"
"French Guiana","Week 17","165","69.04","0","0.00","DEN","0","0","239","0.00","0.00"
"Grenada","Week 28","80","72.07","80","72.07","DEN","0","0","111","0.00","0.00"
"Guadaloupe","Week 26","83","20.19","0","0.00","DEN","0","0","411","0.00","0.00"
"Guyana","Week 00","","0.00","","0.00","","0","0","808","0.00","0.00"
"Haiti","Week 00","","0.00","","0.00","","0","0","10,604","0.00","0.00"
"Jamaica","Week 33","70","2.49","14","0.50","DEN 3","0","0","2,813","0.00","0.00"
"Martinique","Week 26","73","18.34","1","0.25","DEN 2","0","0","398","0.00","0.00"
"Montserrat","Week 28","0","0.00","0","0.00","","0","0","5","0.00","0.00"
"Netherlands Antilles","Week 28","0","0.00","0","0.00","","0","0","225","0.00","0.00"
"St. Bartolome","Week 26","30","331.13","0","0.00","","0","0","9","0.00","0.00"
"St. Kitts & Nevis","Week 28","7","13.46","0","0.00","","0","0","52","0.00","0.00"
"St. Lucia","Week 24","14","8.54","14","8.54","DEN","0","0","164","0.00","0.00"
"St. Martin","Week 26","114","278.05","0","0.00","","0","0","41","0.00","0.00"
"St. Vincent & the Grenadines","Week 28","3","2.91","2","1.94","","0","0","103","0.00","0.00"
"Suriname","Week 00","","0.00","","0.00","","0","0","548","0.00","0.00"
"Trinidad & Tobago","Week 28","206","15.29","3","0.22","","0","0","1,347","0.00","0.00"
"Turks & Caicos Islands","Week 24","157","314.00","157","314.00","DEN","0","0","50","0.00","0.00"
"Subtotal","","2,002","10.37","354","1.83","","0","0","19,312","0.00","0.00"
"TOTAL","","             428,698","44.87","        52,066","","","           998","                 213","955,422","0.23","0.050"
