"Country or Subregion ","aWeek"," ","Clinical ","IncidencecRate","  ","Lab.Confirmed","  ","IncidencecRate","  ","dSerotype"," ","eDHF ","Deaths"," ","Populationx1000","  ","(DHF/D) x100 ","CFR"," "
"eArgentina ","Week52","  ","135 ","0.36"," ","135"," ","0.36"," ","DEN 1, 2,3","  ","0 ","0"," ","37,448"," ","0.00 ","--"," "
"Bolivia** ","Week52","  ","6,548 ","327.40"," ","1,002"," ","50.10"," ","DEN 1, 2,3","  ","47 ","6"," ","2,000"," ","0.72 ","12.77"," "
"Brazil ","Week52","  ","341,902 ","198.14"," "," "," ","0.00"," ","DEN 1, 2,3","  ","713 ","38"," ","172,559"," ","0.21 ","5.33"," "
"Chile (Easter Island only) ","Week52","  ","0 ","0.00"," ","0"," ","0.00"," ","DEN"," ","0 ","0"," ","1"," ","-- ","--"," "
"Colombia ","Week52","  ","52,588 ","258.70"," ","5,260"," ","25.88"," ","DEN 1, 2,3","  ","4,878 ","7"," ","20,328"," ","9.28 ","0.14"," "
"Costa Rica** ","Week52","  ","19,669 ","606.32"," ","264"," ","8.14"," ","DEN 1, 2"," ","69 ","0"," ","3,244"," ","0.35 ","0.00"," "
"Cuba ","Week52","  ","0 ","0.00"," ","0"," ","0.00"," ","DEN"," ","0 ","0"," ","11,254"," ","-- ","--"," "
"Dominican Republic ","Week52","  ","6,163 ","72.55"," ","1,053"," ","12.40"," ","DEN 2"," ","252 ","75"," ","8,495"," ","4.09 ","29.76"," "
"Ecuador ","Week52","  ","10,319 ","80.12"," ","889"," ","6.90"," ","DEN 3"," ","416 ","5"," ","12,880"," ","4.03 ","1.20"," "
"El Salvador ","Week"," ","7,436 ","116.24"," ","3,782"," ","59.12"," ","DEN 2, 4"," ","138 ","8"," ","6,397"," ","1.86 ","5.80"," "
"Guatemala ","Week52","  ","6,750 ","57.76"," ","996"," ","8.52"," ","DEN 1, 2,3, 4","  ","22 ","3"," ","11,687"," ","0.33 ","13.64"," "
"Honduras ","Week52","  ","16,559 ","251.85"," ","184"," ","2.80"," ","DEN 2, 4"," ","458 ","11"," ","6,575"," ","2.77 ","2.40"," "
"eMexico ","Week52","  ","5,018 ","5.00"," ","5,018"," ","5.00"," ","DEN"," ","1,419 "," "," ","100,368"," ","28.28 ","0.00"," "
"eNicaragua ","Week52","  ","2,799 ","53.74"," ","2,799"," ","53.74"," ","DEN 1"," ","235 ","4"," ","5,208"," ","8.40 ","1.70"," "
"Panama ","Week52","  ","293 ","10.11"," ","39"," ","1.35"," ","DEN 2"," ","0 ","0"," ","2,899"," ","0.00 ","--"," "
"eParaguay ","Week52","  ","137 ","2.43"," ","137"," ","2.43"," ","DEN 3"," ","0 ","0"," ","5,636"," ","0.00 ","--"," "
"Puerto Rico ","Week52","  ","3,735 ","94.51"," ","1,328"," ","33.60"," ","DEN 1, 2,3","  ","5 ","0"," ","3,952"," ","0.13 ","0.00"," "
"Uruguay ","Week52","  ","0 ","0.00"," ","0"," ","0.00"," ","DEN"," ","0 ","0"," ","3,385"," ","-- ","--"," "
"Venezuela ","Week52","  ","26,996 ","109.60"," "," "," ","0.00"," ","DEN 1, 2,3","  ","2,246 ","7"," ","24,632"," ","8.32 ","0.31"," "
"USA*** ","Week52","  ","40 ","3.33"," ","12"," ","1.00"," ","DEN"," ","  "," "," ","1,200"," ","0.00 ","--"," "
"Anguilla ","Week52","  ","2 ","16.67"," ","1"," ","8.33"," ","DEN 3"," ","0 ","0"," ","12"," ","0.00 ","--"," "
"Antigua & Barbuda ","Week52","  ","0 ","0.00"," ","1"," ","1.54"," ","DEN"," ","  "," "," ","65"," ","-- ","--"," "
"Bahamas ","Week52","  ","180 ","58.44"," ","0"," ","0.00"," ","DEN 2, 3"," ","0 ","0"," ","308"," ","0.00 ","--"," "
"Barbados ","Week52","  ","557 ","207.84"," ","22"," ","8.21"," ","DEN 1, 3"," ","0 ","0"," ","268"," ","0.00 ","--"," "
"Belize ","Week"," ","0 ","0.00"," ","0"," ","0.00"," ","DEN"," ","  "," "," ","231"," ","-- ","--"," "
"Bermuda ","Week52","  ","0 ","0.00"," ","0"," ","0.00"," ","DEN"," ","0 ","0"," ","63"," ","-- ","--"," "
"British Virgin Islands ","Week52","  ","0 ","0.00"," ","0"," ","0.00"," ","DEN"," ","0 ","0"," ","24"," ","-- ","--"," "
"Cayman Islands ","Week52","  ","1 ","2.50"," ","1"," ","2.50"," ","DEN"," ","0 ","0"," ","40"," ","0.00 ","--"," "
"Curaçao ","Week01","  ","  ","0.00"," "," "," ","0.00"," ","DEN"," ","  "," "," ","217"," ","-- ","--"," "
"Dominica ","Week52","  ","0 ","0.00"," ","0"," ","0.00"," ","DEN"," ","0 ","0"," ","71"," ","-- ","--"," "
"French Guiana ","Week52","  ","2,178 ","1,281.18"," ","49"," ","28.82"," ","DEN 1, 3"," ","0 ","0"," ","170"," ","0.00 ","--"," "
"Guadaloupe ","Week52","  ","495 ","114.85"," ","151"," ","35.03"," ","DEN 3"," ","0 ","0"," ","431"," ","0.00 ","--"," "
"Guyana ","Week52","  ","33 ","4.33"," ","4"," ","0.52"," ","DEN"," ","  "," "," ","763"," ","0.00 ","--"," "
"Jamaica ","Week52","  ","52 ","2.00"," ","45"," ","1.73"," ","DEN"," ","0 ","0"," ","2,598"," ","  "," "," "
"Martinique ","Week52","  ","791 ","204.92"," ","203"," ","52.59"," ","DEN"," ","0 ","0"," ","386"," ","0.00 ","--"," "
"Montserrat ","Week52","  ","1 ","12.50"," ","0"," ","0.00"," ","DEN"," ","0 ","0"," ","8"," ","0.00 ","--"," "
"St. Kitts/Nevis ","Week52","  ","2 ","5.26"," ","2"," ","5.26"," ","DEN"," ","  "," "," ","38"," ","0.00 ","--"," "
"St. Vincent & Grenadines ","Week52","  ","3 ","2.63"," ","3"," ","2.63"," ","DEN 3"," ","0 ","0"," ","114"," ","0.00 ","--"," "
"Suriname ","Week52","  ","285 ","68.02"," ","1"," ","0.24"," ","DEN 2"," ","1 "," "," ","419"," ","0.35 ","0.00"," "
"Trinidad & ","Week"," ","2,289 ","176.08"," ","121"," ","9.31"," ","DEN 3"," ","80 "," "," ","1,300"," ","3.49 ","0.00"," "
"Turks & Caicos Islands ","Week52","  ","2 ","11.76"," ","0"," ","0.00"," ","DEN"," ","0 ","0"," ","17"," ","0.00 ","--"," "
"Total "," "," ","517,617 "," "," ","23,845"," "," "," "," "," ","10,994 ","164"," ","500,000"," ","  "," "," "
