"Country or Subregion","aWeek","bProbable","Incidence cRate","Lab. Confirm.","Incidence dRate","Serotype","Severe eDengue","Deaths","PopulationX 1000","(SD/D) x100","CFR"
"Canada","Week 28","0","0.00","0","","","0","0","","","0.00"
"fUnited States","Week 28","62","0.02","62","","DEN","0","0","325,128","","0.00"
"Subtotal","","62","0.02","62","","","0","0","325128","","0.00"
"Belize","Week 00","","0.00","","0.00","","","","348","0.00","0.00"
"Costa Rica","Week 28","2,802","56.02","","0.00","DEN 1,2","0","0","5,002","0.00","0.00"
"El Salvador","Week 28","2,126","33.08","49","0.76","DEN 2","53","0","6,426","2.49","0.00"
"Guatemala","Week 24","1,296","7.97","230","1.41","DEN 1,2"," ","","16,255","0.00","0.00"
"Honduras","Week 28","3,437","39.41","0","0.00","DEN 1, 2, 3","58","0","8,721","0.00","0.00"
"gMexico","Week 28","5,372","4.29","2,622","2.09","DEN 1,2,3,4","685","9","125,236","12.75","0.17"
"Nicaragua","Week 26","33,434","534.35","1,325","21.18","DEN","","2","6,257","0.00","0.01"
"Panama","Week 25","2,906","72.87","1,305","32.72","DEN 1,2","7","0","3,988","0.00","0.00"
"Subtotal","","51,373","29.83","5,531","3.21","","803","11","172,233","1.56","0.02"
"Bolivia","Week 28","7,647","69.36","","0.00","","76","","11,025","0.00","0.00"
"Colombia","Week 28","16,774","33.87","8,357","16.87","DEN","184","49","49,529","1.10","0.29"
"hEcuador","Week 28","9,713","59.86","9,713","59.86","DEN","9","4","16,226","0.09","0.04"
"Peru","Week 28","68,687","220.43","22,079","70.85","DEN 2,3","210","72","31,161","0.31","0.10"
"Venezuela","Week 17","2,722","8.77","309","1.00","DEN","7","0","31,028","0.00","0.00"
"Subtotal","","105,543","75.95","40,458","29.11","","486","125","138,969","0.46","0.12"
"iArgentina ","Week 28","7,290","121.00","295","0.70","DEN 1","0","0","42,155","0.00","0.00"
"Brazil","Week 25","192,123","94.34","","0.00","DEN","131","57","203,657","0.00","0.03"
"kChile","Week 28","5","0.03","5","0.03","DEN 2","0","0","17,924","0.00","0.00"
"Paraguay","Week 26","1,285","18.27","285","4.05","DEN 1","","0","7,033","0.00","0.00"
"Uruguay","Week 28","0","0.00","0","0.00","","0","0","3,430","0.00","0.00"
"Subtotal","","200,703","73.20","585","0.21","","131","57","274,199","0.03","0.03"
"Cuba","Week 25","270","2.40","","0.00","DEN 2,3","","","11,249","0.00","0.00"
"Dominican Republic","Week 27","624","5.86","","0.00","DEN","31","0","10,652","0.00","0.00"
"jPuerto Rico ","Week 28","9","0.24","9","0.24","DEN 2","0","0","3,680","0.00","0.00"
"Subtotal","","903","3.53","9","0.04","","31","0","25,581","2.67","0.00"
"American Virgin Islands","Week 19","1","0.96","1","0.96","DEN","0","0","104","0.00","0.00"
"Anguilla","Week 12","15","93.75","2","12.50","DEN","0","0","16","0.00","0.00"
"Antigua & Barbuda","Week 24","1","1.09","0"," 0.00","","0","0","92","0.00","0.00"
"Aruba","Week 24","661","590.18","8","7.14","DEN","0","0","112","0.00","0.00"
"Bahamas","Week 20","4","1.03","0","0.00","","0","0","388","0.00","0.00"
"Barbados","Week 20","151","51.89","29","9.97","DEN","0","0","291","0.00","0.00"
"Bermuda","Week 24","0","0.00","0","0.00","","0","0","70","0.00","0.00"
"British Virgin Islands","Week 20","28","84.85","28","84.85","DEN","0","0","33","0.00","0.00"
"Cayman Islands","Week 24","12","21.43","0","0.00","","0","0","56","0.00","0.00"
"Curacao","Week 00","0","0.00","0","0.00","","0","0","148","0.00","0.00"
"Dominica","Week 28","22","29.73","0","0.00","","0","0","74","0.00","0.00"
"French Guiana","Week 17","165","69.04","0","0.00","","0","0","239","0.00","0.00"
"Grenada","Week 20","59","53.15","59","53.15","DEN","0","0","111","0.00","0.00"
"Guadaloupe","Week 26","83","20.19","0","0.00","","0","0","411","0.00","0.00"
"Guyana","Week 00","","0.00","","0.00","","0","0","808","0.00","0.00"
"Haiti","Week 00","","0.00","","0.00","","0","0","10,604","0.00","0.00"
"Jamaica","Week 28","64","2.28","11","0.39","DEN","0","0","2,813","0.00","0.00"
"Martinique","Week 26","73","18.34","1","0.25","DEN 2","0","0","398","0.00","0.00"
"Montserrat","Week 24","0","0.00","0","0.00","","0","0","5","0.00","0.00"
"Netherlands Antilles","Week 00","","0.00","","0.00","","0","0","225","0.00","0.00"
"St. Bartolome","Week 26","30","331.13","0","0.00","","0","0","9","0.00","0.00"
"St. Kitts & Nevis","Week 24","4","7.69","0","0.00","","0","0","52","0.00","0.00"
"St. Lucia","Week 24","14","8.54","14","8.54","DEN","0","0","164","0.00","0.00"
"St. Martin","Week 26","114","278.05","0","0.00","","0","0","41","0.00","0.00"
"St. Vincent & the Grenadines","Week 16","2","1.94","1","0.97","","0","0","103","0.00","0.00"
"Suriname","Week 00","","0.00","","0.00","","0","0","548","0.00","0.00"
"Trinidad & Tobago","Week 19","61","4.53","0","0.00","","0","0","1,347","0.00","0.00"
"Turks & Caicos Islands","Week 24","157","314.00","157","314.00","DEN","0","0","50","0.00","0.00"
"Subtotal","","1,721","8.91","311","1.61","","0","0","19,312","0.00","0.00"
"TOTAL","","             360,305","37.71","        46,956","","","        1,451","                 193","955,422","0.40","0.054"
