"","Área Programática, Regiões",População,,,,,,,,,,,,,,,,,,,,,,,,S E M A N A  E P I D E M I O L Ó G I C A,,,,,,,,,,,,,,,,,,,,,,,,
"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Total
"",Administrativas e Bairros,Censo 2010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"",,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24 25 26 27 28 29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,
Total,,6320446,150,177,176,220,189,178,181,93,108,124,137,114,104,118,79,81,81,87,73,46,26,46,38,29 31 22 26 23 30,19,15,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2823
Bairro de Residência Ignorado**,,0,10,9,17,18,11,19,5,4,5,9,17,4,4,3,3,5,4,6,9,3,1,4,2,2 1 2 3 0 1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,184
"Área Programática 1.0",,297976,11,12,9,13,15,18,12,12,8,6,7,10,5,11,5,9,6,5,7,5,0,4,3,2 3 0 3 2 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,205
I Portuária,,48664,2,2,0,0,2,5,3,1,1,2,0,2,1,4,0,2,1,1,3,2,0,1,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35
Saúde,,2749,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
Gamboa,,13108,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,1,1,1,3,1,0,1,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
Santo Cristo,,12330,0,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
Caju,,20477,2,2,0,0,1,4,1,1,0,1,0,0,0,3,0,1,0,0,0,1,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
II Centro,,41142,0,1,3,2,2,1,0,5,3,0,2,0,1,3,0,1,1,1,0,1,0,0,1,0 1 0 1 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
Centro,,41142,0,1,3,2,2,1,0,5,3,0,2,0,1,3,0,1,1,1,0,1,0,0,1,0 1 0 1 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30
III Rio Comprido,,78975,7,7,2,7,7,7,5,4,3,3,5,5,1,3,3,0,1,0,2,0,0,1,1,0 1 0 1 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76
Catumbi,,12556,1,0,0,2,5,1,1,0,2,0,4,1,0,1,1,0,0,0,0,0,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
Rio Comprido,,43764,5,5,2,2,2,2,3,1,1,3,1,4,1,1,1,0,0,0,2,0,0,1,1,0 1 0 1 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40
Cidade Nova,,5466,0,1,0,0,0,1,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
Estácio,,17189,1,1,0,3,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
VII São Cristóvão,,84908,2,1,2,2,2,3,2,1,1,1,0,0,1,1,1,3,1,1,1,0,0,1,0,1 1 0 1 0 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32
São Cristóvão,,26510,0,1,1,2,0,2,2,1,0,1,0,0,1,1,0,1,1,0,0,0,0,0,0,1 0 0 1 0 1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
Mangueira,,17835,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Benfica,,25081,2,0,1,0,1,1,0,0,1,0,0,0,0,0,1,2,0,1,1,0,0,1,0,0 1 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
Vasco da Gama,,15482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
XXI Paquetá,,3361,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
Paquetá,,3361,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
XXIII Santa Teresa,,40926,0,1,2,2,2,2,1,1,0,0,0,3,1,0,1,3,2,2,1,2,0,1,1,1 0 0 0 2 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
Santa Teresa,,40926,0,1,2,2,2,2,1,1,0,0,0,3,1,0,1,3,2,2,1,2,0,1,1,1 0 0 0 2 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31
"Área Programática 2.1",,638050,13,11,13,13,14,15,15,8,11,8,9,14,12,10,7,7,10,4,5,0,2,2,1,1 2 2 4 3 5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,226
IV Botafogo,,239729,3,3,2,2,3,5,3,1,3,5,4,4,4,3,2,2,4,1,1,0,0,0,0,1 1 0 2 2 2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65
Flamengo,,50043,2,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0 0 0 0 1 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
Glória,,9661,0,1,0,0,0,1,1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
Laranjeiras,,45554,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0 0 0 0 0 0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
