"Month","Week Ending","Week","Cases"
" "," "," 0 "," "," "
" January "," 06.01.2017 "," 1 "," 2774 "," "
" January "," 13.01.2017 "," 2 "," 2594 "," "
" January "," 20.01.2017 "," 3 "," 2925 "," "
" January "," 27.01.2017 "," 4 "," 2634 "," "
" February "," 03.02.2017 "," 5 "," 2417 "," "
" February "," 10.02.2017 "," 6 "," 2125 "," "
" February "," 17.02.2017 "," 7 "," 2350 "," "
" February "," 24.02.2017 "," 8 "," 1832 "," "
" March "," 03.03.2017 "," 9 "," 2396 "," "
" March "," 10.03.2017 "," 10 "," 2690 "," "
" March "," 17.03.2017 "," 11 "," 2582 "," "
" March "," 24.03.2017 "," 12 "," 2970 "," "
" March "," 31.03.2017 "," 13 "," 2894 "," "
" April "," 07.04.2017 "," 14 "," 2956 "," "
" April "," 14.04.2017 "," 15 "," 1990 "," "
" April "," 21.04.2017 "," 16 "," 3990 "," "
" April "," 28.04.2017 "," 17 "," 3566 "," "
" May "," 05.05.2017 "," 18 "," 3805 "," "
" May "," 12.05.2017 "," 19 "," 3228 "," "
" May "," 19.05.2017 "," 20 "," 4654 "," "
" May "," 26.05.2017 "," 21 "," 4231 "," "
" June "," 02.06.2017 "," 22 "," 4186 "," "
" June "," 09.06.2017 "," 23 "," 4427 "," "
" June "," 16.06.2017 "," 24 "," 4691 "," "
" June "," 23.06.2017 "," 25 "," 6253 "," "
" June "," 30.06.2017 "," 26 "," 5664 "," "
" July "," 07.07.2017 "," 27 "," 10035 "," "
" July "," 14.07.2017 "," 28 "," 10165 "," "
" July "," 21.07.2017 "," 29 "," 10618 "," "
" July "," 28.07.2017 "," 30 "," 10041 "," "
" August "," 04.08.2017 "," 31 "," 7753 "," "
" August "," 11.08.2017 "," 32 "," 5773 "," "
" August "," 18.08.2017 "," 33 "," 4859 "," "
" August "," 25.08.2017 "," 34 "," 3154 "," "
" September "," 01.09.2017 "," 35 "," 2221 "," "
" September "," 08.09.2017 "," 36 "," 1595 "," "
" September "," 15.09.2017 "," 37 "," 667 "," "
