"RDHS","January","February","March","April","May","June","July","August","September","October","November","December","Total Cases"
"Colombo "," 2734 "," 1900 "," 2467 "," 2570 "," 3333 "," 5372 "," 7471 "," 3620 "," 752 "," "," "," "," 30219 "
"Gampaha "," 1635 "," 1087 "," 1870 "," 2072 "," 3168 "," 4901 "," 9039 "," 3301 "," 598 "," "," "," "," 27671 "
"Kalutara "," 581 "," 448 "," 836 "," 739 "," 946 "," 1248 "," 2577 "," 1390 "," 242 "," "," "," "," 9007 "
"Kandy "," 252 "," 207 "," 361 "," 435 "," 844 "," 2232 "," 3764 "," 2247 "," 515 "," "," "," "," 10857 "
"Matale "," 129 "," 103 "," 145 "," 120 "," 165 "," 436 "," 766 "," 533 "," 68 "," "," "," "," 2465 "
"N Eliya "," 50 "," 32 "," 42 "," 37 "," 57 "," 94 "," 294 "," 159 "," 27 "," "," "," "," 792 "
"Galle "," 872 "," 567 "," 424 "," 265 "," 394 "," 623 "," 1072 "," 877 "," 199 "," "," "," "," 5293 "
"Hambantota "," 301 "," 225 "," 339 "," 333 "," 272 "," 384 "," 529 "," 359 "," 116 "," "," "," "," 2858 "
"Matara "," 431 "," 382 "," 337 "," 354 "," 488 "," 581 "," 1789 "," 1029 "," 197 "," "," "," "," 5588 "
"Jaffna "," 625 "," 478 "," 863 "," 499 "," 301 "," 288 "," 376 "," 290 "," 148 "," "," "," "," 3868 "
"Kilinochchi "," 55 "," 84 "," 35 "," 46 "," 21 "," 21 "," 90 "," 59 "," 12 "," "," "," "," 423 "
"Mannar "," 147 "," 91 "," 65 "," 90 "," 60 "," 23 "," 23 "," 5 "," 2 "," "," "," "," 506 "
"Vavuniya "," 58 "," 76 "," 143 "," 83 "," 65 "," 81 "," 99 "," 40 "," 7 "," "," "," "," 652 "
"Mulativu "," 37 "," 32 "," 21 "," 16 "," 27 "," 37 "," 71 "," 30 "," 2 "," "," "," "," 273 "
"Batticaloa "," 217 "," 465 "," 828 "," 1182 "," 869 "," 465 "," 273 "," 197 "," 83 "," "," "," "," 4579 "
"Ampara "," 51 "," 51 "," 59 "," 72 "," 75 "," 105 "," 225 "," 100 "," 28 "," "," "," "," 766 "
"Trincomalee "," 387 "," 661 "," 2114 "," 936 "," 158 "," 134 "," 135 "," 78 "," 21 "," "," "," "," 4624 "
"Kurunegala "," 403 "," 381 "," 505 "," 629 "," 1281 "," 2030 "," 2300 "," 1487 "," 330 "," "," "," "," 9346 "
"Puttalam "," 196 "," 132 "," 212 "," 318 "," 612 "," 783 "," 1304 "," 1192 "," 162 "," "," "," "," 4911 "
"Apura "," 166 "," 147 "," 255 "," 193 "," 249 "," 378 "," 709 "," 270 "," 38 "," "," "," "," 2405 "
"Polonnaruwa "," 54 "," 64 "," 98 "," 172 "," 160 "," 190 "," 290 "," 74 "," 15 "," "," "," "," 1117 "
"Badulla "," 226 "," 130 "," 139 "," 167 "," 186 "," 386 "," 1171 "," 460 "," 55 "," "," "," "," 2920 "
"Moneragala "," 97 "," 97 "," 112 "," 126 "," 164 "," 449 "," 569 "," 342 "," 177 "," "," "," "," 2133 "
"Ratnapura "," 439 "," 360 "," 507 "," 519 "," 1161 "," 1908 "," 3175 "," 1627 "," 262 "," "," "," "," 9958 "
"Kegalle "," 210 "," 230 "," 377 "," 332 "," 700 "," 1945 "," 2551 "," 1629 "," 366 "," "," "," "," 8340 "
"Kalmunai "," 574 "," 294 "," 378 "," 197 "," 162 "," 127 "," 197 "," 144 "," 61 "," "," "," "," 2134 "
"TOTAL "," 10927 "," 8724 "," 13532 "," 12502 "," 15918 "," 25221 "," 40859 "," 21539 "," 4483 "," "," "," "," 153705 "
