"Month","Week Ending","Week","Cases"
" January "," 07.01.11 "," 1 "," 194 "," "
" January "," 14.01.11 "," 2 "," 223 "," "
" January "," 21.01.11 "," 3 "," 261 "," "
" January "," 28.01.11 "," 4 "," 255 "," "
" February "," 04.02.11 "," 5 "," 269 "," "
" February "," 11.02.11 "," 6 "," 266 "," "
" February "," 18.02.11 "," 7 "," 211 "," "
" February "," 25.02.11 "," 8 "," 306 "," "
" March "," 04.03.11 "," 9 "," 264 "," "
" March "," 11.03.11 "," 10 "," 310 "," "
" March "," 18.03.11 "," 11 "," 230 "," "
" March "," 25.03.11 "," 12 "," 314 "," "
" April "," 01.04.11 "," 13 "," 346 "," "
" April "," 08.04.11 "," 14 "," 281 "," "
" April "," 15.04.11 "," 15 "," 178 "," "
" April "," 22.04.11 "," 16 "," 459 "," "
" April "," 29.04.11 "," 17 "," 507 "," "
" May "," 06.05.11 "," 18 "," 498 "," "
" May "," 13.05.11 "," 19 "," 480 "," "
" May "," 20.05.11 "," 20 "," 340 "," "
" May "," 27.05.11 "," 21 "," 649 "," "
" June "," 03.06.11 "," 22 "," 763 "," "
" June "," 10.06.11 "," 23 "," 955 "," "
" June "," 17.06.11 "," 24 "," 869 "," "
" June "," 24.06.11 "," 25 "," 884 "," "
" July "," 01.07.11 "," 26 "," 1126 "," "
" July "," 08.07.11 "," 27 "," 1034 "," "
" July "," 15.07.11 "," 28 "," 740 "," "
" July "," 22.07.11 "," 29 "," 1039 "," "
" July "," 29.07.11 "," 30 "," 878 "," "
" August "," 05.08.11 "," 31 "," 640 "," "
" August "," 12.08.11 "," 32 "," 493 "," "
" August "," 19.08.11 "," 33 "," 439 "," "
" August "," 26.08.11 "," 34 "," 534 "," "
" September "," 02.09.11 "," 35 "," 428 "," "
" September "," 09.09.11 "," 36 "," 521 "," "
" September "," 16.09.11 "," 37 "," 534 "," "
" September "," 23.09.11 "," 38 "," 508 "," "
" September "," 30.09.11 "," 39 "," 454 "," "
" October "," 07.10.11 "," 40 "," 461 "," "
" October "," 14.10.11 "," 41 "," 482 "," "
" October "," 21.10.11 "," 42 "," 592 "," "
" October "," 28.10.11 "," 43 "," 592 "," "
" November "," 04.11.11 "," 44 "," 654 "," "
" November "," 11.11.11 "," 45 "," 403 "," "
" November "," 18.11.11 "," 46 "," 524 "," "
" November "," 25.11.11 "," 47 "," 622 "," "
" December "," 02.12.11 "," 48 "," 944 "," "
" December "," 09.12.11 "," 49 "," 806 "," "
" December "," 16.12.11 "," 50 "," 869 "," "
" December "," 23.12.11 "," 51 "," 985 "," "
" December "," 30.12.11 "," 52 "," 859 "," "
