"RDHS","January","February","March","April","May","June","July","August","September","October","November","December","Total Cases"
"Colombo "," 2184 "," 1569 "," 1016 "," 942 "," 693 "," 1459 "," 3191 "," 1478 "," 939 "," 459 "," 460 "," 2377 "," 16767 "
"Gampaha "," 862 "," 615 "," 260 "," 276 "," 221 "," 555 "," 1625 "," 687 "," 526 "," 219 "," 220 "," 1107 "," 7173 "
"Kalutara "," 321 "," 294 "," 197 "," 312 "," 249 "," 343 "," 683 "," 293 "," 195 "," 106 "," 121 "," 388 "," 3502 "
"Kandy "," 335 "," 207 "," 93 "," 109 "," 154 "," 504 "," 1226 "," 510 "," 347 "," 165 "," 112 "," 301 "," 4063 "
"Matale "," 51 "," 42 "," 33 "," 21 "," 29 "," 89 "," 348 "," 133 "," 135 "," 78 "," 66 "," 123 "," 1148 "
"N Eliya "," 44 "," 22 "," 20 "," 31 "," 18 "," 38 "," 111 "," 51 "," 25 "," 18 "," 12 "," 31 "," 421 "
"Galle "," 276 "," 135 "," 110 "," 120 "," 118 "," 121 "," 467 "," 253 "," 288 "," 236 "," 281 "," 681 "," 3086 "
"Hambantota "," 97 "," 79 "," 47 "," 43 "," 42 "," 82 "," 176 "," 47 "," 57 "," 30 "," 47 "," 153 "," 900 "
"Matara "," 139 "," 92 "," 43 "," 56 "," 35 "," 119 "," 282 "," 144 "," 115 "," 82 "," 86 "," 191 "," 1384 "
"Jaffna "," 687 "," 238 "," 150 "," 93 "," 58 "," 80 "," 226 "," 148 "," 121 "," 91 "," 135 "," 441 "," 2468 "
"Kilinochchi "," 15 "," 16 "," 5 "," 7 "," 4 "," 4 "," 8 "," 8 "," 3 "," 5 "," 1 "," 10 "," 86 "
"Mannar "," 42 "," 17 "," 3 "," 7 "," 16 "," 10 "," 10 "," 2 "," 12 "," 18 "," 17 "," 78 "," 232 "
"Vavuniya "," 69 "," 22 "," 19 "," 26 "," 13 "," 7 "," 30 "," 12 "," 20 "," 12 "," 5 "," 33 "," 268 "
"Mulativu "," 29 "," 18 "," 19 "," 22 "," 9 "," 18 "," 22 "," 12 "," 7 "," 7 "," 7 "," 12 "," 182 "
"Batticaloa "," 124 "," 65 "," 34 "," 31 "," 20 "," 43 "," 69 "," 38 "," 31 "," 13 "," 18 "," 126 "," 612 "
"Ampara "," 38 "," 19 "," 18 "," 18 "," 7 "," 22 "," 61 "," 17 "," 20 "," 7 "," 4 "," 29 "," 260 "
"Trincomalee "," 102 "," 59 "," 42 "," 32 "," 28 "," 25 "," 35 "," 17 "," 14 "," 9 "," 8 "," 132 "," 503 "
"Kurunegala "," 241 "," 170 "," 105 "," 98 "," 194 "," 361 "," 598 "," 227 "," 125 "," 67 "," 110 "," 260 "," 2556 "
"Puttalam "," 206 "," 160 "," 63 "," 74 "," 53 "," 87 "," 144 "," 89 "," 47 "," 17 "," 26 "," 80 "," 1046 "
"Apura "," 98 "," 65 "," 33 "," 50 "," 29 "," 40 "," 137 "," 91 "," 70 "," 28 "," 30 "," 60 "," 731 "
"Polonnaruwa "," 60 "," 48 "," 24 "," 33 "," 20 "," 31 "," 110 "," 38 "," 27 "," 22 "," 23 "," 43 "," 479 "
"Badulla "," 85 "," 40 "," 55 "," 43 "," 32 "," 107 "," 169 "," 72 "," 127 "," 200 "," 105 "," 150 "," 1185 "
"Moneragala "," 58 "," 32 "," 23 "," 31 "," 18 "," 24 "," 70 "," 59 "," 46 "," 18 "," 29 "," 67 "," 475 "
"Ratnapura "," 211 "," 135 "," 169 "," 237 "," 241 "," 395 "," 681 "," 275 "," 196 "," 139 "," 143 "," 308 "," 3130 "
"Kegalle "," 198 "," 153 "," 66 "," 90 "," 100 "," 149 "," 210 "," 153 "," 104 "," 82 "," 60 "," 148 "," 1513 "
"Kalmunai "," 122 "," 127 "," 49 "," 30 "," 21 "," 18 "," 26 "," 19 "," 32 "," 57 "," 131 "," 348 "," 980 "
"TOTAL "," 6694 "," 4439 "," 2696 "," 2832 "," 2422 "," 4731 "," 10715 "," 4873 "," 3629 "," 2185 "," 2257 "," 7677 "," 55150 "
