"Month","Week Ending","Week","Cases"
" January "," 08.01.2010 "," 1 "," 1481 ",""
" January "," 15.01.2010 "," 2 "," 1190 ",""
" January "," 22.01.2010 "," 3 "," 1345 ",""
" January "," 29.01.2010 "," 4 "," 789 ",""
" February "," 05.02.2010 "," 5 "," 1504 ",""
" February "," 12.02.2010 "," 6 "," 1318 ",""
" February "," 19.02.2010 "," 7 "," 975 ",""
" February "," 26.02.2010 "," 8 "," 934 ",""
" March "," 05.03.2010 "," 9 "," 742 ",""
" March "," 12.03.2010 "," 10 "," 632 ",""
" March "," 19.03.2010 "," 11 "," 663 ",""
" March "," 26.03.2010 "," 12 "," 491 ",""
" April "," 02.04.2010 "," 13 "," 345 ",""
" April "," 09.04.2010 "," 14 "," 367 ",""
" April "," 16.04.2010 "," 15 "," 254 ",""
" April "," 23.04.2010 "," 16 "," 610 ",""
" April "," 30.04.2010 "," 17 "," 428 ",""
" May "," 07.05.2010 "," 18 "," 455 ",""
" May "," 14.05.2010 "," 19 "," 438 ",""
" May "," 21.05.2010 "," 20 "," 525 ",""
" May "," 28.05.2010 "," 21 "," 532 ",""
" June "," 04.06.2010 "," 22 "," 830 ",""
" June "," 11.06.2010 "," 23 "," 836 ",""
" June "," 18.06.2010 "," 24 "," 853 ",""
" June "," 25.06.2010 "," 25 "," 918 ",""
" July "," 02.07.2010 "," 26 "," 1357 ",""
" July "," 09.07.2010 "," 27 "," 1160 ",""
" July "," 16.07.2010 "," 28 "," 1130 ",""
" July "," 23.07.2010 "," 29 "," 1371 ",""
" July "," 30.07.2010 "," 30 "," 1095 ",""
" August "," 06.08.2010 "," 31 "," 1409 ",""
" August "," 13.08.2010 "," 32 "," 1103 ",""
" August "," 20.08.2010 "," 33 "," 932 ",""
" August "," 27.08.2010 "," 34 "," 727 ",""
" September "," 05.09.2010 "," 35 "," 713 ",""
" September "," 10.09.2010 "," 36 "," 447 ",""
" September "," 17.09.2010 "," 37 "," 447 ",""
" September "," 24.09.2010 "," 38 "," 256 ",""
" October "," 01.10.2010 "," 39 "," 266 ",""
" October "," 08.10.2010 "," 40 "," 280 ",""
" October "," 15.10.2010 "," 41 "," 221 ",""
" October "," 22.10.2010 "," 42 "," 192 ",""
" October "," 29.10.2010 "," 43 "," 178 ",""
" November "," 05.11.2010 "," 44 "," 143 ",""
" November "," 12.11.2010 "," 45 "," 169 ",""
" November "," 19.11.2010 "," 46 "," 154 ",""
" November "," 26.11.2010 "," 47 "," 181 ",""
" December "," 03.12.2010 "," 48 "," 153 ",""
" December "," 10.12.2010 "," 49 "," 178 ",""
" December "," 17.12.2010 "," 50 "," 154 ",""
" December "," 24.12.2010 "," 51 "," 122 ",""
" December "," 31.12.2010 "," 52 "," 195 ",""
