"RDHS","January","February","March","April","May","June","July","August","September","October","November","December","Total Cases"
"Colombo "," 1346 "," 684 "," 488 "," 539 "," 1744 "," 2289 "," 1859 "," 1104 "," 706 "," 1089 "," 1448 "," 1415 "," 14711 "
"Gampaha "," 632 "," 279 "," 191 "," 280 "," 921 "," 1111 "," 932 "," 772 "," 569 "," 1015 "," 1111 "," 998 "," 8811 "
"Kalutara "," 267 "," 175 "," 111 "," 117 "," 241 "," 429 "," 389 "," 239 "," 138 "," 158 "," 182 "," 185 "," 2631 "
"Kandy "," 93 "," 49 "," 36 "," 47 "," 116 "," 270 "," 223 "," 247 "," 176 "," 289 "," 413 "," 377 "," 2336 "
"Matale "," 40 "," 35 "," 18 "," 14 "," 14 "," 81 "," 75 "," 55 "," 27 "," 81 "," 101 "," 108 "," 649 "
"N Eliya "," 27 "," 14 "," 6 "," 11 "," 25 "," 60 "," 39 "," 34 "," 18 "," 29 "," 16 "," 35 "," 314 "
"Galle "," 136 "," 49 "," 61 "," 35 "," 75 "," 139 "," 197 "," 107 "," 71 "," 125 "," 109 "," 120 "," 1224 "
"Hambantota "," 48 "," 34 "," 17 "," 26 "," 42 "," 121 "," 169 "," 36 "," 29 "," 51 "," 39 "," 53 "," 665 "
"Matara "," 50 "," 31 "," 11 "," 13 "," 22 "," 63 "," 112 "," 82 "," 93 "," 130 "," 71 "," 70 "," 748 "
"Jaffna "," 148 "," 92 "," 58 "," 59 "," 73 "," 89 "," 148 "," 123 "," 95 "," 212 "," 318 "," 424 "," 1839 "
"Kilinochchi "," 10 "," 10 "," 4 "," 6 "," 0 "," 1 "," 8 "," 3 "," 4 "," 10 "," 15 "," 19 "," 90 "
"Mannar "," 2 "," 1 "," 0 "," 1 "," 2 "," 20 "," 13 "," 10 "," 40 "," 68 "," 119 "," 83 "," 359 "
"Vavuniya "," 6 "," 12 "," 14 "," 9 "," 6 "," 33 "," 16 "," 5 "," 4 "," 7 "," 14 "," 16 "," 142 "
"Mulativu "," 23 "," 9 "," 17 "," 4 "," 6 "," 10 "," 6 "," 6 "," 5 "," 5 "," 17 "," 26 "," 134 "
"Batticaloa "," 43 "," 66 "," 147 "," 92 "," 117 "," 97 "," 60 "," 22 "," 15 "," 40 "," 95 "," 176 "," 970 "
"Ampara "," 22 "," 16 "," 7 "," 13 "," 9 "," 21 "," 17 "," 19 "," 3 "," 10 "," 15 "," 6 "," 158 "
"Trincomalee "," 52 "," 38 "," 77 "," 115 "," 100 "," 55 "," 34 "," 18 "," 16 "," 22 "," 55 "," 79 "," 661 "
"Kurunegala "," 163 "," 106 "," 94 "," 61 "," 61 "," 303 "," 318 "," 296 "," 195 "," 287 "," 316 "," 264 "," 2464 "
"Puttalam "," 93 "," 42 "," 42 "," 27 "," 34 "," 83 "," 101 "," 65 "," 39 "," 84 "," 147 "," 159 "," 916 "
"Apura "," 68 "," 44 "," 27 "," 39 "," 27 "," 61 "," 89 "," 39 "," 25 "," 51 "," 54 "," 108 "," 632 "
"Polonnaruwa "," 75 "," 45 "," 38 "," 33 "," 24 "," 62 "," 79 "," 33 "," 27 "," 42 "," 53 "," 47 "," 558 "
"Badulla "," 56 "," 43 "," 36 "," 12 "," 56 "," 90 "," 79 "," 84 "," 76 "," 129 "," 221 "," 231 "," 1113 "
"Moneragala "," 23 "," 24 "," 21 "," 9 "," 10 "," 34 "," 48 "," 32 "," 20 "," 27 "," 44 "," 21 "," 313 "
"Ratnapura "," 91 "," 43 "," 58 "," 52 "," 370 "," 866 "," 457 "," 343 "," 148 "," 171 "," 124 "," 100 "," 2823 "
"Kegalle "," 84 "," 58 "," 54 "," 60 "," 179 "," 320 "," 242 "," 231 "," 89 "," 132 "," 151 "," 124 "," 1724 "
"Kalmunai "," 12 "," 12 "," 15 "," 8 "," 18 "," 28 "," 11 "," 17 "," 12 "," 33 "," 204 "," 147 "," 517 "
"TOTAL "," 3610 "," 2011 "," 1648 "," 1682 "," 4292 "," 6736 "," 5721 "," 4022 "," 2640 "," 4297 "," 5452 "," 5391 "," 47502 "
