"Month","Week Ending","Week","Cases"
" January "," 03.01.2014 "," 1 "," 761 "," "
" January "," 10.01.2014 "," 2 "," 840 "," "
" January "," 17.01.2014 "," 3 "," 688 "," "
" January "," 24.01.2014 "," 4 "," 742 "," "
" January "," 31.01.2014 "," 5 "," 579 "," "
" February "," 07.02.2014 "," 6 "," 510 "," "
" February "," 14.02.2014 "," 7 "," 498 "," "
" February "," 21.02.2014 "," 8 "," 591 "," "
" February "," 28.02.2014 "," 9 "," 412 "," "
" March "," 07.03.2014 "," 10 "," 473 "," "
" March "," 14.03.2014 "," 11 "," 372 "," "
" March "," 21.03.2014 "," 12 "," 450 "," "
" March "," 28.03.2014 "," 13 "," 353 "," "
" April "," 04.04.2014 "," 14 "," 367 "," "
" April "," 11.04.2014 "," 15 "," 400 "," "
" April "," 18.04.2014 "," 16 "," 209 "," "
" April "," 25.04.2014 "," 17 "," 706 "," "
" May "," 02.05.2014 "," 18 "," 568 "," "
" May "," 09.05.2015 "," 19 "," 579 "," "
" May "," 16.05.2014 "," 20 "," 527 "," "
" May "," 23.05.2014 "," 21 "," 1047 "," "
" May "," 30.05.2014 "," 22 "," 1571 "," "
" June "," 06.06.2014 "," 23 "," 1480 "," "
" June "," 13.06.2014 "," 24 "," 1633 "," "
" June "," 20.06.2014 "," 25 "," 1915 "," "
" June "," 27.06.2014 "," 26 "," 1708 "," "
" July "," 04.07.2014 "," 27 "," 1525 "," "
" July "," 11.07.2014 "," 28 "," 1554 "," "
" July "," 18.07.2014 "," 29 "," 1340 "," "
" July "," 25.07.2014 "," 30 "," 1302 "," "
" August "," 01.08.2014 "," 31 "," 868 "," "
" August "," 08.08.2014 "," 32 "," 936 "," "
" August "," 15.08.2014 "," 33 "," 794 "," "
" August "," 22.08.2014 "," 34 "," 784 "," "
" August "," 29.08.2014 "," 35 "," 640 "," "
" September "," 05.09.2014 "," 36 "," 574 "," "
" September "," 12.09.2014 "," 37 "," 620 "," "
" September "," 19.09.2014 "," 38 "," 705 "," "
" September "," 26.09.2014 "," 39 "," 741 "," "
" October "," 03.10.2014 "," 40 "," 735 "," "
" October "," 10.10.2014 "," 41 "," 715 "," "
" October "," 17.10.2014 "," 42 "," 893 "," "
" October "," 24.10.2014 "," 43 "," 862 "," "
" October "," 31.10.2014 "," 44 "," 1092 "," "
" November "," 07.11.2014 "," 45 "," 1059 "," "
" November "," 14.11.2014 "," 46 "," 1435 "," "
" November "," 21.11.2014 "," 47 "," 1449 "," "
" November "," 28.11.2014 "," 48 "," 1509 "," "
" December "," 05.12.2014 "," 49 "," 1464 "," "
" December "," 12.12.2014 "," 50 "," 1333 "," "
" December "," 19.12.2014 "," 51 "," 1388 "," "
" December "," 26.12.2014 "," 52 "," 1206 "," "
