"RDHS","January","February","March","April","May","June","July","August","September","October","November","December","Total Cases"
"Colombo "," 2734 "," 1900 "," 2467 "," 2570 "," 3333 "," 5372 "," 7471 "," 3620 "," 1251 "," 823 "," 1131 "," 240 "," 32912 "
"Gampaha "," 1635 "," 1087 "," 1870 "," 2072 "," 3168 "," 4901 "," 9039 "," 3553 "," 1246 "," 779 "," 1048 "," 32 "," 30430 "
"Kalutara "," 581 "," 448 "," 836 "," 739 "," 946 "," 1248 "," 2612 "," 1477 "," 663 "," 337 "," 412 "," 7 "," 10306 "
"Kandy "," 252 "," 207 "," 369 "," 443 "," 862 "," 2314 "," 3855 "," 2354 "," 1085 "," 814 "," 874 "," 114 "," 13543 "
"Matale "," 129 "," 103 "," 145 "," 120 "," 165 "," 436 "," 766 "," 534 "," 167 "," 177 "," 178 "," 24 "," 2944 "
"N Eliya "," 50 "," 32 "," 42 "," 37 "," 57 "," 94 "," 294 "," 159 "," 39 "," 27 "," 22 "," 6 "," 859 "
"Galle "," 872 "," 567 "," 424 "," 265 "," 394 "," 623 "," 1072 "," 877 "," 364 "," 160 "," 206 "," 20 "," 5844 "
"Hambantota "," 301 "," 225 "," 339 "," 333 "," 272 "," 384 "," 529 "," 359 "," 237 "," 174 "," 244 "," 27 "," 3424 "
"Matara "," 431 "," 382 "," 337 "," 354 "," 488 "," 581 "," 1789 "," 1029 "," 403 "," 174 "," 154 "," 13 "," 6135 "
"Jaffna "," 625 "," 478 "," 863 "," 499 "," 301 "," 288 "," 376 "," 290 "," 341 "," 593 "," 509 "," 89 "," 5252 "
"Kilinochchi "," 55 "," 84 "," 35 "," 46 "," 21 "," 21 "," 90 "," 59 "," 30 "," 17 "," 28 "," 1 "," 487 "
"Mannar "," 147 "," 91 "," 65 "," 90 "," 60 "," 23 "," 23 "," 5 "," 3 "," 6 "," 8 "," 0 "," 521 "
"Vavuniya "," 58 "," 76 "," 143 "," 83 "," 65 "," 81 "," 137 "," 92 "," 52 "," 34 "," 17 "," 3 "," 841 "
"Mulativu "," 37 "," 32 "," 21 "," 16 "," 27 "," 37 "," 71 "," 50 "," 23 "," 12 "," 16 "," 5 "," 347 "
"Batticaloa "," 217 "," 465 "," 828 "," 1182 "," 869 "," 465 "," 273 "," 197 "," 143 "," 140 "," 249 "," 29 "," 5057 "
"Ampara "," 51 "," 51 "," 59 "," 72 "," 75 "," 105 "," 225 "," 100 "," 62 "," 41 "," 29 "," 5 "," 875 "
"Trincomalee "," 387 "," 661 "," 2114 "," 936 "," 158 "," 136 "," 154 "," 99 "," 68 "," 64 "," 84 "," 4 "," 4865 "
"Kurunegala "," 403 "," 381 "," 505 "," 629 "," 1281 "," 2030 "," 2300 "," 1487 "," 576 "," 368 "," 726 "," 76 "," 10762 "
"Puttalam "," 196 "," 132 "," 212 "," 318 "," 612 "," 783 "," 1304 "," 1192 "," 419 "," 501 "," 1037 "," 213 "," 6919 "
"Apura "," 166 "," 147 "," 255 "," 193 "," 249 "," 378 "," 709 "," 299 "," 96 "," 77 "," 110 "," 8 "," 2687 "
"Polonnaruwa "," 574 "," 294 "," 378 "," 197 "," 162 "," 127 "," 197 "," 151 "," 128 "," 155 "," 187 "," 29 "," 2579 "
"Badulla "," 54 "," 64 "," 98 "," 172 "," 160 "," 190 "," 320 "," 104 "," 54 "," 51 "," 58 "," 6 "," 1331 "
"Moneragala "," 226 "," 130 "," 139 "," 167 "," 186 "," 400 "," 1220 "," 490 "," 273 "," 148 "," 148 "," 10 "," 3537 "
"Ratnapura "," 97 "," 97 "," 112 "," 126 "," 164 "," 449 "," 569 "," 348 "," 300 "," 357 "," 334 "," 50 "," 3003 "
"Kegalle "," 439 "," 360 "," 507 "," 519 "," 1161 "," 1908 "," 3175 "," 1661 "," 740 "," 251 "," 181 "," 17 "," 10919 "
"Kalmunai "," 210 "," 230 "," 377 "," 332 "," 700 "," 1945 "," 2551 "," 1684 "," 746 "," 264 "," 225 "," 1 "," 9265 "
"TOTAL "," 10927 "," 8724 "," 13540 "," 12510 "," 15936 "," 25319 "," 41121 "," 22270 "," 9509 "," 6544 "," 8215 "," 1029 "," 175644 "
